dividend_amount,ex_date,record_date,pay_date,dividend_type,currency
2.3,2025-03-13,2025-03-13,2025-03-27,regular,USD
2.25,2024-11-27,2024-11-27,2024-12-12,regular,USD
2.25,2024-08-29,2024-08-29,2024-09-12,regular,USD
2.25,2024-05-30,2024-05-30,2024-06-13,regular,USD
2.25,2024-03-06,2024-03-07,2024-03-21,regular,USD
2.09,2023-11-29,2023-11-30,2023-12-14,regular,USD
2.09,2023-08-30,2023-08-31,2023-09-14,regular,USD
2.09,2023-05-31,2023-06-01,2023-06-15,regular,USD
2.09,2023-03-08,2023-03-09,2023-03-23,regular,USD
1.9,2022-11-30,2022-12-01,2022-12-15,regular,USD
1.9,2022-08-31,2022-09-01,2022-09-15,regular,USD
1.9,2022-06-01,2022-06-02,2022-06-16,regular,USD
1.9,2022-03-09,2022-03-10,2022-03-24,regular,USD
1.65,2021-12-01,2021-12-02,2021-12-16,regular,USD
1.65,2021-09-01,2021-09-02,2021-09-16,regular,USD
1.65,2021-06-02,2021-06-03,2021-06-17,regular,USD
1.65,2021-03-10,2021-03-11,2021-03-25,regular,USD
1.5,2020-12-02,2020-12-03,2020-12-17,regular,USD
1.5,2020-09-02,2020-09-03,2020-09-17,regular,USD
1.5,2020-06-03,2020-06-04,2020-06-18,regular,USD
1.5,2020-03-11,2020-03-12,2020-03-26,regular,USD
1.36,2019-12-04,2019-12-05,2019-12-19,regular,USD
1.36,2019-09-04,2019-09-05,2019-09-19,regular,USD
1.36,2019-06-05,2019-06-06,2019-06-20,regular,USD
1.36,2019-03-13,2019-03-14,2019-03-28,regular,USD
1.03,2018-11-28,2018-11-29,2018-12-13,regular,USD
1.03,2018-08-29,2018-08-30,2018-09-13,regular,USD
1.03,2018-05-30,2018-05-31,2018-06-14,regular,USD
1.03,2018-03-07,2018-03-08,2018-03-22,regular,USD
0.89,2017-11-29,2017-11-30,2017-12-14,regular,USD
0.89,2017-08-29,2017-08-31,2017-09-14,regular,USD
0.89,2017-05-30,2017-06-01,2017-06-15,regular,USD
0.89,2017-03-07,2017-03-09,2017-03-23,regular,USD
0.69,2016-11-29,2016-12-01,2016-12-15,regular,USD
0.69,2016-08-30,2016-09-01,2016-09-15,regular,USD
0.69,2016-05-31,2016-06-02,2016-06-16,regular,USD
0.69,2016-03-08,2016-03-10,2016-03-24,regular,USD
0.59,2015-12-01,2015-12-03,2015-12-17,regular,USD
0.59,2015-09-01,2015-09-03,2015-09-17,regular,USD
0.59,2015-06-02,2015-06-04,2015-06-18,regular,USD
0.59,2015-03-10,2015-03-12,2015-03-26,regular,USD
0.47,2014-12-02,2014-12-04,2014-12-18,regular,USD
0.47,2014-09-02,2014-09-04,2014-09-18,regular,USD
0.47,2014-06-03,2014-06-05,2014-06-19,regular,USD
0.47,2014-03-11,2014-03-13,2014-03-27,regular,USD
0.39,2013-12-03,2013-12-05,2013-12-19,regular,USD
0.39,2013-09-03,2013-09-05,2013-09-19,regular,USD
0.39,2013-06-04,2013-06-06,2013-06-20,regular,USD
0.39,2013-03-12,2013-03-14,2013-03-28,regular,USD
0.29,2012-11-27,2012-11-29,2012-12-13,regular,USD
0.29,2012-08-28,2012-08-30,2012-09-13,regular,USD
0.29,2012-05-29,2012-05-31,2012-06-14,regular,USD
0.29,2012-03-06,2012-03-08,2012-03-22,regular,USD
0.29,2011-11-29,2011-12-01,2011-12-15,regular,USD
0.25,2011-08-30,2011-09-01,2011-09-15,regular,USD
0.25,2011-06-14,2011-06-16,2011-06-30,regular,USD
0.25,2011-03-08,2011-03-10,2011-03-24,regular,USD
0.23625,2010-11-30,2010-12-02,2010-12-16,regular,USD
0.23625,2010-08-31,2010-09-02,2010-09-16,regular,USD
0.23625,2010-06-01,2010-06-03,2010-06-17,regular,USD
0.23625,2010-03-09,2010-03-11,2010-03-25,regular,USD
0.225,2009-12-01,2009-12-03,2009-12-17,regular,USD
0.225,2009-09-01,2009-09-03,2009-09-17,regular,USD
0.225,2009-06-09,2009-06-11,2009-06-25,regular,USD
0.225,2009-03-10,2009-03-12,2009-03-26,regular,USD
0.225,2008-12-02,2008-12-04,2008-12-18,regular,USD
0.225,2008-09-02,2008-09-04,2008-09-18,regular,USD
0.225,2008-06-03,2008-06-05,2008-06-19,regular,USD
0.225,2008-03-11,2008-03-13,2008-03-27,regular,USD
0.225,2007-11-27,2007-11-29,2007-12-13,regular,USD
0.225,2007-08-28,2007-08-30,2007-09-13,regular,USD
0.225,2007-06-05,2007-06-07,2007-06-21,regular,USD
0.225,2007-03-06,2007-03-08,2007-03-22,regular,USD
0.225,2006-11-28,2006-11-30,2006-12-14,regular,USD
0.15,2006-09-05,2006-09-07,2006-09-21,regular,USD
0.15,2006-06-06,2006-06-08,2006-06-22,regular,USD
0.15,2006-03-07,2006-03-09,2006-03-23,regular,USD
0.1,2005-11-29,2005-12-01,2005-12-15,regular,USD
0.1,2005-08-30,2005-09-01,2005-09-15,regular,USD
0.1,2005-06-07,2005-06-09,2005-06-23,regular,USD
0.1,2005-03-08,2005-03-10,2005-03-24,regular,USD
0.085,2004-11-30,2004-12-02,2004-12-16,regular,USD
0.085,2004-08-31,2004-09-02,2004-09-16,regular,USD
0.085,2004-06-08,2004-06-10,2004-06-24,regular,USD
0.07,2004-03-09,2004-03-11,2004-03-22,regular,USD
0.07,2003-12-02,2003-12-04,2003-12-18,regular,USD
0.07,2003-09-02,2003-09-04,2003-09-18,regular,USD
0.06,2003-06-10,2003-06-12,2003-06-26,regular,USD
0.06,2003-03-11,2003-03-13,2003-03-27,regular,USD
0.06,2002-12-03,2002-12-05,2002-12-19,regular,USD
0.05,2002-09-03,2002-09-05,2002-09-19,regular,USD
0.05,2002-06-11,2002-06-13,2002-06-27,regular,USD
0.05,2002-03-12,2002-03-14,2002-03-28,regular,USD
0.05,2001-11-28,2001-11-30,2001-12-13,regular,USD
0.05,2001-11-27,2001-11-29,2001-12-13,regular,USD
0.04,2001-08-28,2001-08-30,2001-09-13,regular,USD
0.04,2001-06-12,2001-06-14,2001-06-28,regular,USD
0.04,2001-03-06,2001-03-08,2001-03-22,regular,USD
0.04,2000-11-28,2000-11-30,2000-12-14,regular,USD
0.04,2000-08-29,2000-08-31,2000-09-14,regular,USD
0.04,2000-06-13,2000-06-15,2000-06-29,regular,USD
0.04,2000-03-07,2000-03-09,2000-03-23,regular,USD
0.04,1999-11-30,1999-12-02,1999-12-16,regular,USD
0.0267,1999-08-31,1999-09-01,1999-09-16,regular,USD
0.0267,1999-06-08,1999-06-10,1999-06-24,regular,USD
0.02,1999-03-02,1999-03-04,1999-03-18,regular,USD
0.02,1998-12-01,1998-12-03,1998-12-17,regular,USD
0.02,1998-09-01,1998-09-03,1998-09-17,regular,USD
0.02,1998-06-09,1998-06-11,1998-06-25,regular,USD
0.0167,1998-03-03,1998-03-05,1998-03-19,regular,USD
0.0167,1997-12-02,1997-12-04,1997-12-18,regular,USD
0.0167,1997-09-09,1997-09-11,1997-09-25,regular,USD
0.0167,1997-06-10,1997-06-12,1997-06-26,regular,USD
0.0133,1997-03-11,1997-03-13,1997-03-27,regular,USD
0.0133,1996-12-03,1996-12-05,1996-12-19,regular,USD
0.013333,1996-09-10,1996-09-12,1996-09-26,regular,USD
0.0133,1996-06-07,1996-06-11,1996-06-25,regular,USD
0.0111,1996-03-06,1996-03-08,1996-03-22,regular,USD
0.0111,1995-12-07,1995-12-09,0000-00-00,regular,USD
0.011111,1995-12-06,1995-12-08,1995-12-22,regular,USD
0.0111,1995-09-07,1995-09-11,1995-09-25,regular,USD
0.0111,1995-06-08,1995-06-12,1995-06-26,regular,USD
0.0089,1995-02-22,1995-02-28,1995-03-24,regular,USD
0.0089,1994-12-01,1994-12-07,1994-12-21,regular,USD
0.0089,1994-09-02,1994-09-09,1994-09-23,regular,USD
0.0089,1994-06-06,1994-06-10,1994-06-24,regular,USD
0.0067,1994-03-03,1994-03-09,1994-03-23,regular,USD
0.0067,1993-11-24,1993-12-01,1993-12-15,regular,USD
0.0067,1993-08-31,1993-09-07,1993-09-21,regular,USD
0.0067,1993-06-10,1993-06-16,1993-06-30,regular,USD
0.005,1993-03-04,1993-03-02,0000-00-00,regular,USD
0.005,1992-11-30,1992-11-26,0000-00-00,regular,USD
0.005,1992-08-27,1992-08-25,0000-00-00,regular,USD
0.0025,1992-05-22,1992-05-29,1992-06-11,regular,USD
0.003298,1992-03-03,1992-02-28,0000-00-00,regular,USD
0.003298,1991-11-26,1991-11-22,0000-00-00,regular,USD
0.003298,1991-08-28,1991-08-26,0000-00-00,regular,USD
0.003298,1991-07-03,1991-07-01,0000-00-00,regular,USD
0.002298,1991-03-07,1991-03-05,0000-00-00,regular,USD
0.002298,1990-11-26,1990-11-22,0000-00-00,regular,USD
0.002298,1990-08-23,1990-08-21,0000-00-00,regular,USD
0.002298,1990-07-16,1990-07-12,0000-00-00,regular,USD
0.000333,1990-02-22,1990-02-28,1990-03-14,regular,USD
0.000333,1989-11-22,1989-11-29,1989-12-13,regular,USD
0.000333,1989-08-25,1989-08-31,1989-09-14,regular,USD
0.000333,1989-07-11,1989-07-17,1989-07-31,regular,USD
0.000148,1989-03-10,1989-03-16,1989-03-30,regular,USD
0.000148,1988-12-07,1988-12-13,1988-12-27,regular,USD
0.000148,1988-08-30,1988-09-06,1988-09-20,regular,USD
0.000148,1988-06-01,1988-06-07,1988-06-21,regular,USD
0.000699,1988-03-15,1988-03-11,0000-00-00,regular,USD
0.000699,1987-11-19,1987-11-17,0000-00-00,regular,USD
4.9E-5,1987-09-01,1987-09-08,1987-09-22,regular,USD
4.9E-5,1987-06-02,1987-06-08,1987-06-22,regular,USD
