fiscal_year,revenue,gross_profit,sga,rnd,operating_income,taxes_paid,net_income,cash_equivalents,market_securities,current_assets,long_assets,short_debt,current_liabilities,long_debt,long_liabilities,treasury_stock,shares_outstanding_diluted,shares_outstanding_eop,cash_from_ops,cash_for_dividends,capex,free_cash_flow,stock_issues,stock_buyback,debt_paid,debt_issued,fiscal_month
1986,700.7,185.8,162.4,0,19,-3.4,8.2,9.7,0,190.1,190.1,10.4,83.6,199.9,207.5,0,820,1142.079,0,0,0,0,0,0,0,0,01
1987,1011.5,286,219.9,0,58.3,-23.2,23.9,17.1,0,197.9,196.8,0.2,106.8,116.9,124.9,0,1195,1288.804,0,0,0,0,0,0,0,0,01
1988,1453.7,414.4,305.5,0,98.3,-41.5,54.1,25.6,0,257.3,271,0.2,146.7,52.3,61,0,1352.5,1496.484,0,0,0,0,0,0,0,0,01
1989,1999.5,554.3,412.9,0,126.7,-49.1,76.8,15.9,0,336.9,362.3,0.2,194.1,107.5,122.2,0,1536,1499.03,0,0,0,0,0,0,0,0,01
1990,2758.5,787.8,582.1,0,184.6,-70.1,112,69.5,0,566.2,551.3,1.4,292.3,302.9,313.1,0,1600,1551.249,116.8,-8.4,-190.2,-73.4,19.1,-0.3,0,181.9,01
1991,3815.4,1098.7,798.6,0,265.7,-96.4,163.4,107.9,0,713.6,925.9,1.9,412.7,530.8,543.4,0,1634,1590.967,180.7,-12.8,-398.1,-217.4,23.1,0,0,228.4,01
1992,5136.7,1496.7,1062.7,0,381.7,-147,249.2,218.5,0,1158.2,1352.1,1.8,534.3,270.6,284.8,0,1916.923,1897.477,266.6,-22.4,-431.7,-165.1,502.6,0,-1.9,0,01
1993,7148.4,2038.5,1419.6,0,549.4,-213.1,362.9,121.7,0,1562,2369.8,1.8,754.9,843.7,872.8,0,1910,1994.471,338.1,-35.8,-432.5,-94.4,58.3,0,0,802.9,01
1994,9238.8,2643.2,1846.7,0,706.7,-279.5,457.4,100,0,1966.6,2734.3,1.5,972.6,842,914.2,0,1988.696,2020.454,396.5,-50.3,-864.2,-467.7,76.8,0,-2,0,01
1995,12476.7,3615.1,2498.3,0,987.2,-375.3,604.5,1.2,0,2133,3645,22.7,1214.2,983.3,1070.6,0,2084.483,2038.445,534.5,-67.8,-1100.7,-566.2,77.9,0,0,97.8,01
1996,15470.4,4466.8,3105.7,0,1179.9,-463.8,731.5,53.3,0,2672,4682,2.3,1416.5,720.1,873.1,0,2151.471,2005.331,713,-89.7,-1278.1,-565.1,68.5,0,0,497.2,01
1997,19535,5666,3908,0,1526,-597,938,146,0,3709.4,5632.3,2.5,1842.1,1246.6,1446.6,0,2181.395,2047.693,1100,-110,-1194,-94,104,0,0,470,01
1998,24156,7064,4781,0,2000,-738,1160,172,0,4460,6769,8,2456,1303,1559,0,2230.769,2064.609,1029,-139,-1481,-452,122,0,-25,0,01
1999,30219,8978,5944,0,2661,-1040,1614,62,0,4933,8532,14,2857,1566,1859,0,2273.239,2089.471,1917,-168,-2320,-403,167,0,0,238,01
2000,38434,11874,7616,0,3795,-1484,2320,168,2,6390,10691,29,3656,750,1074,0,2342,2304.317,2446,-255,-2581,-135,267,0,0,262,01
2001,45738,13681,9490,0,4191,-1636,2581,167,10,7777,13608,4,4385,1545,1985,0,2352,2323.747,2796,-371,-3558,-762,351,0,0,757,01
2002,53553,16147,11215,0,4932,-1913,3044,2477,69,10361,16033,5,6501,1250,1811,0,2353,2345.888,5963,-396,-3393,2570,445,0,-222,0,01
2003,58247,18108,12278,0,5830,-2208,3664,2188,65,11917,18094,0,8035,1321,2174,-2000,2344,2293,4802,-492,-2749,2053,326,-2000,0,1,01
2004,64816,20580,13734,0,6846,-2539,4304,1103,1749,13328,21109,509,9554,856,2476,-3590,2289,2257,6545,-595,-3508,3037,227,-1554,-9,0,01
2005,73094,24430,16504,0,7926,-2911,5001,506,1659,14190,24717,11,10529,2148,4220,-6692,2216,2185,6632,-719,-3948,2684,285,-3106,0,485,01
2006,77019,25938,15480,0,9047,-3326,5838,793,14,15269,29136,1413,12706,2672,4790,-9712,2147,2124,6620,-857,-3881,2739,414,-3040,0,1871,01
2007,79022,26546,16106,0,8866,-3236,5761,600,14,18000,34263,18,12931,11643,14302,-16383,2062,1970,7660,-1395,-3542,4118,381,-6684,0,7526,01
2008,77349,25997,17053,0,7242,-2410,4395,445,12,14674,29650,2047,12706,11383,13904,-314,1856,1690,5727,-1709,-3558,2169,276,-10815,-20,1734,01
2009,71288,23990,17846,0,4359,-1278,2260,519,6,13362,27802,1767,11153,9667,12234,-372,1686,1696.279,5528,-1521,-1847,3681,84,-70,-2045,0,01
2010,66176,22412,15902,0,4803,-1362,2661,1421,0,13900,26977,1020,10363,8662,11121,-585,1692,1698,5125,-1525,-966,4159,73,-213,-1774,0,01
2011,67997,23304,15849,0,5839,-1935,3338,545,0,13479,26646,1042,10122,8707,11114,-3193,1658,1623,4585,-1569,-1096,3489,104,-2608,-1029,998,01
2012,70395,24262,16028,0,6661,-2185,3883,1987,0,14520,25998,30,9376,10758,13244,-6694,1570,1537,6651,-1632,-1221,5430,306,-3470,-1028,1994,01
2013,74754,25842,16508,0,7766,-2686,4535,2494,0,15372,25712,1321,11462,9475,11845,-10694,1511,1484,6975,-1743,-1312,5663,784,-3984,-32,0,01
2014,78812,26915,16122,0,9166,-3082,5385,1929,0,15279,25239,33,10749,14691,17247,-19194,1434,1380,7628,-2243,-1389,6239,241,-8546,-1289,5222,01
2015,83176,28389,16280,0,10469,-3631,6345,1723,0,15302,24644,328,11269,16869,19355,-26194,1346,1307,8242,-2530,-1442,6800,252,-7000,-39,2271,01
2016,88519,30265,16801,0,11774,-4012,7009,2216,0,16484,25489,427,12524,20789,23133,-33194,1283,1252,9373,-3031,-1503,7870,228,-7000,-39,4051,01
2017,94595,32313,17132,0,13427,-4534,7957,2538,0,17724,25242,1252,14133,22349,24500,-40194,1234,1203,9783,-3404,-1621,8162,218,-6880,-3045,5319,01
2018,100904,34356,17864,0,14681,-5068,8630,3595,0,18933,25596,2761,16194,24267,26881,-48196,1184,1158,12031,-4212,-1897,10134,255,-8000,-543,3841,01
2019,108203,37160,19513,0,15777,-3435,11121,1778,0,18529,25474,2395,16716,26807,29165,-58196,1143,1105,13165,-4704,-2442,10723,236,-9963,-1429,3466,01
2020,110225,37572,19740,0,15843,-3473,11242,2133,0,19810,31426,2813,18375,28670,35977,-65196,1097,1077,13687,-5958,-2678,11009,280,-6965,-1435,3420,01
2021,132110,44853,24447,0,18278,-4112,12866,7895,0,28477,42104,1416,23166,35822,44116,-65793,1078,1077,18839,-6451,-2463,16376,326,-791,-3846,7933,01
2022,151157,50832,25406,0,23040,-5304,16433,2343,0,29055,42821,3482,28693,36604,44879,-80794,1058,1035,16571,-6985,-2566,14005,337,-14809,-1532,4014,01
2023,157403,52778,26284,0,24039,-5372,17105,2757,0,32471,43974,1231,23110,41962,51773,-87298,1025,1016,14615,-7789,-3119,11496,264,-6696,-3526,6942,01
2024,152669,50960,26598,0,21689,-4781,15143,3760,0,29775,46755,1368,22015,42743,53471,-95372,1002,992,21172,-8383,-3226,17946,323,-7951,-1271,1995,01
2025,159514,53308,28748,0,21526,-4600,14806,1659,0,31683,64436,4898,28661,48485,60818,-95971,993,994,19810,-8929,-3485,16325,395,-649,-1536,10326,01
