dividend_amount,ex_date,record_date,pay_date,dividend_type,currency
1.15,2025-04-23,2025-04-23,2025-05-07,regular,USD
1.15,2025-01-22,2025-01-22,2025-02-05,regular,USD
1.15,2024-10-23,2024-10-23,2024-11-06,regular,USD
1.15,2024-07-24,2024-07-24,2024-08-07,regular,USD
1.1,2024-04-23,2024-04-24,2024-05-08,regular,USD
1.1,2024-01-23,2024-01-24,2024-02-07,regular,USD
1.1,2023-10-24,2023-10-25,2023-11-08,regular,USD
1.1,2023-07-25,2023-07-26,2023-08-09,regular,USD
1.05,2023-04-25,2023-04-26,2023-05-10,regular,USD
1.05,2023-01-24,2023-01-25,2023-02-08,regular,USD
1.05,2022-10-18,2022-10-19,2022-11-02,regular,USD
1.05,2022-07-19,2022-07-20,2022-08-03,regular,USD
0.8,2022-04-19,2022-04-20,2022-05-04,regular,USD
0.8,2022-01-18,2022-01-19,2022-02-02,regular,USD
0.8,2021-10-19,2021-10-20,2021-11-03,regular,USD
0.8,2021-07-20,2021-07-21,2021-08-04,regular,USD
0.6,2021-04-20,2021-04-21,2021-05-05,regular,USD
0.6,2021-01-19,2021-01-20,2021-02-03,regular,USD
0.6,2020-10-20,2020-10-21,2020-11-04,regular,USD
0.55,2020-07-21,2020-07-22,2020-08-05,regular,USD
0.55,2020-04-21,2020-04-22,2020-05-06,regular,USD
0.55,2020-01-21,2020-01-22,2020-02-05,regular,USD
0.55,2019-10-22,2019-10-23,2019-11-06,regular,USD
0.55,2019-07-23,2019-07-24,2019-08-07,regular,USD
0.48,2019-04-23,2019-04-24,2019-05-08,regular,USD
0.48,2019-01-22,2019-01-23,2019-02-06,regular,USD
0.48,2018-10-23,2018-10-24,2018-11-07,regular,USD
0.48,2018-07-24,2018-07-25,2018-08-08,regular,USD
0.41,2018-04-24,2018-04-25,2018-05-09,regular,USD
0.41,2018-01-23,2018-01-24,2018-02-07,regular,USD
0.41,2017-10-24,2017-10-25,2017-11-08,regular,USD
0.41,2017-07-24,2017-07-26,2017-08-09,regular,USD
0.35,2017-04-24,2017-04-26,2017-05-10,regular,USD
0.35,2017-01-23,2017-01-25,2017-02-08,regular,USD
0.35,2016-10-17,2016-10-19,2016-11-02,regular,USD
0.35,2016-07-18,2016-07-20,2016-08-03,regular,USD
0.28,2016-04-18,2016-04-20,2016-05-04,regular,USD
0.28,2016-01-15,2016-01-20,2016-02-03,regular,USD
0.28,2015-10-19,2015-10-21,2015-11-04,regular,USD
0.28,2015-07-20,2015-07-22,2015-08-05,regular,USD
0.23,2015-04-20,2015-04-22,2015-05-06,regular,USD
0.23,2015-01-16,2015-01-21,2015-02-04,regular,USD
0.23,2014-10-20,2014-10-22,2014-11-05,regular,USD
0.23,2014-07-21,2014-07-23,2014-08-06,regular,USD
0.18,2014-04-21,2014-04-23,2014-05-07,regular,USD
0.18,2014-01-17,2014-01-22,2014-02-05,regular,USD
0.18,2013-10-21,2013-10-23,2013-11-06,regular,USD
0.18,2013-07-22,2013-07-24,2013-08-07,regular,USD
0.16,2013-04-22,2013-04-24,2013-05-08,regular,USD
0.16,2013-01-18,2013-01-23,2013-02-06,regular,USD
0.16,2012-10-22,2012-10-24,2012-11-07,regular,USD
0.16,2012-07-23,2012-07-25,2012-08-08,regular,USD
0.14,2012-04-23,2012-04-25,2012-05-09,regular,USD
0.14,2012-01-23,2012-01-25,2012-02-08,regular,USD
0.14,2011-10-17,2011-10-19,2011-11-02,regular,USD
0.14,2011-07-18,2011-07-20,2011-08-03,regular,USD
0.11,2011-04-18,2011-04-20,2011-05-04,regular,USD
0.11,2011-01-14,2011-01-19,2011-02-02,regular,USD
0.11,2010-10-18,2010-10-20,2010-11-03,regular,USD
0.11,2010-07-19,2010-07-21,2010-08-04,regular,USD
0.09,2010-04-19,2010-04-21,2010-05-05,regular,USD
0.09,2010-01-15,2010-01-20,2010-02-03,regular,USD
0.09,2009-10-14,2009-10-16,2009-10-30,regular,USD
0.09,2009-07-15,2009-07-17,2009-07-31,regular,USD
0.085,2009-04-15,2009-04-17,2009-05-01,regular,USD
0.085,2009-01-14,2009-01-16,2009-01-30,regular,USD
0.085,2008-10-15,2008-10-17,2008-10-31,regular,USD
0.085,2008-07-16,2008-07-18,2008-08-01,regular,USD
0.08,2008-04-16,2008-04-18,2008-05-02,regular,USD
0.08,2008-01-16,2008-01-18,2008-02-01,regular,USD
0.08,2007-10-17,2007-10-19,2007-11-02,regular,USD
0.08,2007-07-18,2007-07-20,2007-08-03,regular,USD
0.05,2007-04-18,2007-04-20,2007-05-04,regular,USD
0.05,2007-01-17,2007-01-19,2007-02-02,regular,USD
0.05,2006-10-18,2006-10-20,2006-11-03,regular,USD
0.05,2006-07-19,2006-07-21,2006-08-04,regular,USD
0.03,2006-04-19,2006-04-21,2006-05-05,regular,USD
0.03,2006-01-18,2006-01-20,2006-02-03,regular,USD
0.03,2005-10-12,2005-10-14,2005-10-28,regular,USD
0.03,2005-07-13,2005-07-15,2005-07-29,regular,USD
0.02,2005-04-13,2005-04-15,2005-04-29,regular,USD
0.02,2005-01-12,2005-01-14,2005-01-28,regular,USD
0.02,2004-10-13,2004-10-15,2004-10-29,regular,USD
0.02,2004-07-14,2004-07-16,2004-07-30,regular,USD
0.015,2004-04-14,2004-04-16,2004-04-30,regular,USD
0.015,2004-01-14,2004-01-16,2004-01-30,regular,USD
0.015,2003-10-15,2003-10-17,2003-10-31,regular,USD
0.0125,2003-07-16,2003-07-18,2003-08-01,regular,USD
0.0125,2003-04-15,2003-04-17,2003-05-02,regular,USD
0.0125,2003-01-15,2003-01-17,2003-01-31,regular,USD
0.01,2002-10-16,2002-10-18,2002-11-01,regular,USD
0.01,2002-07-17,2002-07-19,2002-08-02,regular,USD
0.01,2002-04-17,2002-04-19,2002-05-03,regular,USD
0.01,2002-01-16,2002-01-18,2002-02-01,regular,USD
0.01,2001-10-17,2001-10-19,2001-11-02,regular,USD
0.01,2001-07-18,2001-07-20,2001-08-03,regular,USD
0.00875,2001-04-18,2001-04-20,2001-05-04,regular,USD
0.00875,2001-01-17,2001-01-19,2001-02-02,regular,USD
0.00875,2000-10-11,2000-10-13,2000-10-27,regular,USD
0.00875,2000-07-12,2000-07-14,2000-07-28,regular,USD
0.00875,2000-04-12,2000-04-14,2000-04-28,regular,USD
0.00875,2000-01-12,2000-01-14,2000-01-28,regular,USD
0.0075,1999-10-13,1999-10-15,1999-10-29,regular,USD
0.0075,1999-07-14,1999-07-16,1999-07-30,regular,USD
0.0075,1999-04-14,1999-04-16,1999-04-30,regular,USD
0.0075,1999-01-13,1999-01-15,1999-01-29,regular,USD
0.0075,1998-10-14,1998-10-16,1998-10-30,regular,USD
0.0075,1998-07-15,1998-07-17,1998-07-31,regular,USD
0.0069,1998-04-15,1998-04-17,1998-04-30,regular,USD
0.0069,1998-01-14,1998-01-17,1998-01-31,regular,USD
0.0069,1997-10-15,1997-10-17,1997-10-31,regular,USD
0.0069,1997-07-15,1997-07-17,1997-07-31,regular,USD
0.0069,1997-04-14,1997-04-16,1997-04-30,regular,USD
