fiscal_year,revenue,gross_profit,sga,rnd,operating_income,taxes_paid,net_income,cash_equivalents,market_securities,current_assets,long_assets,short_debt,current_liabilities,long_debt,long_liabilities,treasury_stock,shares_outstanding_diluted,shares_outstanding_eop,cash_from_ops,cash_for_dividends,capex,free_cash_flow,stock_issues,stock_buyback,debt_paid,debt_issued,fiscal_month
1985,8056.7,5199.2,4171.3,0,737.1,-243.9,543.7,912.2,0,2794.5,3066.7,344.1,1835.7,1162.7,2187.8,0,1581.868,1581.868,0,0,0,0,0,0,0,0,12
1986,9290.8,5959.7,4738.4,0,820.6,-222.5,457.8,920.5,0,2503.8,5524.8,232.7,2223.1,2632.6,3746.4,0,1563.478,1563.478,0,0,0,0,0,0,0,0,12
1987,11485.2,7589,5882.7,0,1143.3,-355.3,594.8,1352.6,0,2939.6,6083.1,645.9,2722.8,2279.9,3791.3,0,1564.042,1564.042,0,0,0,0,0,0,0,0,12
1988,13007,7380.5,5391.2,0,1360,-375.4,762.2,1617.8,0,3264.7,7870.6,1451,3873.6,2656,4100.7,0,1574.162,1574.162,0,0,0,0,0,0,0,0,12
1989,15242.4,8546.7,5991.8,0,1782.9,-449.1,901.4,76.2,0,3550.8,11575.9,866.3,3691.8,5777.1,7543.8,0,1583.694,1583.694,1885.9,-241.9,-943.8,942.1,0,0,0,2591.8,12
1990,17802.7,10076.8,6948.1,0,2244.7,-576.8,1076.9,170.8,0,4081.4,13062,1626.5,4770.5,5600.1,7468.7,0,1576.8,1576.8,2110,-293.9,-1180.1,929.9,0,0,0,393.1,12
1991,19607.9,11246.9,7880.8,0,2331.6,-590.1,1080.2,186.7,0,4566.1,14209,228.2,3722.1,7806.2,9507.6,0,1578.2,1578.2,2430.3,-343.2,-1457.8,972.5,0,-195.2,0,1751.4,12
1992,21970,12692.3,8840.3,0,2637.1,-597.1,374.3,169.9,0,4842.3,16108.9,706.8,4324.4,7964.8,11271.1,0,1597.6,1597.6,2711.6,-395.5,-1549.6,1162,82.8,-32,0,400.3,12
1993,25020.7,14215.1,9864.4,0,2906.5,-834.6,1587.9,226.9,0,5164.1,18541.7,2191.2,6574.9,7442.6,10792.2,0,1597.6,1597.6,3134.4,-461.6,-1981.6,1152.8,68.6,-463.5,0,589.9,12
1994,28472.4,16021.3,11243.6,0,3201.2,-880.4,1752,330.7,0,5072.2,19719.8,678.5,5270.4,8840.5,12665.5,0,3242.4,1579.8,3716,-540.2,-2253.2,1462.8,97.4,-549.1,-204.4,0,12
1995,19067,11851,8133,0,2672,-669,1606,382,0,5546,19886,706,5230,8509,12889,0,3216,1576,3148,-599,-1365,1783,252,-541,-352,0,12
1996,20337,12752,9063,0,2616,-624,1149,307,0,3950,18210,0,3791,8174,11746,0,1606,1560,3797,-675,-1630,2167,323,-1651,-704,0,12
