fiscal_year,pershare_revenue,pershare_earnings,pershare_dividends,pershare_fcf,pershare_cfo,market_cap,enterprise_value,pershare_high_price,pershare_low_price,shares_out_eop,shares_buyback_ratio,shares_buyback_yield,fiscal_month
1985,5.093,0.018,0.025,0,0,5874.688,6469.288,3.805,2.094,1581.868,6.6,0,12
1986,5.942,0.048,0.105,0,0,6227.087,8171.887,5.4,3.402,1563.478,1.16,0,12
1987,7.343,0.063,0.112,0,0,7996.404,9569.604,6.396,4.021,1564.042,-0.04,0,12
1988,8.263,0.082,0.133,0,0,9525.102,12014.302,6.625,4.73,1574.162,-0.65,0,12
1989,9.625,0.095,0.16,0.595,1.191,15526.411,22093.611,9.995,5.802,1583.694,-0.61,0,12
1990,11.29,0.34,0.192,0.59,1.338,18840.441,25896.241,12.714,8.578,1576.8,0.44,0,12
1991,12.424,0.34,0.23,0.616,1.54,24568.715,32416.415,16.372,11.087,1578.2,-0.09,0.79,12
1992,13.752,0.115,0.255,0.727,1.697,30468.934,38970.634,19.646,14.131,1597.6,-1.23,-0.17,12
1993,15.661,0.355,0.305,0.722,1.962,30010.063,39416.963,19.704,16.027,1597.6,0,1.32,12
1994,8.781,1.09,0.35,0.451,1.146,26317.885,35506.185,18.784,13.672,1579.8,1.11,1.72,12
1995,5.929,0.5,0.39,0.554,0.979,40468.528,49301.528,26.654,15.568,1576,0.24,0.71,12
1996,12.663,0.72,0.445,1.349,2.364,41939.037,49806.037,32.744,25.276,1560,1.02,3.17,12
1997,13.323,1.36,0.49,5.19,6.15,54729.125,57747.125,40,26.769,1502,3.72,3.76,12
1998,14.712,1.31,0.515,-1.798,2.114,60127.125,67765.125,44.688,27.688,1471,2.06,3.02,12
1999,16.773,1.37,0.535,1.513,2.41,51288.75,53277.75,41.813,30.25,1455,1.09,2.5,12
2000,14.226,1.42,0.555,1.724,2.479,72114.165,73820.165,49.75,30.438,1455,0,1.38,12
2001,13.046,1.33,0.575,1.385,2.12,85499.64,86855.64,50.22,41.26,1756,-20.69,0.68,12
2002,14.081,1.68,0.595,1.789,2.595,72702.84,73606.84,53.12,35.5,1722,1.94,2.39,12
2003,15.509,2.05,0.63,1.715,2.489,79487.1,79779.1,48.71,37.3,1705,0.99,1.58,12
2004,16.963,2.44,0.85,2.126,2.93,87643.8,87649.8,55.55,45.39,1679,1.52,2.38,12
2005,19.093,2.39,1.01,2.413,3.431,97836.48,98156.48,59.9,51.57,1656,1.37,1.97,12
2006,20.828,3.34,1.16,2.381,3.606,102456.9,102458.9,65.91,56.77,1638,1.09,1.76,12
2007,23.808,3.41,1.425,2.717,4.182,121819.5,123582.5,78.69,62.16,1605,2.01,2.62,12
2008,26.998,3.21,1.65,2.842,4.369,85238.113,91705.113,79.57,50.29,1556.292,3.03,5.54,12
2009,27.414,3.77,1.775,2.96,4.309,95152,99560,64.23,45.81,1565,-0.56,0,12
2010,35.835,3.91,1.89,3.219,5.234,103286.73,122167.73,68.11,58.96,1581,-1.02,4.82,12
2011,41.643,4.03,2.025,3.51,5.601,103771.4,126471.4,71.78,59.99,1564,1.08,2.4,12
2012,41.582,3.92,2.128,3.66,5.383,105655.92,127541.92,73.58,62.28,1544,1.28,3.05,12
2013,42.574,4.32,2.24,4.419,6.21,126815.26,146927.26,86.8,69.33,1529,0.97,2.37,12
2014,43.669,4.27,2.533,5.008,6.88,140705.28,161027.28,100.39,77.1,1488,2.68,3.56,12
2015,42.462,3.67,2.763,5.459,7.316,144684.16,166107.16,103.08,89.64,1448,2.69,3.46,12
2016,43.25,4.36,2.96,5.25,7.344,149411.64,170376.64,109.96,93.77,1428,1.38,2.01,12
2017,44.176,3.38,3.168,4.91,6.975,170286.4,190190.4,119.92,101.55,1420,0.56,1.17,12
2018,45.376,8.78,3.588,4.304,6.607,155666.32,179078.32,121.94,96.16,1409,0.77,1.28,12
2019,47.733,5.2,3.793,3.85,6.858,190107.97,216961.97,140.28,107.32,1391,1.28,1.58,12
2020,50.555,5.12,4.023,4.578,7.624,204654,239811,148.3,103.93,1380,0.79,0.98,12
2021,57.217,5.49,4.248,5.033,8.363,240240.93,275140.93,173.71,128.83,1383,-0.22,0.04,12
2022,62.287,6.42,4.525,4.04,7.795,248768.82,283098.82,185.9,153.73,1377,0.43,0.6,12
2023,66.14,6.56,4.945,5.73,9.719,233360.16,268152.16,196.12,158.08,1374,0.22,0.43,12
2024,66.657,6.95,5.33,5.217,9.076,208624.647,244436.647,183.11,151.29,1371.989,0.15,0.48,12
