fiscal_year,revenue,gross_profit,sga,rnd,operating_income,taxes_paid,net_income,cash_equivalents,market_securities,current_assets,long_assets,short_debt,current_liabilities,long_debt,long_liabilities,treasury_stock,shares_outstanding_diluted,shares_outstanding_eop,cash_from_ops,cash_for_dividends,capex,free_cash_flow,stock_issues,stock_buyback,debt_paid,debt_issued,fiscal_month
1992,39271,19399,1761,0,9638,-1253,1569,0,0,0,0,0,0,0,0,0,1355.91,1355.91,3914,-1115,-3352,562,0,-382,-1260,1356,12
1993,36642,18635,1530,0,9407,-1161,1265,1644,372,8682,26054,3456,10606,4082,10133,-2070,1301.916,1302.956,4221,-1139,-3323,898,0,-4,-854,492,12
1994,35854,18864,963,379,3149,-1110,1693,413,893,7591,26816,4014,9392,3955,10419,-2063,1303.344,1303.501,2896,-1206,-3405,-509,0,-5,-588,902,12
1995,37082,19049,1384,372,2190,-859,930,621,773,7867,26463,3806,9445,4133,10530,-2047,1304.168,1304.654,4075,-1255,-3529,546,0,-4,-330,536,12
1996,43893,21067,1377,455,5104,-2133,2607,892,745,7942,26912,2706,8907,3650,10324,-2024,1305.539,1306.172,5797,-1358,-3424,2373,0,-4,-1655,95,12
1997,41950,21727,1533,493,5814,-2246,3256,1015,655,7006,28467,1637,6946,4139,11055,-1977,1315.556,1311.862,4583,-1493,-3899,684,173,0,-584,26,12
1998,30557,16521,2239,478,2239,-495,1339,569,844,6297,30243,3165,7166,4128,12340,-2293,1312.745,1306.053,3731,-1596,-3880,-149,0,-261,-388,1937,12
1999,85713,30612,3222,0,13044,-2565,3247,1997,971,17043,58337,6063,17683,12787,27173,-2816,1319,1312.692,7771,-2672,-7895,-124,108,0,0,1434,12
2000,119130,40044,3626,0,21871,-6322,7727,2328,913,17913,59708,3094,16661,12494,26845,-4273,1307.654,1282.12,13467,-2789,-7629,5838,0,-1498,-3202,0,12
2001,106245,37007,3984,0,17354,-4360,3288,2117,1033,18327,59245,8429,20654,8704,22677,-3415,2124.272,2134.441,11457,-2858,-9713,1744,140,-763,0,1386,12
2002,98537,33100,4155,0,14100,-2998,1132,2957,824,17776,59583,5358,19876,10666,25576,-3374,2135.849,2136.273,9943,-2991,-7597,2346,41,0,-1121,0,12
2003,121277,40897,4440,0,20325,-5294,7230,4266,1001,19426,62044,1703,16111,10651,28796,-3317,2077.586,2138.295,12315,-3070,-5625,6690,57,-75,-3941,0,12
2004,155300,50352,4557,0,29010,-7517,13328,9291,1451,28503,64705,816,18795,10217,29011,-5124,2122.293,2107.12,14690,-3277,-6310,8380,0,-1663,-1284,0,12
2005,198200,57298,4828,0,34494,-11098,14099,10043,1101,34336,91497,739,25011,11807,37946,-7870,2155.81,2232.687,20105,-3876,-8701,11404,0,-2737,-1055,0,12
2006,210118,65979,5093,0,32497,-14838,17138,10493,953,36304,96324,2159,28409,7405,35075,-12395,2197.179,2164.558,24323,-4396,-13813,10510,0,-4491,-2901,0,12
2007,220904,69340,5926,0,32440,-13479,18688,7362,732,39377,109409,1162,33798,5664,37696,-18892,2132,2090.434,24977,-4791,-16678,8299,0,-6389,-3038,0,12
2008,267639,75447,5756,0,37691,-19026,23931,9347,213,36470,124695,2818,32023,5742,42025,-26376,2050,2004.232,29632,-5162,-19666,9966,0,-6821,-965,2647,12
2009,168320,42701,4527,0,7131,-7965,10483,8716,106,37216,127405,384,26211,9829,45849,-26168,2001,2007.722,19373,-5302,-19843,-470,0,168,-3688,5347,12
2010,198198,68668,4767,0,25375,-12919,19024,14060,155,48841,135928,187,29012,11003,49946,-26411,2007,2007.481,31354,-5669,-19612,11742,0,-306,-368,1250,12
2011,244371,81537,4745,0,38299,-20626,26895,15864,4207,53234,156240,340,33600,9684,53693,-29685,2001,1981.167,41095,-6136,-26500,14595,0,-3193,-2769,400,12
