dividend_amount,ex_date,record_date,pay_date,dividend_type,currency
1.79,2025-04-01,2025-04-01,2025-05-12,regular,USD
1.77,2025-01-02,2025-01-02,2025-02-10,regular,USD
1.77,2024-10-01,2024-10-01,2024-11-12,regular,USD
1.77,2024-07-01,2024-07-01,2024-08-12,regular,USD
1.77,2024-03-28,2024-04-01,2024-05-13,regular,USD
1.75,2023-12-29,2024-01-02,2024-02-12,regular,USD
1.75,2023-09-29,2023-10-02,2023-11-13,regular,USD
1.75,2023-06-30,2023-07-03,2023-08-14,regular,USD
1.75,2023-03-31,2023-04-03,2023-05-08,regular,USD
1.62,2022-12-30,2023-01-03,2023-02-13,regular,USD
1.62,2022-09-30,2022-10-03,2022-11-14,regular,USD
1.62,2022-06-30,2022-07-01,2022-08-08,regular,USD
1.62,2022-03-31,2022-04-01,2022-05-09,regular,USD
1.5,2021-12-31,2022-01-03,2022-02-14,regular,USD
1.5,2021-09-30,2021-10-01,2021-11-08,regular,USD
1.5,2021-06-30,2021-07-01,2021-08-09,regular,USD
1.5,2021-03-31,2021-04-01,2021-05-10,regular,USD
1.34,2020-12-31,2021-01-04,2021-02-08,regular,USD
1.34,2020-09-30,2020-10-01,2020-11-09,regular,USD
1.34,2020-06-30,2020-07-01,2020-08-10,regular,USD
1.34,2020-03-31,2020-04-01,2020-05-11,regular,USD
1.16,2019-12-31,2020-01-02,2020-02-10,regular,USD
1.16,2019-09-30,2019-10-01,2019-11-11,regular,USD
1.16,2019-06-28,2019-07-01,2019-08-12,regular,USD
1.16,2019-03-29,2019-04-01,2019-05-13,regular,USD
1.1,2018-12-31,2019-01-02,2019-02-11,regular,USD
1.1,2018-09-28,2018-10-01,2018-11-12,regular,USD
1.1,2018-06-29,2018-07-02,2018-08-13,regular,USD
1.1,2018-03-29,2018-04-02,2018-05-14,regular,USD
0.95,2017-12-29,2018-01-02,2018-02-12,regular,USD
0.95,2017-10-06,2017-10-10,2017-11-13,regular,USD
0.95,2017-06-29,2017-07-03,2017-08-14,regular,USD
0.95,2017-03-30,2017-04-03,2017-05-08,regular,USD
0.86,2016-12-29,2017-01-03,2017-02-13,regular,USD
0.86,2016-10-06,2016-10-11,2016-11-14,regular,USD
0.86,2016-06-29,2016-07-01,2016-08-08,regular,USD
0.86,2016-03-30,2016-04-01,2016-05-09,regular,USD
0.81,2015-12-30,2016-01-04,2016-02-08,regular,USD
0.81,2015-09-29,2015-10-01,2015-11-09,regular,USD
0.81,2015-06-29,2015-07-01,2015-08-10,regular,USD
0.81,2015-03-30,2015-04-01,2015-05-11,regular,USD
0.77,2014-12-30,2015-01-02,2015-02-09,regular,USD
0.77,2014-09-29,2014-10-01,2014-11-10,regular,USD
0.77,2014-06-27,2014-07-01,2014-08-11,regular,USD
0.77,2014-03-28,2014-04-01,2014-05-12,regular,USD
0.71,2013-12-30,2014-01-02,2014-02-10,regular,USD
0.71,2013-09-27,2013-10-01,2013-11-12,regular,USD
0.71,2013-06-27,2013-07-01,2013-08-12,regular,USD
0.71,2013-03-27,2013-04-01,2013-05-13,regular,USD
0.64,2012-12-28,2013-01-02,2013-02-11,regular,USD
0.64,2012-09-27,2012-10-01,2012-11-13,regular,USD
0.64,2012-06-28,2012-07-02,2012-08-13,regular,USD
0.64,2012-03-29,2012-04-02,2012-05-14,regular,USD
0.58,2011-12-29,2012-01-03,2012-02-13,regular,USD
0.58,2011-09-29,2011-10-03,2011-11-14,regular,USD
0.58,2011-06-29,2011-07-01,2011-08-08,regular,USD
0.58,2011-03-30,2011-04-01,2011-05-09,regular,USD
0.49,2010-12-30,2011-01-03,2011-02-14,regular,USD
