fiscal_year,revenue,gross_profit,sga,rnd,operating_income,taxes_paid,net_income,cash_equivalents,market_securities,current_assets,long_assets,short_debt,current_liabilities,long_debt,long_liabilities,treasury_stock,shares_outstanding_diluted,shares_outstanding_eop,cash_from_ops,cash_for_dividends,capex,free_cash_flow,stock_issues,stock_buyback,debt_paid,debt_issued,fiscal_month
2007,17120,1924,740,230,954,-279,661,0,0,0,0,0,0,0,0,0,564,564,1180,-522,-411,769,0,0,-9249,21841,12
2008,50706,1926,1197,194,535,848,-7321,858,32,7438,21213,23665,28601,304,5996,0,564,564,1090,0,-1000,90,0,0,-391,1516,12
2009,30828,1456,850,145,461,1411,-2865,558,11,8252,19509,6679,10367,305,26241,0,564,564,-787,0,-779,-1566,0,0,-1238,2453,12
2010,41151,4049,872,154,3023,953,10151,4222,0,13779,11715,46,4756,6036,9142,0,566,564.554,2021,0,-692,1329,2800,0,-3678,3256,12
2011,48183,5451,918,196,4337,-1059,2147,1065,0,11435,11404,52,5018,3980,7174,-124,572,569.34,2860,-2893,-1050,1810,0,0,-3063,1000,12
2012,45352,5757,909,172,4676,-1327,2848,2732,0,12286,11934,96,5096,4304,7945,-106,577,572.011,4787,-2415,-1060,3727,0,0,-2679,3000,12
2013,44062,6122,870,150,5102,-1136,3857,4450,0,14599,12699,59,5510,5776,9274,-2035,570,548.824,4835,-1127,-1561,3274,0,-1949,0,1472,12
2014,45608,6669,806,127,5736,-1540,4174,1031,1593,11645,12576,350,5437,6695,10440,-7853,521,486.969,6048,-1403,-1499,4549,0,-5788,0,1254,12
2015,32735,7052,828,102,6122,-1730,4476,924,1064,9789,12968,357,4349,7671,11834,-12086,466,440.15,5842,-1410,-1440,4402,0,-4656,0,1045,12
2016,29183,5992,833,99,5060,-1386,3836,875,1147,9599,13843,596,4540,8385,12829,-14945,420,404,5606,-1395,-2243,3363,0,-2938,0,989,12
2017,34484,6425,859,106,5460,-598,4879,1523,1307,11738,14468,70,4777,8549,12479,-15749,399,394.512,5206,-1415,-1547,3659,0,-866,-1493,990,12
2018,39004,6475,1129,115,5231,-613,4688,332,892,10566,17712,890,5513,8497,12369,-2206,389,375.697,5471,-1554,-2105,3366,0,-1854,-394,810,12
2019,34727,5426,1199,111,4116,-648,3390,858,196,9510,20925,448,5198,11614,17058,-580,353,333.477,4961,-1462,-2694,2267,0,-3752,-5049,7531,12
2020,27753,3394,1140,113,2141,43,1420,1763,702,11634,23769,671,5502,15286,21797,-531,334,334.015,3404,-1405,-1947,1457,0,-4,-3386,7138,12
2021,46173,8776,1255,124,7397,-1163,5610,1472,9,12217,24525,368,7230,11246,17524,-965,334,329.536,7695,-1486,-1959,5736,0,-463,-4221,0,12
2022,50451,6604,1310,124,5170,-882,3882,2151,0,11845,24520,781,6760,10540,16862,-1346,328,326,6119,-3246,-1890,4229,0,-420,-4,0,12
2023,41107,5258,1557,130,3571,-501,2114,3390,0,13152,23848,899,7150,10333,16792,-1450,326,324.483,4942,-1610,-1531,3411,0,-211,-625,500,12
2024,40302,4564,1663,135,2766,-240,1360,3375,0,12266,23480,617,6705,10532,16453,-1500,326,323.89,3819,-1720,-1839,1980,0,-195,-776,744,12
