fiscal_year,revenue,gross_profit,sga,rnd,operating_income,taxes_paid,net_income,cash_equivalents,market_securities,current_assets,long_assets,short_debt,current_liabilities,long_debt,long_liabilities,treasury_stock,shares_outstanding_diluted,shares_outstanding_eop,cash_from_ops,cash_for_dividends,capex,free_cash_flow,stock_issues,stock_buyback,debt_paid,debt_issued,fiscal_month
1985,1829.6,964.3,524.1,0,243,-74.2,143.5,46.2,0,638.1,1955.4,67.7,493.2,520.8,937.3,0,239.167,249.456,0,0,0,0,0,0,0,0,09
1986,1982.1,1064.8,579.6,0,256.4,-2.9,4.7,116.7,0,704.5,2001.2,33.6,471.9,700.2,1133.7,0,235,229.12,0,0,0,0,0,0,0,0,09
1987,2132.2,1099.7,546.7,0,310,-83.2,159.7,96.6,0,577.9,2123.8,51.6,433.4,616.4,1121.7,0,224.93,221.964,0,0,0,0,0,0,0,0,09
1988,2431.9,1238,617.2,0,363.2,-89.9,213.7,36.2,0,626.3,2373.2,97.6,516.7,667.9,1210.6,0,218.061,219.416,0,0,0,0,0,0,0,0,09
1989,2641.8,1322.1,681.4,0,359.5,-99.4,222.1,49.5,0,756.8,2608.9,46.6,494.5,853.7,1426.3,0,224.343,220.344,444.8,-69.3,-413.7,31.1,5.9,-2.5,0,106.3,09
1990,2894.7,1422.8,730.5,0,389.1,-106.9,229.9,74.4,0,837.3,3062.2,103.4,623,953.9,1588.1,0,225.392,222.8,527.5,-76.7,-467.5,60,0,0,0,111,09
1991,2931.1,1495.2,766.6,0,409.5,-113.7,248.9,104.4,0,901.2,3326.3,190.4,784.5,944.6,1601.7,0,228.349,224.8,619.3,-84,-506.4,112.9,0,0,0,107.9,09
1992,3217.3,1620.8,808.9,0,471.7,-130,271,116.8,0,998.1,3493.5,120.8,719.3,956.2,1674.6,0,231.624,226.732,599.2,-93.3,-427.5,171.7,0,0,-90.7,0,09
1993,3327.7,1643.5,956.3,0,341.5,-99.9,200.9,238.4,0,1196.3,3565.2,234.6,874,1016.4,1785.6,0,230.92,228.304,584.4,-101.6,-490.6,93.8,0,0,0,227.9,09
1994,3485.3,1373.8,788.8,97.4,486.1,-91.8,247.8,99.9,0,1177.7,3858.5,321,1076.4,922.5,1753.4,-57,227.2,225.628,751,-107.8,-611.1,139.9,0,-85.6,-26.6,0,09
1995,3865.3,1930.5,868.7,103.2,576.4,-184.6,368.2,87,0,1332,4484,487,1311,1194,2107,-139,223.152,223.366,718.9,-115.3,-870.3,-151.4,0,-124.1,0,403.4,09
