dividend_amount,ex_date,record_date,pay_date,dividend_type,currency
0.83,2025-03-14,2025-03-14,2025-04-07,regular,USD
0.83,2024-12-16,2024-12-16,2025-01-08,regular,USD
0.81,2024-09-16,2024-09-16,2024-10-07,regular,USD
0.81,2024-06-17,2024-06-17,2024-07-09,regular,USD
0.81,2024-03-14,2024-03-15,2024-04-05,regular,USD
0.81,2023-12-15,2023-12-18,2024-01-05,regular,USD
0.79,2023-09-14,2023-09-15,2023-10-06,regular,USD
0.79,2023-06-14,2023-06-15,2023-07-07,regular,USD
0.79,2023-03-14,2023-03-15,2023-04-10,regular,USD
0.79,2022-12-14,2022-12-15,2023-01-06,regular,USD
0.76,2022-09-14,2022-09-15,2022-10-07,regular,USD
0.76,2022-06-14,2022-06-15,2022-07-08,regular,USD
0.76,2022-03-14,2022-03-15,2022-04-01,regular,USD
0.76,2021-12-14,2021-12-15,2022-01-07,regular,USD
0.69,2021-09-14,2021-09-15,2021-10-01,regular,USD
0.69,2021-06-14,2021-06-15,2021-07-02,regular,USD
0.69,2021-03-12,2021-03-15,2021-04-05,regular,USD
0.69,2020-12-14,2020-12-15,2021-01-08,regular,USD
0.66,2020-09-14,2020-09-15,2020-10-02,regular,USD
0.66,2020-06-12,2020-06-15,2020-07-10,regular,USD
0.66,2020-03-13,2020-03-16,2020-04-03,regular,USD
0.66,2019-12-13,2019-12-16,2020-01-03,regular,USD
0.62,2019-09-13,2019-09-16,2019-10-04,regular,USD
0.62,2019-06-14,2019-06-17,2019-07-05,regular,USD
0.62,2019-03-14,2019-03-15,2019-04-05,regular,USD
0.62,2018-12-14,2018-12-17,2019-01-04,regular,USD
0.56,2018-09-13,2018-09-14,2018-10-05,regular,USD
0.56,2018-06-14,2018-06-15,2018-07-06,regular,USD
0.56,2018-03-14,2018-03-15,2018-04-06,regular,USD
0.56,2017-12-15,2017-12-18,2018-01-05,regular,USD
0.51,2017-09-14,2017-09-15,2017-10-02,regular,USD
0.51,2017-06-13,2017-06-15,2017-07-05,regular,USD
0.51,2017-03-13,2017-03-15,2017-04-03,regular,USD
0.51,2016-12-13,2016-12-15,2017-01-03,regular,USD
0.46,2016-09-13,2016-09-15,2016-10-03,regular,USD
0.46,2016-06-13,2016-06-15,2016-07-01,regular,USD
0.46,2016-03-11,2016-03-15,2016-04-01,regular,USD
0.46,2015-12-10,2015-12-14,2016-01-04,regular,USD
0.4,2015-09-10,2015-09-14,2015-10-01,regular,USD
0.4,2015-06-11,2015-06-15,2015-07-01,regular,USD
0.4,2015-03-12,2015-03-16,2015-04-01,regular,USD
0.4,2014-12-11,2014-12-15,2015-01-02,regular,USD
0.35,2014-09-11,2014-09-15,2014-10-01,regular,USD
0.35,2014-06-11,2014-06-13,2014-07-01,regular,USD
0.35,2014-03-12,2014-03-14,2014-04-01,regular,USD
0.35,2013-12-12,2013-12-16,2014-01-02,regular,USD
0.3,2013-09-11,2013-09-13,2013-10-01,regular,USD
0.3,2013-06-12,2013-06-14,2013-07-01,regular,USD
0.3,2013-03-13,2013-03-15,2013-04-01,regular,USD
0.3,2012-12-13,2012-12-17,2012-12-31,regular,USD
0.26,2012-09-12,2012-09-14,2012-10-01,regular,USD
0.26,2012-06-13,2012-06-15,2012-07-02,regular,USD
0.26,2012-03-13,2012-03-15,2012-04-02,regular,USD
0.26,2011-12-13,2011-12-15,2012-01-03,regular,USD
0.26,2011-09-13,2011-09-15,2011-10-03,regular,USD
0.235,2011-06-13,2011-06-15,2011-07-01,regular,USD
0.235,2011-03-11,2011-03-15,2011-04-01,regular,USD
0.235,2010-12-09,2010-12-13,2011-01-03,regular,USD
0.22,2010-09-09,2010-09-13,2010-10-01,regular,USD
0.22,2010-06-10,2010-06-14,2010-07-01,regular,USD
0.22,2010-03-11,2010-03-15,2010-04-01,regular,USD
0.22,2009-12-10,2009-12-14,2010-01-04,regular,USD
0.22,2009-09-10,2009-09-14,2009-10-01,regular,USD
0.22,2009-06-11,2009-06-15,2009-07-01,regular,USD
0.22,2009-03-12,2009-03-16,2009-04-01,regular,USD
0.22,2008-12-11,2008-12-15,2009-01-02,regular,USD
0.22,2008-09-11,2008-09-15,2008-10-01,regular,USD
0.22,2008-06-12,2008-06-16,2008-07-01,regular,USD
0.22,2008-03-13,2008-03-17,2008-04-01,regular,USD
0.22,2007-12-13,2007-12-17,2008-01-02,regular,USD
0.22,2007-09-13,2007-09-17,2007-10-01,regular,USD
0.22,2007-06-13,2007-06-15,2007-07-02,regular,USD
0.22,2007-03-13,2007-03-15,2007-04-02,regular,USD
0.22,2006-12-14,2006-12-18,2007-01-02,regular,USD
0.005,2006-12-14,2006-12-18,2007-01-02,special,USD
0.22,2006-09-13,2006-09-15,2006-10-02,regular,USD
0.22,2006-06-13,2006-06-15,2006-07-03,regular,USD
0.22,2006-03-13,2006-03-15,2006-04-03,regular,USD
0.22,2005-12-13,2005-12-15,2006-01-02,regular,USD
0.22,2005-09-13,2005-09-15,2005-10-03,regular,USD
0.22,2005-06-13,2005-06-15,2005-07-01,regular,USD
0.22,2005-03-11,2005-03-15,2005-04-01,regular,USD
0.22,2004-12-13,2004-12-15,2005-01-03,regular,USD
0.22,2004-09-13,2004-09-15,2004-10-01,regular,USD
0.22,2004-06-14,2004-06-15,2004-07-01,regular,USD
0.22,2004-03-11,2004-03-15,2004-04-01,regular,USD
0.22,2003-12-11,2003-12-15,2004-01-02,regular,USD
