fiscal_year,revenue,gross_profit,sga,rnd,operating_income,taxes_paid,net_income,cash_equivalents,market_securities,current_assets,long_assets,short_debt,current_liabilities,long_debt,long_liabilities,treasury_stock,shares_outstanding_diluted,shares_outstanding_eop,cash_from_ops,cash_for_dividends,capex,free_cash_flow,stock_issues,stock_buyback,debt_paid,debt_issued,fiscal_month
1993,3903,1243,446,0,451,-172,-209,141,0,1103,3238,0,469,1801,2811,0,165.292,165.292,752,-18,-404,348,0,0,0,0,12
1994,4329,1442,310,167,636,-214,336,90,0,1273,3102,0,800,1195,2280,0,166.2,166.184,816,-99,-281,535,0,0,-605,0,12
1995,5040,1812,364,176,964,-340,559,100,0,1469,3385,0,873,1217,2453,-200,164.8,159.884,838,-133,-446,392,0,-200,-2,0,12
1996,4782,1179,332,184,663,-227,380,24,0,1345,3921,0,787,1523,2840,-359,158.6,155.24,746,-134,-789,-43,0,-161,0,273,12
1997,4678,1096,337,191,506,-160,286,29,0,1490,4288,0,954,1714,3071,-366,157.6,156.511,698,-138,-749,-51,0,-8,0,191,12
1998,4481,935,316,185,434,-111,249,29,0,1398,4452,0,959,1649,2957,-331,159.105,158.527,731,-138,-500,231,0,0,-66,0,12
1999,4590,822,355,187,227,-24,48,186,0,1489,4814,599,1608,1506,2936,-381,157.377,156.18,744,-138,-292,452,0,-51,0,314,12
2000,5292,1066,346,149,571,-149,303,101,0,1523,5027,106,1258,1914,3480,-438,153.807,153.486,846,-135,-226,620,4,-57,-278,0,12
2001,5390,893,407,160,281,118,-175,66,0,1464,4628,54,960,2143,3750,-442,153.509,153.959,397,-135,-234,163,20,-4,0,210,12
2002,5320,779,407,159,213,-5,61,77,0,1547,4740,3,1247,2054,3769,-436,154.43,154.693,801,-135,-427,374,0,-1,-187,0,12
2003,5800,810,414,173,222,108,-270,558,0,2010,4234,504,1477,2089,3724,-435,154.286,154.777,244,-136,-230,14,0,0,0,529,12
2004,6580,978,450,154,381,106,170,325,0,1768,4071,1,1099,2061,3556,-433,156.6,158.673,494,-137,-248,246,77,0,-519,0,12
2005,6460,1360,439,150,740,-222,557,524,0,1924,3849,14,1051,1621,3110,-432,163.6,163.276,769,-142,-343,426,100,0,-505,0,12
2006,6779,1265,423,155,654,-167,409,939,0,2422,3710,14,1059,1589,3044,-432,166.599,167.275,609,-144,-405,204,93,0,-50,0,12
2007,6830,1192,420,156,494,-149,300,888,0,2293,3716,78,1122,1535,2805,-813,167.598,159.506,732,-147,-529,203,103,-382,-22,0,12
2008,6726,1126,419,158,565,-101,346,387,0,1423,3858,13,832,1442,2896,-1314,152,145.094,653,-135,-644,9,39,-501,-182,0,12
2009,4396,1032,367,124,541,-100,136,793,0,1735,3780,0,800,1604,3202,-1335,147.027,144.936,758,-128,-318,440,0,-21,-101,251,12
2010,5842,1459,434,152,873,-202,425,516,0,2047,3939,6,1070,1598,3289,-1615,147.8,141.496,575,-127,-250,325,0,-280,-620,498,12
2011,7178,1569,481,159,929,-274,646,577,200,2302,3882,153,1114,1445,3169,-1930,143.1,137.004,625,-136,-466,159,0,-316,-38,1,12
2012,8102,1762,644,198,920,-206,437,249,0,2699,9011,4,1364,4779,7318,-1929,149.1,153.955,1128,-192,-470,658,0,0,-1867,3511,12
2013,9350,2776,645,193,1938,-507,1165,237,0,2840,9005,0,1470,4254,6500,-2167,156.5,152.467,1297,-140,-483,814,0,-238,-1105,575,12
2014,9527,2221,755,227,1239,-235,751,214,0,3173,12899,301,2022,7248,10460,-2577,151.1,148.647,1433,-210,-593,840,0,-410,-315,3565,12
2015,9648,2580,771,242,1567,-275,848,293,0,2878,12702,431,2056,6577,9503,-2680,149.8,147.813,1624,-238,-652,972,0,-103,-950,445,12
2016,9008,2357,707,223,1427,-190,854,181,0,2866,12591,283,1795,6311,9054,-2825,148.4,146.489,1385,-272,-626,759,0,-145,-2276,1848,12
2017,9549,2363,729,227,1407,99,1384,191,0,3143,12856,393,1982,6147,8537,-3175,146.1,142.967,1657,-296,-649,1008,0,-350,-1044,675,12
2018,10151,2479,721,235,1523,-226,1080,226,0,3365,12630,243,1851,5925,8266,-3575,142.9,139.777,1543,-318,-528,1015,0,-400,-1920,1604,12
2019,9273,2234,691,234,1309,-140,759,204,0,3321,12687,171,1789,5611,8187,-3900,138.5,135.993,1504,-343,-431,1073,0,-325,-830,460,12
2020,8473,1975,654,226,1095,-41,478,564,0,3541,12542,349,2038,5269,7937,-3960,136.5,135.862,1455,-358,-396,1059,0,-60,-556,249,12
2021,10476,2500,383,254,1863,-215,857,459,0,4646,10873,747,2971,4412,6760,-4860,137.1,128.968,1619,-375,-578,1041,0,-1000,-350,0,12
2022,10580,2137,625,264,1248,-181,793,493,0,3778,10889,1126,3251,4025,6180,-5932,124.9,118.797,975,-381,-611,364,0,-1002,-750,826,12
2023,9210,2061,768,239,1054,-191,894,548,0,3481,11152,541,2576,4305,6527,-6083,119.4,117.344,1374,-376,-828,546,0,-150,-1134,796,12
2024,9382,2290,664,250,1376,-170,905,837,0,4101,11112,450,2708,4567,6653,-6385,117.9,115.168,1287,-379,-599,688,0,-300,-1039,1237,12
