fiscal_year,revenue,gross_profit,sga,rnd,operating_income,taxes_paid,net_income,cash_equivalents,market_securities,current_assets,long_assets,short_debt,current_liabilities,long_debt,long_liabilities,treasury_stock,shares_outstanding_diluted,shares_outstanding_eop,cash_from_ops,cash_for_dividends,capex,free_cash_flow,stock_issues,stock_buyback,debt_paid,debt_issued,fiscal_month
1986,2072.6,512.2,366.1,0,124.3,-53.2,59.7,87.2,0,534.6,322.8,8.7,251.7,183.9,198.3,0,1137.143,1186.624,0,0,0,0,0,0,0,0,01
1987,2283.5,559.1,406.8,0,121.8,-53,55.1,50,0,546.9,422.3,9.9,257.3,153,171.4,0,1224.444,1267.968,0,0,0,0,0,0,0,0,01
1988,2442.2,584,435.1,0,110.4,-34.8,56,43.9,0,552.5,474.8,11.7,231.9,186.2,213,0,1120,1259.712,0,0,0,0,0,0,0,0,01
1989,2516.9,600.5,432.7,0,126.6,-36.4,69.2,60.3,0,577.6,508.2,12.6,285.7,190.1,213.2,0,1203.478,1188.448,0,0,0,0,0,0,0,0,01
1990,2650.5,646.3,472.2,0,128,-33.9,74.9,55.6,0,595.9,551.5,12.7,307.9,167.9,193.9,0,1152.308,1192.168,127.2,-18.2,-91.7,35.5,2,-6,-22.2,0,01
1991,2833.1,702.7,505.9,0,145.4,-29.2,71.1,15,0,616.5,586.6,64.2,337.7,159.2,182.7,0,1185,1166.72,79.2,-19.3,-91,-11.8,6,-26.5,0,38.1,01
1992,3056.2,735.2,583.8,0,93.1,1.5,6.5,26.1,0,770.1,671.1,161.5,589,113.7,183.6,0,866.667,1166.08,93.5,-20,-133.8,-40.3,1.2,-1.9,0,49.2,01
1993,3846.4,900.6,653.8,0,177,-41.2,84.7,48.9,0,745.6,863.3,24.9,499.6,313.6,376.1,0,1168.276,1167.568,250.8,-21.2,-243.3,7.5,1,0,0,41.2,01
1994,4538,1081.3,746.3,0,254.5,-66.5,131.8,73.3,0,1083.9,1117.7,51.8,681.2,592.3,646.7,0,1171.556,1184.784,125.7,-23.6,-336.9,-211.2,1.5,0,0,274.7,01
1995,6110.5,1515.7,1014.6,0,388.2,-120,223.6,150.3,0,1557.2,1548.8,28.8,945.9,681.2,740.2,0,1286.906,1276.216,359,-27.4,-414.1,-55.1,316.8,0,-41.4,0,01
