FiscalYear,Revenue,GrossProfit,OperatingIncome,NetIncome,CashFromOperations,FreeCashFlow
1984,5741.6,1974.6,525.8,316.0,0.0,0.0
1985,4924.5,1369.2,-91.6,-118.7,0.0,0.0
1986,4974.0,1364.8,101.9,39.9,0.0,0.0
1987,5594.5,1591.7,217.4,256.9,0.0,0.0
1988,6294.8,1867.0,368.0,366.3,0.0,0.0
1989,6521.9,1885.9,319.4,291.7,798.5,-64.0
1990,6567.0,1781.0,-26.0,-39.0,694.0,-215.0
1991,6784.0,1712.0,-249.0,-409.0,417.0,-87.0
1992,7440.0,2330.0,420.0,247.0,801.0,372.0
1993,8523.0,2249.0,728.0,472.0,934.0,204.0
1994,8608.0,2883.0,926.0,691.0,1532.0,512.0
1995,11409.0,4008.0,1439.0,1088.0,1667.0,316.0
1996,9940.0,2794.0,-26.0,63.0,884.0,-1179.0
1997,9972.0,3793.0,666.0,1842.0,1944.0,659.0
1998,8875.0,3270.0,456.0,452.0,1386.0,319.0
1999,9759.0,4690.0,1755.0,1451.0,2357.0,959.0
2000,11875.0,5755.0,2339.0,3058.0,2185.0,-577.0
2001,8201.0,2377.0,-582.0,-201.0,1819.0,29.0
2002,8383.0,3070.0,288.0,-344.0,1992.0,1190.0
2003,9834.0,3962.0,965.0,1198.0,2151.0,1351.0
2004,11552.0,5257.0,1960.0,1861.0,3146.0,1886.0
2005,12335.0,6016.0,2559.0,2324.0,3772.0,2484.0
2006,14255.0,7259.0,3367.0,4341.0,2460.0,1188.0
2007,13835.0,7333.0,3497.0,2657.0,4406.0,3720.0
2008,12501.0,6245.0,2691.0,1920.0,3330.0,2567.0
2009,10427.0,4999.0,2203.0,1470.0,2643.0,1890.0
2010,13966.0,7492.0,4403.0,3228.0,3820.0,2621.0
2011,13735.0,6772.0,3419.0,2236.0,3256.0,2440.0
2012,12825.0,6368.0,2687.0,1759.0,3414.0,2919.0
2013,12205.0,6364.0,2984.0,2162.0,3384.0,2972.0
2014,13045.0,7427.0,4226.0,2821.0,4054.0,3669.0
2015,13000.0,7575.0,4580.0,2986.0,4397.0,3846.0
2016,13370.0,8257.0,5159.0,3595.0,4614.0,4083.0
2017,14961.0,9614.0,6412.0,3682.0,5363.0,4668.0
2018,15784.0,10277.0,7034.0,5580.0,7189.0,6058.0
2019,14383.0,9164.0,5975.0,5017.0,6649.0,5802.0
2020,14461.0,9269.0,6116.0,5595.0,6139.0,5490.0
2021,18344.0,12376.0,9156.0,7769.0,8756.0,6294.0
2022,20028.0,13771.0,10397.0,8749.0,8720.0,5923.0
2023,17519.0,11019.0,7331.0,6510.0,6420.0,1349.0
