FiscalYear,Revenue,COGS,SGA,RND,OperatingExpense,TaxPaid,CAPEX
1984,5741.6,3767.0,1026.2,0.0,1448.8,-170.5,0.0
1985,4924.5,3555.3,944.9,0.0,1460.8,-3.7,0.0
1986,4974.0,3609.2,836.7,0.0,1262.9,-58.8,0.0
1987,5594.5,4002.8,994.2,0.0,1374.3,-157.8,0.0
1988,6294.8,4427.8,1109.2,0.0,1499.0,-150.1,0.0
1989,6521.9,4636.0,1112.8,0.0,1566.5,-63.1,-862.5
1990,6567.0,4786.0,1266.0,0.0,1807.0,-18.0,-909.0
1991,6784.0,5072.0,1371.0,0.0,1961.0,-105.0,-504.0
1992,7440.0,5110.0,1300.0,0.0,1910.0,-122.0,-429.0
1993,8523.0,6274.0,1521.0,0.0,1521.0,-220.0,-730.0
1994,8608.0,5725.0,1379.0,578.0,1957.0,-295.0,-1020.0
1995,11409.0,7401.0,1727.0,842.0,2569.0,-474.0,-1351.0
1996,9940.0,7146.0,1639.0,1181.0,2820.0,-23.0,-2063.0
1997,9972.0,6179.0,1571.0,1556.0,3127.0,-432.0,-1285.0
1998,8875.0,5605.0,1549.0,1265.0,2814.0,-229.0,-1067.0
1999,9759.0,5069.0,1556.0,1379.0,2935.0,-631.0,-1398.0
2000,11875.0,6120.0,1669.0,1747.0,3416.0,-1491.0,-2762.0
2001,8201.0,5824.0,1361.0,1598.0,2959.0,225.0,-1790.0
2002,8383.0,5313.0,1163.0,1619.0,2782.0,2.0,-802.0
2003,9834.0,5872.0,1249.0,1748.0,2997.0,-52.0,-800.0
2004,11552.0,6295.0,1351.0,1946.0,3297.0,-481.0,-1260.0
2005,12335.0,6319.0,1471.0,1986.0,3457.0,-582.0,-1288.0
2006,14255.0,6996.0,1697.0,2195.0,3892.0,-987.0,-1272.0
2007,13835.0,6502.0,1681.0,2155.0,3836.0,-1051.0,-686.0
2008,12501.0,6256.0,1614.0,1940.0,3554.0,-561.0,-763.0
2009,10427.0,5428.0,1320.0,1476.0,2796.0,-547.0,-753.0
2010,13966.0,6474.0,1519.0,1570.0,3089.0,-1323.0,-1199.0
2011,13735.0,6963.0,1638.0,1715.0,3353.0,-719.0,-816.0
2012,12825.0,6457.0,1804.0,1877.0,3681.0,-176.0,-495.0
2013,12205.0,5841.0,1858.0,1522.0,3380.0,-592.0,-412.0
2014,13045.0,5618.0,1843.0,1358.0,3201.0,-1053.0,-385.0
2015,13000.0,5425.0,1728.0,1267.0,2995.0,-1230.0,-551.0
2016,13370.0,5113.0,1742.0,1356.0,3098.0,-1335.0,-531.0
2017,14961.0,5347.0,1694.0,1508.0,3202.0,-2398.0,-695.0
2018,15784.0,5507.0,1684.0,1559.0,3243.0,-1106.0,-1131.0
2019,14383.0,5219.0,1645.0,1544.0,3189.0,-711.0,-847.0
2020,14461.0,5192.0,1623.0,1530.0,3153.0,-422.0,-649.0
2021,18344.0,5968.0,1666.0,1554.0,3220.0,-1150.0,-2462.0
2022,20028.0,6257.0,1704.0,1670.0,3374.0,-1283.0,-2797.0
2023,17519.0,6500.0,1825.0,1863.0,3688.0,-908.0,-5071.0
