FiscalYear,Revenue,CashFromOperations,FreeCashFlow,CashEquivalents,MarketSecurities,TreasuryStock,CurrentAssets,LongAssets,CurrentLiabilities,LongLiabilities,CashPaidToDebt
1984,5741.6,0.0,0.0,274.4,0.0,0.0,1858.4,1565.0,1412.2,470.7,0.0
1985,4924.5,0.0,0.0,158.8,0.0,0.0,1530.7,1545.4,1128.9,519.5,0.0
1986,4974.0,0.0,0.0,214.4,0.0,0.0,1781.4,1555.3,1113.1,496.6,0.0
1987,5594.5,0.0,0.0,662.6,0.0,0.0,2562.8,1693.5,1246.7,1284.0,0.0
1988,6294.8,0.0,0.0,780.4,0.0,0.0,2548.6,1878.9,1199.4,1505.3,0.0
1989,6521.9,798.5,-64.0,418.2,0.0,0.0,2446.4,2358.0,1302.8,1016.7,0.0
1990,6567.0,694.0,-215.0,403.0,0.0,0.0,2305.0,2743.0,1479.0,1211.0,0.0
1991,6784.0,417.0,-87.0,452.0,0.0,0.0,2381.0,2628.0,1568.0,1486.0,0.0
1992,7440.0,801.0,372.0,356.0,0.0,0.0,2626.0,2559.0,1665.0,1573.0,0.0
1993,8523.0,934.0,204.0,404.0,484.0,-5.0,3314.0,2679.0,2001.0,1677.0,-38.0
1994,8608.0,1532.0,512.0,760.0,530.0,-6.0,4017.0,2972.0,2199.0,1751.0,-88.0
1995,11409.0,1667.0,316.0,1364.0,189.0,-12.0,5445.0,3303.0,2879.0,1774.0,0.0
1996,9940.0,884.0,-1179.0,964.0,14.0,-12.0,4454.0,4906.0,2486.0,2777.0,0.0
1997,9972.0,1944.0,659.0,1015.0,2005.0,-94.0,6103.0,4746.0,2496.0,2439.0,-542.0
1998,8875.0,1386.0,319.0,632.0,1709.0,-134.0,4999.0,6491.0,2223.0,2531.0,-67.0
1999,9759.0,2357.0,959.0,781.0,2045.0,-109.0,6353.0,9074.0,2697.0,3152.0,0.0
2000,11875.0,2185.0,-577.0,745.0,3258.0,-93.0,8115.0,9605.0,2813.0,2319.0,-53.0
2001,8201.0,1819.0,29.0,431.0,2513.0,-235.0,5775.0,10004.0,1580.0,2320.0,-132.0
2002,8383.0,1992.0,1190.0,949.0,2063.0,-229.0,6126.0,8553.0,1934.0,2011.0,-29.0
2003,9834.0,2151.0,1351.0,1818.0,2511.0,-135.0,7709.0,7801.0,2200.0,1446.0,-426.0
2004,11552.0,3146.0,1886.0,2668.0,3690.0,-480.0,10190.0,6109.0,1925.0,1311.0,-435.0
2005,12335.0,3772.0,2484.0,1214.0,4116.0,-3856.0,9412.0,5651.0,2377.0,749.0,0.0
2006,14255.0,2460.0,1188.0,1183.0,2534.0,-8430.0,7854.0,6076.0,2078.0,492.0,-586.0
2007,13835.0,4406.0,3720.0,1328.0,1596.0,-12160.0,6918.0,5749.0,2025.0,667.0,-43.0
2008,12501.0,3330.0,2567.0,1046.0,1494.0,-13814.0,5790.0,6133.0,1532.0,1065.0,0.0
2009,10427.0,2643.0,1890.0,1182.0,1743.0,-14549.0,6114.0,6005.0,1587.0,810.0,0.0
2010,13966.0,3820.0,2621.0,1319.0,1753.0,-16411.0,7060.0,6341.0,1981.0,983.0,0.0
2011,13735.0,3256.0,2440.0,992.0,1943.0,-17485.0,7828.0,12669.0,3499.0,6046.0,-400.0
2012,12825.0,3414.0,2919.0,1416.0,2549.0,-18462.0,8230.0,11791.0,3430.0,5630.0,-1375.0
2013,12205.0,3384.0,2972.0,1627.0,2202.0,-19790.0,8019.0,10919.0,2747.0,5384.0,-1500.0
2014,13045.0,4054.0,3669.0,1199.0,2342.0,-21840.0,7421.0,9951.0,2658.0,4324.0,-1000.0
2015,13000.0,4397.0,3846.0,1000.0,2218.0,-24068.0,7074.0,9156.0,2555.0,3729.0,-1000.0
2016,13370.0,4614.0,4083.0,1154.0,2336.0,-25523.0,7457.0,8974.0,2264.0,3694.0,-1000.0
2017,14961.0,5363.0,4668.0,1656.0,2813.0,-27458.0,8734.0,8908.0,2258.0,5047.0,-625.0
2018,15784.0,7189.0,6058.0,2438.0,1795.0,-32130.0,8097.0,9040.0,2474.0,5669.0,-500.0
2019,14383.0,6649.0,5802.0,2437.0,2950.0,-34495.0,8761.0,9257.0,2123.0,6988.0,-1500.0
2020,14461.0,6139.0,5490.0,3107.0,3461.0,-36578.0,10239.0,9112.0,2390.0,7774.0,-1000.0
2021,18344.0,8756.0,6294.0,4631.0,5108.0,-36800.0,13685.0,10991.0,2569.0,8774.0,-550.0
2022,20028.0,8720.0,5923.0,3050.0,6017.0,-40214.0,14021.0,13186.0,2985.0,9645.0,-500.0
2023,17519.0,6420.0,1349.0,2964.0,5611.0,-40284.0,15122.0,17226.0,3320.0,12131.0,-500.0
