FiscalYear,Revenue,COGS,SGA,RND,OperatingExpense,TaxPaid,CAPEX
1984,1515.9,840.6,545.8,0.0,583.8,-45.1,0.0
1985,1918.3,1076.0,653.2,0.0,695.0,-58.8,0.0
1986,1901.9,840.0,737.3,0.0,788.4,-155.8,0.0
1987,2661.1,1225.7,993.4,0.0,1063.9,-192.9,0.0
1988,4071.4,1913.2,1460.2,0.0,1537.9,-255.9,0.0
1989,5284.0,2570.0,1954.9,0.0,2079.7,-290.3,-239.0
1990,5558.4,2403.5,2240.2,0.0,2442.9,-303.6,-224.3
1991,6308.8,3109.7,2547.4,0.0,2751.8,-189.9,-218.3
1992,7086.542,3991.337,1687.262,602.135,2289.397,-325.069,-194.853
1993,7977.0,5249.0,1632.0,665.0,2297.0,-53.0,-213.0
1994,9189.0,6846.0,1384.0,564.0,1948.0,-190.0,-160.0
1995,11062.0,8204.0,1583.0,614.0,2197.0,-250.0,-159.0
1996,9833.0,8865.0,1568.0,604.0,2172.0,479.0,-67.0
1997,7081.0,5713.0,1286.0,860.0,2146.0,0.0,-437.0
1998,5941.0,4462.0,908.0,310.0,1218.0,-20.0,-46.0
1999,6134.0,4438.0,996.0,314.0,1310.0,-75.0,-71.0
2000,7983.0,5817.0,1166.0,380.0,1546.0,-306.0,-142.0
2001,5363.0,4128.0,1138.0,441.0,1579.0,15.0,-232.0
2002,5742.0,4139.0,1109.0,447.0,1556.0,-22.0,-174.0
2003,6207.0,4499.0,1212.0,471.0,1683.0,-24.0,-164.0
2004,8279.0,6022.0,1430.0,491.0,1921.0,-104.0,-176.0
2005,13931.0,9889.0,1864.0,535.0,2399.0,-480.0,-260.0
2006,19315.0,13717.0,2433.0,712.0,3145.0,-829.0,-685.0
2007,24578.0,16426.0,2963.0,782.0,3745.0,-1511.0,-986.0
2008,37491.0,24294.0,3761.0,1109.0,4870.0,-2828.0,-1199.0
2009,42905.0,25683.0,4149.0,1333.0,5482.0,-3831.0,-1213.0
2010,65225.0,39541.0,5517.0,1782.0,7299.0,-4527.0,-2121.0
2011,108249.0,64431.0,7599.0,2429.0,10028.0,-8283.0,-7452.0
2012,156508.0,87846.0,10040.0,3381.0,13421.0,-14030.0,-9402.0
2013,170910.0,106606.0,10830.0,4475.0,15305.0,-13118.0,-9076.0
2014,182795.0,112258.0,11993.0,6041.0,18034.0,-13973.0,-9813.0
2015,233715.0,140089.0,14329.0,8067.0,22396.0,-19121.0,-11488.0
2016,215639.0,131376.0,14194.0,10045.0,24239.0,-15685.0,-12734.0
2017,229234.0,141048.0,15261.0,11581.0,26842.0,-15738.0,-12451.0
2018,265595.0,163756.0,16705.0,14236.0,30941.0,-13372.0,-13313.0
2019,260174.0,161782.0,18245.0,16217.0,34462.0,-10481.0,-10495.0
2020,274515.0,169559.0,19916.0,18752.0,38668.0,-9680.0,-7309.0
2021,365817.0,212981.0,21973.0,21914.0,43887.0,-14527.0,-11085.0
2022,394328.0,223546.0,25094.0,26251.0,51345.0,-19300.0,-10708.0
2023,383285.0,214137.0,24932.0,29915.0,54847.0,-16741.0,-10959.0
