FiscalYear,Revenue,CashFromOperations,FreeCashFlow,CashEquivalents,MarketSecurities,TreasuryStock,CurrentAssets,LongAssets,CurrentLiabilities,LongLiabilities,CashPaidToDebt
1984,1515.9,0.0,0.0,114.9,0.0,0.0,687.6,101.2,255.2,69.0,0.0
1985,1918.3,0.0,0.0,337.0,0.0,0.0,822.1,114.1,295.4,90.3,0.0
1986,1901.9,0.0,0.0,576.2,0.0,0.0,1040.9,119.2,328.5,137.5,0.0
1987,2661.1,0.0,0.0,565.1,0.0,0.0,1307.4,170.5,478.7,162.7,0.0
1988,4071.4,0.0,0.0,545.7,0.0,0.0,1783.0,299.1,827.1,251.6,0.0
1989,5284.0,507.3,268.3,438.3,0.0,0.0,2294.4,449.5,895.3,362.9,-71.1
1990,5558.4,963.9,739.6,374.7,0.0,0.0,2403.3,572.4,1027.0,501.9,0.0
1991,6308.8,128.7,-89.6,604.1,0.0,0.0,2863.6,630.0,1217.1,509.8,0.0
1992,7086.542,920.973,726.12,498.6,0.0,0.0,3558.4,665.3,1425.5,610.8,0.0
1993,7977.0,-651.0,-864.0,676.413,215.89,0.0,4338.355,833.057,2508.085,636.949,-11.0
1994,9189.0,737.0,577.0,1203.0,55.0,0.0,4476.0,827.0,1944.0,976.0,-531.0
1995,11062.0,-240.0,-399.0,756.0,196.0,0.0,5224.0,1007.0,2325.0,1005.0,-2.0
1996,9833.0,408.0,341.0,1552.0,193.0,0.0,4515.0,849.0,2003.0,1303.0,-275.0
1997,7081.0,154.0,-283.0,1230.0,229.0,0.0,3424.0,809.0,1818.0,1215.0,-161.0
1998,5941.0,775.0,729.0,1481.0,819.0,0.0,3698.0,591.0,1520.0,1127.0,-25.0
1999,6134.0,822.0,751.0,1326.0,1900.0,0.0,4285.0,876.0,1549.0,508.0,0.0
2000,7983.0,868.0,726.0,1191.0,2836.0,0.0,5427.0,1376.0,1933.0,763.0,0.0
2001,5363.0,185.0,-47.0,2310.0,2026.0,0.0,5143.0,878.0,1518.0,583.0,0.0
2002,5742.0,89.0,-85.0,2252.0,2085.0,0.0,5388.0,910.0,1658.0,545.0,0.0
2003,6207.0,289.0,125.0,3396.0,1170.0,0.0,5887.0,928.0,2357.0,235.0,0.0
2004,8279.0,934.0,758.0,2969.0,2495.0,0.0,7055.0,995.0,2651.0,323.0,-300.0
2005,13931.0,2535.0,2275.0,3491.0,4770.0,0.0,10300.0,1216.0,3487.0,601.0,0.0
2006,19315.0,2220.0,1535.0,6392.0,3718.0,0.0,14509.0,2696.0,6443.0,778.0,0.0
2007,24578.0,5470.0,4484.0,9352.0,6034.0,0.0,21956.0,3391.0,9280.0,1535.0,0.0
2008,37491.0,9596.0,8397.0,11875.0,10236.0,0.0,30006.0,6165.0,11361.0,2513.0,0.0
2009,42905.0,10159.0,8946.0,5263.0,18201.0,0.0,31555.0,15946.0,11506.0,4355.0,0.0
2010,65225.0,18595.0,16474.0,11261.0,14359.0,0.0,41678.0,33505.0,20722.0,6670.0,0.0
2011,108249.0,37529.0,30077.0,9815.0,16137.0,0.0,44988.0,71383.0,27970.0,11786.0,0.0
2012,156508.0,50856.0,41454.0,10746.0,18383.0,0.0,57653.0,118411.0,38542.0,19312.0,0.0
2013,170910.0,53666.0,44590.0,14259.0,26287.0,0.0,73286.0,133714.0,43658.0,39793.0,0.0
2014,182795.0,59713.0,49900.0,13844.0,11233.0,0.0,68531.0,163308.0,63448.0,56844.0,0.0
2015,233715.0,81266.0,69778.0,21120.0,20481.0,0.0,89378.0,200967.0,80610.0,90380.0,0.0
2016,215639.0,66231.0,53497.0,20484.0,46671.0,0.0,106869.0,214817.0,79006.0,114431.0,-2897.0
2017,229234.0,64225.0,51774.0,20289.0,53892.0,0.0,128645.0,246674.0,100814.0,140458.0,-3500.0
2018,265595.0,77434.0,64121.0,25913.0,40388.0,0.0,131339.0,234386.0,115929.0,142649.0,-6537.0
2019,260174.0,69391.0,58896.0,48844.0,51713.0,0.0,162819.0,175697.0,105718.0,142310.0,-14782.0
2020,274515.0,80674.0,73365.0,38016.0,52927.0,0.0,143713.0,180175.0,105392.0,153157.0,-13592.0
2021,365817.0,104038.0,92953.0,34940.0,27699.0,0.0,134836.0,216166.0,125481.0,162431.0,-8750.0
2022,394328.0,122151.0,111443.0,23646.0,24658.0,0.0,135405.0,217350.0,153982.0,148101.0,-9543.0
2023,383285.0,110543.0,99584.0,29965.0,31590.0,0.0,143566.0,209017.0,145308.0,145129.0,-15129.0
