ExDate,Dividend,RecordDate,PayDate,DividendType,Currency
2024-08-12,0.25,2024-08-12,2024-08-15,Cash Div.,USD
2024-05-10,0.25,2024-05-13,2024-05-16,Cash Div.,USD
2024-02-09,0.24,2024-02-12,2024-02-15,Cash Div.,USD
2023-11-10,0.24,2023-11-13,2023-11-16,Cash Div.,USD
2023-08-11,0.24,2023-08-14,2023-08-17,Cash Div.,USD
2023-05-12,0.24,2023-05-15,2023-05-18,Cash Div.,USD
2023-02-10,0.23,2023-02-13,2023-02-16,Cash Div.,USD
2022-11-04,0.23,2022-11-07,2022-11-10,Cash Div.,USD
2022-08-05,0.23,2022-08-08,2022-08-11,Cash Div.,USD
2022-05-06,0.23,2022-05-09,2022-05-12,Cash Div.,USD
2022-02-04,0.22,2022-02-07,2022-02-10,Cash Div.,USD
2021-11-05,0.22,2021-11-08,2021-11-11,Cash Div.,USD
2021-08-06,0.22,2021-08-09,2021-08-12,Cash Div.,USD
2021-05-07,0.22,2021-05-10,2021-05-13,Cash Div.,USD
2021-02-05,0.205,2021-02-08,2021-02-11,Cash Div.,USD
2020-11-06,0.205,2020-11-09,2020-11-12,Cash Div.,USD
2020-08-07,0.205,2020-08-10,2020-08-13,Cash Div.,USD
2020-05-08,0.205,2020-05-11,2020-05-14,Cash Div.,USD
2020-02-07,0.1925,2020-02-10,2020-02-13,Cash Div.,USD
2019-11-07,0.1925,2019-11-11,2019-11-14,Cash Div.,USD
2019-08-09,0.1925,2019-08-12,2019-08-15,Cash Div.,USD
2019-05-10,0.1925,2019-05-13,2019-05-16,Cash Div.,USD
2019-02-08,0.1825,2019-02-11,2019-02-14,Cash Div.,USD
2018-11-08,0.1825,2018-11-12,2018-11-15,Cash Div.,USD
2018-08-10,0.1825,2018-08-13,2018-08-16,Cash Div.,USD
2018-05-11,0.1825,2018-05-14,2018-05-17,Cash Div.,USD
2018-02-09,0.1575,2018-02-12,2018-02-15,Cash Div.,USD
2017-11-10,0.1575,2017-11-13,2017-11-16,Cash Div.,USD
2017-08-10,0.1575,2017-08-14,2017-08-17,Cash Div.,USD
2017-05-11,0.1575,2017-05-15,2017-05-18,Cash Div.,USD
2017-02-09,0.1425,2017-02-13,2017-02-16,Cash Div.,USD
