FiscalYear,PerShareRevenue,PerShareEarnings,PerShareFcf,PerShareDividends,StockPriceHigh,StockPriceLow
1984,0.114,0.005,0.0,0.0,0.15,0.08
1985,0.14,0.004,0.0,0.0,0.14,0.06
1986,0.132,0.011,0.0,0.0,0.17,0.07
1987,0.181,0.015,0.0,0.001,0.51,0.15
1988,0.28,0.028,0.0,0.003,0.53,0.25
1989,0.368,0.032,0.019,0.004,0.44,0.3
1990,0.395,0.034,0.053,0.004,0.44,0.25
1991,0.469,0.023,-0.007,0.004,0.65,0.22
1992,0.516,0.039,0.053,0.004,0.62,0.39
1993,0.594,0.007,-0.064,0.004,0.58,0.21
1994,0.691,0.023,0.043,0.004,0.34,0.2
1995,0.803,0.031,-0.029,0.004,0.44,0.3
1996,0.71,-0.059,0.025,0.001,0.37,0.15
1997,0.502,-0.074,-0.02,0.0,0.26,0.12
1998,0.316,0.019,0.039,0.0,0.38,0.12
1999,0.314,0.032,0.039,0.0,0.71,0.28
2000,0.396,0.039,0.036,0.0,1.29,0.46
2001,0.277,-0.001,-0.002,0.0,0.47,0.25
2002,0.283,0.003,-0.004,0.0,0.47,0.25
2003,0.305,0.003,0.006,0.0,0.41,0.23
2004,0.382,0.012,0.035,0.0,0.69,0.35
2005,0.581,0.055,0.095,0.0,1.92,0.68
2006,0.786,0.081,0.062,0.0,3.06,1.76
2007,0.987,0.14,0.18,0.0,5.52,2.62
2008,1.484,0.242,0.332,0.0,7.14,3.76
2009,1.689,0.324,0.352,0.0,6.65,2.79
2010,2.519,0.541,0.636,0.0,10.44,6.46
2011,4.128,0.989,1.147,0.0,14.77,9.95
2012,5.913,1.578,1.566,0.095,25.08,12.98
2013,6.552,1.42,1.709,0.407,23.98,13.95
2014,7.464,1.613,2.038,0.453,25.83,17.18
2015,10.086,2.305,3.011,0.495,33.25,24.07
2016,9.801,2.078,2.432,0.545,30.64,22.59
2017,10.912,2.303,2.465,0.6,41.01,26.43
2018,13.279,2.98,3.206,0.68,57.09,38.37
2019,13.991,2.97,3.167,0.75,58.02,35.55
2020,15.661,3.28,4.186,0.795,134.18,54.74
2021,21.691,5.61,5.512,0.85,156.69,108.77
2022,24.154,6.11,6.826,0.9,182.01,130.06
2023,24.239,6.13,6.298,0.94,196.45,125.02
