FiscalYear,Revenue,CashEquivalents,MarketSecurities,SharesOutBasic,SharesOutDiluted,CashForDividends
1984,1515.9,114.9,0.0,13294.815,13294.815,0.0
1985,1918.3,337.0,0.0,13708.8,13708.8,0.0
1986,1901.9,576.2,0.0,14373.333,14373.333,0.0
1987,2661.1,565.1,0.0,14674.699,14674.699,0.0
1988,4071.4,545.7,0.0,14556.364,14556.364,0.0
1989,5284.0,438.3,0.0,14363.842,14363.842,-50.3
1990,5558.4,374.7,0.0,14071.111,14071.111,-53.8
1991,6308.8,604.1,0.0,13448.682,13448.682,-56.5
1992,7086.542,498.6,0.0,13718.88,13729.632,-57.196
1993,7977.0,676.413,215.89,13342.0,13424.0,-56.0
1994,9189.0,1203.0,55.0,13298.32,13298.32,-56.0
1995,11062.0,756.0,196.0,13781.264,13781.264,-58.0
1996,9833.0,1552.0,193.0,13858.208,13858.208,-14.0
1997,7081.0,1230.0,229.0,14118.944,14118.944,0.0
1998,5941.0,1481.0,819.0,14781.088,18806.704,0.0
1999,6134.0,1326.0,1900.0,16033.584,19506.368,0.0
2000,7983.0,1191.0,2836.0,18175.808,20178.144,0.0
2001,5363.0,2310.0,2026.0,19354.328,19354.328,0.0
2002,5742.0,2252.0,2085.0,19881.232,20259.96,0.0
2003,6207.0,3396.0,1170.0,20195.336,20354.096,0.0
2004,8279.0,2969.0,2495.0,20809.04,21693.728,0.0
2005,13931.0,3491.0,4770.0,22636.292,23992.584,0.0
2006,19315.0,6392.0,3718.0,23633.624,24570.728,0.0
2007,24578.0,9352.0,6034.0,24208.66,24900.176,0.0
2008,37491.0,11875.0,10236.0,24684.576,25259.892,0.0
2009,42905.0,5263.0,18201.0,25004.448,25396.14,0.0
2010,65225.0,11261.0,14359.0,25464.908,25891.936,0.0
2011,108249.0,9815.0,16137.0,25879.224,26226.06,0.0
2012,156508.0,10746.0,18383.0,26174.904,26469.932,-2488.0
2013,170910.0,14259.0,26287.0,25909.28,26086.536,-10564.0
2014,182795.0,13844.0,11233.0,24342.288,24490.652,-11126.0
2015,233715.0,21120.0,20481.0,23013.684,23172.276,-11561.0
2016,215639.0,20484.0,46671.0,21883.28,22001.124,-12150.0
2017,229234.0,20289.0,53892.0,20868.968,21006.768,-12769.0
2018,265595.0,25913.0,40388.0,19821.51,20000.435,-13712.0
2019,260174.0,48844.0,51713.0,18471.336,18595.651,-14119.0
2020,274515.0,38016.0,52927.0,17352.119,17528.214,-14081.0
2021,365817.0,34940.0,27699.0,16701.272,16864.919,-14467.0
2022,394328.0,23646.0,24658.0,16215.963,16325.819,-14841.0
2023,383285.0,29965.0,31590.0,15744.231,15812.547,-15025.0
