FiscalYear,Revenue,FreeCashFlow,CashEquivalents,MarketSecurities,TreasuryStock,CashForDividends,StockIssuance,StockRepurchase
1984,1515.9,0.0,114.9,0.0,0.0,0.0,0.0,0.0
1985,1918.3,0.0,337.0,0.0,0.0,0.0,0.0,0.0
1986,1901.9,0.0,576.2,0.0,0.0,0.0,0.0,0.0
1987,2661.1,0.0,565.1,0.0,0.0,0.0,0.0,0.0
1988,4071.4,0.0,545.7,0.0,0.0,0.0,0.0,0.0
1989,5284.0,268.3,438.3,0.0,0.0,-50.3,96.0,-12.9
1990,5558.4,739.6,374.7,0.0,0.0,-53.8,103.5,-569.6
1991,6308.8,-89.6,604.1,0.0,0.0,-56.5,257.7,-184.7
1992,7086.542,726.12,498.6,0.0,0.0,-57.196,120.388,-212.625
1993,7977.0,-864.0,676.413,215.89,0.0,-56.0,85.0,-273.0
1994,9189.0,577.0,1203.0,55.0,0.0,-56.0,82.0,0.0
1995,11062.0,-399.0,756.0,196.0,0.0,-58.0,86.0,0.0
1996,9833.0,341.0,1552.0,193.0,0.0,-14.0,39.0,0.0
1997,7081.0,-283.0,1230.0,229.0,0.0,0.0,34.0,0.0
1998,5941.0,729.0,1481.0,819.0,0.0,0.0,41.0,0.0
1999,6134.0,751.0,1326.0,1900.0,0.0,0.0,86.0,-75.0
2000,7983.0,726.0,1191.0,2836.0,0.0,0.0,85.0,-116.0
2001,5363.0,-47.0,2310.0,2026.0,0.0,0.0,42.0,0.0
2002,5742.0,-85.0,2252.0,2085.0,0.0,0.0,105.0,0.0
2003,6207.0,125.0,3396.0,1170.0,0.0,0.0,53.0,-26.0
2004,8279.0,758.0,2969.0,2495.0,0.0,0.0,427.0,0.0
2005,13931.0,2275.0,3491.0,4770.0,0.0,0.0,543.0,0.0
2006,19315.0,1535.0,6392.0,3718.0,0.0,0.0,318.0,-355.0
2007,24578.0,4484.0,9352.0,6034.0,0.0,0.0,365.0,-3.0
2008,37491.0,8397.0,11875.0,10236.0,0.0,0.0,483.0,0.0
2009,42905.0,8946.0,5263.0,18201.0,0.0,0.0,475.0,0.0
2010,65225.0,16474.0,11261.0,14359.0,0.0,0.0,912.0,0.0
2011,108249.0,30077.0,9815.0,16137.0,0.0,0.0,831.0,0.0
2012,156508.0,41454.0,10746.0,18383.0,0.0,-2488.0,665.0,0.0
2013,170910.0,44590.0,14259.0,26287.0,0.0,-10564.0,530.0,-22860.0
2014,182795.0,49900.0,13844.0,11233.0,0.0,-11126.0,730.0,-45000.0
2015,233715.0,69778.0,21120.0,20481.0,0.0,-11561.0,543.0,-35253.0
2016,215639.0,53497.0,20484.0,46671.0,0.0,-12150.0,495.0,-29722.0
2017,229234.0,51774.0,20289.0,53892.0,0.0,-12769.0,555.0,-32900.0
2018,265595.0,64121.0,25913.0,40388.0,0.0,-13712.0,669.0,-72738.0
2019,260174.0,58896.0,48844.0,51713.0,0.0,-14119.0,781.0,-66897.0
2020,274515.0,73365.0,38016.0,52927.0,0.0,-14081.0,880.0,-72358.0
2021,365817.0,92953.0,34940.0,27699.0,0.0,-14467.0,1105.0,-85971.0
2022,394328.0,111443.0,23646.0,24658.0,0.0,-14841.0,0.0,-89402.0
2023,383285.0,99584.0,29965.0,31590.0,0.0,-15025.0,0.0,-77550.0
