dividend_amount,ex_date,record_date,pay_date,dividend_type,currency
0.25,2025-02-10,2025-02-10,2025-02-13,regular,USD
0.25,2024-11-08,2024-11-11,2024-11-14,regular,USD
0.25,2024-08-12,2024-08-12,2024-08-15,regular,USD
0.25,2024-05-10,2024-05-13,2024-05-16,regular,USD
0.24,2024-02-09,2024-02-12,2024-02-15,regular,USD
0.24,2023-11-10,2023-11-13,2023-11-16,regular,USD
0.24,2023-08-11,2023-08-14,2023-08-17,regular,USD
0.24,2023-05-12,2023-05-15,2023-05-18,regular,USD
0.23,2023-02-10,2023-02-13,2023-02-16,regular,USD
0.23,2022-11-04,2022-11-07,2022-11-10,regular,USD
0.23,2022-08-05,2022-08-08,2022-08-11,regular,USD
0.23,2022-05-06,2022-05-09,2022-05-12,regular,USD
0.22,2022-02-04,2022-02-07,2022-02-10,regular,USD
0.22,2021-11-05,2021-11-08,2021-11-11,regular,USD
0.22,2021-08-06,2021-08-09,2021-08-12,regular,USD
0.22,2021-05-07,2021-05-10,2021-05-13,regular,USD
0.205,2021-02-05,2021-02-08,2021-02-11,regular,USD
0.205,2020-11-06,2020-11-09,2020-11-12,regular,USD
0.205,2020-08-07,2020-08-10,2020-08-13,regular,USD
0.205,2020-05-08,2020-05-11,2020-05-14,regular,USD
0.1925,2020-02-07,2020-02-10,2020-02-13,regular,USD
0.1925,2019-11-07,2019-11-11,2019-11-14,regular,USD
0.1925,2019-08-09,2019-08-12,2019-08-15,regular,USD
0.1925,2019-05-10,2019-05-13,2019-05-16,regular,USD
0.1825,2019-02-08,2019-02-11,2019-02-14,regular,USD
0.1825,2018-11-08,2018-11-12,2018-11-15,regular,USD
0.1825,2018-08-10,2018-08-13,2018-08-16,regular,USD
0.1825,2018-05-11,2018-05-14,2018-05-17,regular,USD
0.1575,2018-02-09,2018-02-12,2018-02-15,regular,USD
0.1575,2017-11-10,2017-11-13,2017-11-16,regular,USD
0.1575,2017-08-10,2017-08-14,2017-08-17,regular,USD
0.1575,2017-05-11,2017-05-15,2017-05-18,regular,USD
0.1425,2017-02-09,2017-02-13,2017-02-16,regular,USD
0.1425,2016-11-03,2016-11-07,2016-11-10,regular,USD
0.1425,2016-08-04,2016-08-08,2016-08-11,regular,USD
0.1425,2016-05-05,2016-05-09,2016-05-12,regular,USD
0.13,2016-02-04,2016-02-08,2016-02-11,regular,USD
0.13,2015-11-05,2015-11-09,2015-11-12,regular,USD
0.13,2015-08-06,2015-08-10,2015-08-13,regular,USD
0.13,2015-05-07,2015-05-11,2015-05-14,regular,USD
0.1175,2015-02-05,2015-02-09,2015-02-12,regular,USD
0.1175,2014-11-06,2014-11-10,2014-11-13,regular,USD
0.1175,2014-08-07,2014-08-11,2014-08-14,regular,USD
0.1175,2014-05-08,2014-05-12,2014-05-15,regular,USD
0.108929,2014-02-06,2014-02-10,2014-02-13,regular,USD
0.108929,2013-11-06,2013-11-11,2013-11-14,regular,USD
0.108929,2013-08-08,2013-08-12,2013-08-15,regular,USD
0.108929,2013-05-09,2013-05-13,2013-05-16,regular,USD
0.094643,2013-02-07,2013-02-11,2013-02-14,regular,USD
0.094643,2012-11-07,2012-11-12,2012-11-15,regular,USD
0.094643,2012-08-09,2012-08-13,2012-08-16,regular,USD
0.001071,1995-11-21,1995-11-24,1995-12-15,regular,USD
0.001071,1995-08-16,1995-08-18,1995-09-08,regular,USD
0.001071,1995-05-26,1995-06-02,1995-06-23,regular,USD
0.001071,1995-02-13,1995-02-17,1995-03-10,regular,USD
0.001071,1994-11-18,1994-11-25,1994-12-16,regular,USD
0.001071,1994-08-15,1994-08-19,1994-09-09,regular,USD
0.001071,1994-05-27,1994-06-03,1994-06-24,regular,USD
0.001071,1994-02-07,1994-02-11,1994-03-04,regular,USD
0.001071,1993-11-19,1993-11-26,1993-12-17,regular,USD
0.001071,1993-08-16,1993-08-20,1993-09-10,regular,USD
0.001071,1993-05-28,1993-06-04,1993-06-25,regular,USD
0.001071,1993-02-12,1993-02-19,1993-03-12,regular,USD
0.001071,1992-11-30,1992-12-04,1992-12-18,regular,USD
0.001071,1992-08-17,1992-08-21,1992-09-11,regular,USD
0.001071,1992-06-01,1992-06-05,1992-06-19,regular,USD
0.001071,1992-02-14,1992-02-21,1992-03-13,regular,USD
0.001071,1991-11-18,1991-11-22,1991-12-13,regular,USD
0.001071,1991-08-19,1991-08-23,1991-09-13,regular,USD
0.001071,1991-05-20,1991-05-24,1991-06-14,regular,USD
0.001071,1991-02-15,1991-02-22,1991-03-15,regular,USD
0.001071,1990-11-16,1990-11-23,1990-12-14,regular,USD
0.000982,1990-08-20,1990-08-24,1990-09-14,regular,USD
0.000982,1990-05-21,1990-05-25,1990-06-15,regular,USD
0.000982,1990-02-16,1990-02-23,1990-03-15,regular,USD
0.000982,1989-11-17,1989-11-24,1989-12-15,regular,USD
0.000893,1989-08-21,1989-08-25,1989-09-15,regular,USD
0.000893,1989-05-22,1989-05-26,1989-06-15,regular,USD
0.000893,1989-02-17,1989-02-25,1989-03-15,regular,USD
0.000893,1988-11-21,1988-11-28,1988-12-15,regular,USD
0.000714,1988-08-15,1988-08-19,1988-09-15,regular,USD
0.000714,1988-05-16,1988-05-20,1988-06-15,regular,USD
0.000714,1988-02-12,1988-02-19,1988-03-15,regular,USD
0.000714,1987-11-17,1987-11-23,1987-12-15,regular,USD
0.000536,1987-08-10,1987-08-14,1987-09-15,regular,USD
0.000536,1987-05-11,1987-05-15,1987-06-15,regular,USD
