fiscal_year,revenue,gross_profit,sga,rnd,operating_income,taxes_paid,net_income,cash_equivalents,market_securities,current_assets,long_assets,short_debt,current_liabilities,long_debt,long_liabilities,treasury_stock,shares_outstanding_diluted,shares_outstanding_eop,cash_from_ops,cash_for_dividends,capex,free_cash_flow,stock_issues,stock_buyback,debt_paid,debt_issued,fiscal_month
1985,1918.3,842.3,653.2,0,147.3,-58.8,61.2,337,0,822.1,114.1,0,295.4,0,90.3,0,13708.8,13854.4,0,0,0,0,0,0,0,0,09
1986,1901.9,1061.9,737.3,0,273.5,-155.8,154,576.2,0,1040.9,119.2,0,328.5,0,137.5,0,14373.333,14028.672,0,0,0,0,0,0,0,0,09
1987,2661.1,1435.4,993.4,0,371.5,-192.9,217.5,565.1,0,1307.4,170.5,0,478.7,0,162.7,0,14674.699,14121.856,0,0,0,0,0,0,0,0,09
1988,4071.4,2158.2,1460.2,0,620.3,-255.9,400.3,545.7,0,1783,299.1,127.9,827.1,0,251.6,0,14556.364,13750.016,0,0,0,0,0,0,0,0,09
1989,5284,2714,1954.9,0,634.3,-290.3,454,438.3,0,2294.4,449.5,56.8,895.3,0,362.9,0,14363.842,14142.24,507.3,-50.3,-239,268.3,96,-12.9,-71.1,0,09
1990,5558.4,3154.9,2240.2,0,712,-303.6,474.9,374.7,0,2403.3,572.4,122.6,1027,0,501.9,0,14071.111,12920.208,963.9,-53.8,-224.3,739.6,103.5,-569.6,0,65.9,09
1991,6308.8,3199.1,2547.4,0,447.3,-189.9,309.8,604.1,0,2863.6,630,148.6,1217.1,0,509.8,0,13448.682,13259.232,128.7,-56.5,-218.3,-89.6,257.7,-184.7,0,25.9,09
1992,7086.542,3095.205,1687.262,602.135,805.808,-325.069,530.373,498.6,0,3558.4,665.3,184.5,1425.5,0,610.8,0,13729.632,13269.648,920.973,-57.196,-194.853,726.12,120.388,-212.625,0,35.504,09
1993,7977,2728,1632,665,431,-53,87,676.413,215.89,4338.355,833.057,823.182,2508.085,7.117,636.949,0,13424,13008.464,-651,-56,-213,-864,85,-273,-11,639,09
1994,9189,2343,1384,564,395,-190,310,1203,55,4476,827,292,1944,305,976,0,13298.32,13388.816,737,-56,-160,577,82,0,-531,297,09
1995,11062,2858,1583,614,661,-250,424,756,196,5224,1007,461,2325,303,1005,0,13781.264,13767.264,-240,-58,-159,-399,86,0,-2,169,09
1996,9833,968,1568,604,-1204,479,-816,1552,193,4515,849,186,2003,949,1303,0,13858.208,13943.664,408,-14,-67,341,39,0,-275,646,09
1997,7081,1368,1286,860,-778,0,-1045,1230,229,3424,809,25,1818,951,1215,0,14118.944,14330.288,154,0,-437,-283,34,0,-161,0,09
1998,5941,1479,908,310,261,-20,309,1481,819,3698,591,0,1520,954,1127,0,18806.704,15141.616,775,0,-46,729,41,0,-25,3,09
