fiscal_year,revenue,gross_profit,sga,rnd,operating_income,taxes_paid,net_income,cash_equivalents,market_securities,current_assets,long_assets,short_debt,current_liabilities,long_debt,long_liabilities,treasury_stock,shares_outstanding_diluted,shares_outstanding_eop,cash_from_ops,cash_for_dividends,capex,free_cash_flow,stock_issues,stock_buyback,debt_paid,debt_issued,fiscal_month
1985,4738.8,487.3,130.2,0,240.6,-105.1,163.9,418.8,0,1367.8,1599.3,11.9,328.8,569.3,834.9,0,715.617,715.617,0,0,0,0,0,0,0,0,06
1986,5336,635.8,143.8,0,353.5,-156.4,239.4,595.4,0,1511,1804.4,12.7,363.2,570.2,876.3,0,729.842,729.842,0,0,0,0,0,0,0,0,06
1987,5774.6,695.5,158.8,0,380.8,-212.5,265.4,465.1,0,1749.7,2112.4,13.7,497.3,657.5,997.1,0,735.932,735.932,0,0,0,0,0,0,0,0,06
1988,6798.4,890.6,165.7,0,540.9,-218.9,353.1,644.4,0,2118.8,2278.8,16.7,710.1,692.9,1057,0,720.086,720.086,0,0,0,0,0,0,0,0,06
1989,7928.8,1040.2,197.4,0,622.3,-243.1,424.7,433.6,0,2105.7,2622.6,15.3,618.5,690.1,1076.3,0,723.953,723.953,779.8,-15.4,-296.6,483.2,0,0,-23.6,0,06
1990,7751.3,1154.2,231.7,0,674.4,-269.6,483.5,408.4,0,2303.8,3146.2,20.2,676.3,750.9,1200.5,0,730.819,730.819,710.8,-25.6,-327.4,383.4,0,0,-12.1,0,06
1991,8468.2,1157.6,279.2,0,617,-251.3,466.7,647.6,0,2531.6,3729,136.8,856.9,980.3,1481.4,0,726.056,726.056,678.4,-29.5,-467.7,210.7,0,0,0,269.6,06
1992,9231.5,1336.8,294.8,0,748.3,-255.8,503.8,964.4,0,3213.4,4311.1,30.3,936.8,1562.5,2095.3,0,725.786,725.786,868.9,-30,-479.5,389.4,0,0,0,383.8,06
1993,9811.4,1391.5,324.8,0,738.2,-211.5,567.5,386.5,0,3921.7,4482.4,31.3,960.2,2039.1,2560.6,0,724.428,724.428,673.8,-29.2,-394.4,279.4,0,0,0,473.3,06
1994,11374.4,1492.1,371.2,0,766.4,-254.2,484.1,316.4,0,3910.8,4836.1,23.7,1127,2021.4,2574.5,0,766.324,692.355,630.4,-32.3,-514.4,116,0,-355.2,-64.1,0,06
1995,12671.9,2049.3,429.4,0,1213.1,-385.6,795.9,454.6,0,3712.6,6044.3,15.6,1172.4,2070.1,2730.3,0,1024.345,679.38,1191.2,-45.2,-558.6,632.6,0,-179.6,-14.7,0,06
1996,13239.8,1805.9,473.3,0,913.4,-358.5,695.9,534.7,0,4384.7,6065.2,114.5,1633.6,2003,2671.5,0,945.529,663.183,853.9,-84.4,-754.3,99.6,0,-260,0,19.9,06
1997,13853.3,1776.1,675.1,0,625.5,-267.1,377.3,397.8,0,4284.3,7070.1,628.5,2248.8,2344.9,3055.5,0,887.092,645.672,610.7,-104.1,-779.5,-168.8,0,-312.5,0,653.8,06
1998,16108.6,1941,660.7,0,720.2,-206.4,403.6,346.3,0,5451.7,8381.8,1566.3,3717.3,2847.1,3611.3,0,832.071,657.091,613.4,-107.7,-1073.3,-459.9,0,-81.2,0,1159.5,06
1999,14283.3,1854.2,701.1,0,530.9,-138.5,266,681.4,222.2,5789.6,8240.3,1268.3,3840.3,3191.9,3949,0,829.369,640.074,1219.8,-106.8,-807.5,412.3,0,-313.8,-43.2,0,06
2000,12876.817,1867.214,729.358,0,490.217,-52.334,300.903,477.226,454.223,6162.367,8260.733,1582.466,4332.945,3277.218,3979.912,0,737.88,663.645,815.396,-120.447,-428.737,386.659,0,-210.911,0,371.218,06
2001,20051.421,1431.798,731.029,0,700.769,-138.615,383.284,676.086,141.672,6150.301,8189.63,1257.847,3866.981,3351.067,4141.267,-92,697.732,662.113,864.179,-125.053,-273.168,591.011,0,-62.932,-286.928,0,06
2002,22611.894,1683.456,826.922,0,856.534,-207.844,511.093,844.187,134.474,7363.231,8053.042,1273.263,4719.297,3111.294,3942.155,0,656.955,647.41,1303.152,-130,-362.974,940.178,8.652,-184.519,-626.604,0,06
2003,30708.033,1727.138,947.694,0,779.444,-179.828,451.145,764.959,544.669,8421.857,8761.022,1310.371,5147.472,3872.287,4966.21,0,646.086,644.855,1069.176,-155.565,-435.952,633.224,1.971,-101.212,0,483.572,06
2004,36151.394,2148.324,1401.833,0,746.491,-223.301,494.71,540.207,871.439,10338.996,9029.825,1931.307,6750.237,3739.875,4920.368,0,649.81,650.748,33.339,-174.109,-509.237,-475.898,38.817,-4.113,0,455.749,06
