fiscal_year,pershare_revenue,pershare_earnings,pershare_dividends,pershare_fcf,pershare_high_price,pershare_low_price,fiscal_month
1985,6.622,0.032,0,0,3.19,1.9,06
1986,7.311,0.068,0.003,0,4.06,2.65,06
1987,7.847,0.079,0.012,0,5.48,3.61,06
1988,9.441,0.107,0.018,0,6.11,3.99,06
1989,10.952,0.132,0.022,0.667,7.1,4.23,06
1990,10.606,0.233,0.025,0.525,10.07,6.81,06
1991,11.663,0.241,0.031,0.29,9.98,7.65,06
1992,12.719,0.269,0.037,0.537,13.55,9.25,06
1993,13.544,0.344,0.04,0.386,12.3,9.67,06
1994,14.843,0.632,0.042,0.151,12.12,9.77,06
1995,12.371,1.045,0.064,0.618,14.83,10.66,06
1996,14.003,0.739,0.129,0.105,15.11,11.19,06
1997,15.617,0.425,0.154,-0.19,18.51,12.41,06
1998,19.36,0.559,0.162,-0.553,19.9,15.32,06
1999,17.222,0.304,0.17,0.497,16.25,11.99,06
2000,17.451,0.408,0.179,0.524,13.07,8.28,06
2001,28.738,0.552,0.188,0.847,15.23,7.92,06
2002,34.419,0.78,0.198,1.431,15.6,12,06
2003,47.529,0.7,0.24,0.98,14.28,10.54,06
2004,55.634,0.76,0.27,-0.732,17.69,12.08,06
2005,54.791,1.59,0.32,2.29,25.32,15.43,06
2006,55.787,2,0.37,0.936,45.25,20.56,06
2007,67.101,3.3,0.43,-1.364,44,30.7,06
2008,108.074,2.79,0.49,-7.714,48.18,32.09,06
2009,107.464,2.62,0.54,5.346,33.3,15.29,06
2010,95.78,3,0.58,1.672,32.61,24.51,06
2011,123.358,3.13,0.62,-5.485,37.65,25.5,06
2012,133.691,1.84,0.685,2.129,33.5,24.16,06
2013,135.451,2.02,0.76,6.505,43.79,28.01,12
2014,123.782,3.43,0.96,6.172,53.71,38.23,12
2015,109.021,2.98,1.12,0.934,53.17,34.18,12
2016,105.492,2.16,1.2,-12.504,47.72,30.51,12
2017,106.343,2.79,1.28,-12.264,46.97,38.96,12
2018,113.476,3.19,1.34,-9.922,51.79,39.62,12
2019,114.435,2.44,1.4,-11.115,46.35,36.76,12
2020,113.903,3.15,1.44,-5.68,51.87,29.31,12
2021,150.617,4.79,1.48,9.587,68.77,49.58,12
2022,180.384,7.71,1.6,3.835,98.22,67.89,12
2023,173.312,6.43,1.8,5.472,89.65,69.47,12
2024,173.489,3.65,2,2.469,73.13,49.38,12
