dividend_amount,ex_date,record_date,pay_date,dividend_type,currency
1.37,2025-02-14,2025-02-17,2025-03-14,regular,USD
1.37,2024-11-18,2024-11-18,2024-12-16,regular,USD
1.37,2024-08-16,2024-08-16,2024-09-16,regular,USD
1.37,2024-05-16,2024-05-17,2024-06-14,regular,USD
1.37,2024-02-16,2024-02-20,2024-03-15,regular,USD
1.192,2023-11-16,2023-11-17,2023-12-15,regular,USD
1.192,2023-08-17,2023-08-18,2023-09-15,regular,USD
1.036,2023-05-18,2023-05-19,2023-06-15,regular,USD
1.036,2023-02-16,2023-02-17,2023-03-15,regular,USD
1.036,2022-11-17,2022-11-18,2022-12-15,regular,USD
1.036,2022-08-18,2022-08-19,2022-09-15,regular,USD
0.901,2022-05-19,2022-05-20,2022-06-15,regular,USD
0.901,2022-02-17,2022-02-18,2022-03-15,regular,USD
0.901,2021-11-18,2021-11-19,2021-12-15,regular,USD
0.901,2021-08-19,2021-08-20,2021-09-15,regular,USD
0.804,2021-05-20,2021-05-21,2021-06-15,regular,USD
0.804,2021-02-18,2021-02-19,2021-03-15,regular,USD
0.804,2020-11-19,2020-11-20,2020-12-15,regular,USD
0.804,2020-08-20,2020-08-21,2020-09-15,regular,USD
0.773,2020-05-21,2020-05-22,2020-06-15,regular,USD
0.773,2020-02-20,2020-02-21,2020-03-16,regular,USD
0.773,2019-11-21,2019-11-22,2019-12-16,regular,USD
0.773,2019-08-22,2019-08-23,2019-09-16,regular,USD
0.722,2019-05-23,2019-05-24,2019-06-14,regular,USD
0.722,2019-02-21,2019-02-22,2019-03-15,regular,USD
0.722,2018-11-20,2018-11-21,2018-12-14,regular,USD
0.722,2018-08-23,2018-08-24,2018-09-14,regular,USD
0.656,2018-05-24,2018-05-25,2018-06-15,regular,USD
0.656,2018-02-22,2018-02-23,2018-03-15,regular,USD
0.656,2017-11-21,2017-11-22,2017-12-15,regular,USD
0.656,2017-08-23,2017-08-25,2017-09-15,regular,USD
0.618,2017-05-23,2017-05-25,2017-06-15,regular,USD
0.618,2017-02-22,2017-02-24,2017-03-15,regular,USD
0.618,2016-11-21,2016-11-23,2016-12-15,regular,USD
0.618,2016-08-23,2016-08-25,2016-09-15,regular,USD
0.583,2016-05-23,2016-05-25,2016-06-15,regular,USD
0.583,2016-02-23,2016-02-25,2016-03-15,regular,USD
0.583,2015-11-23,2015-11-25,2015-12-15,regular,USD
0.583,2015-08-21,2015-08-25,2015-09-15,regular,USD
0.535,2015-05-21,2015-05-26,2015-06-15,regular,USD
0.535,2015-02-23,2015-02-25,2015-03-16,regular,USD
0.535,2014-11-21,2014-11-25,2014-12-15,regular,USD
0.535,2014-08-21,2014-08-25,2014-09-15,regular,USD
0.485,2014-05-21,2014-05-23,2014-06-13,regular,USD
0.485,2014-02-21,2014-02-25,2014-03-14,regular,USD
0.485,2013-11-21,2013-11-25,2013-12-13,regular,USD
0.485,2013-08-21,2013-08-23,2013-09-13,regular,USD
0.42,2013-05-22,2013-05-24,2013-06-14,regular,USD
0.42,2013-02-21,2013-02-25,2013-03-15,regular,USD
0.42,2012-11-20,2012-11-23,2012-12-14,regular,USD
0.38,2012-08-22,2012-08-24,2012-09-14,regular,USD
0.38,2012-05-23,2012-05-25,2012-06-15,regular,USD
0.38,2012-02-22,2012-02-24,2012-03-15,regular,USD
0.345,2011-11-22,2011-11-25,2011-12-15,regular,USD
0.345,2011-08-23,2011-08-25,2011-09-15,regular,USD
0.345,2011-05-23,2011-05-25,2011-06-15,regular,USD
0.345,2011-02-23,2011-02-25,2011-03-15,regular,USD
0.32,2010-11-22,2010-11-24,2010-12-15,regular,USD
0.32,2010-08-23,2010-08-25,2010-09-15,regular,USD
0.32,2010-05-21,2010-05-25,2010-06-15,regular,USD
0.32,2010-02-23,2010-02-25,2010-03-15,regular,USD
0.2975,2009-11-23,2009-11-25,2009-12-15,regular,USD
0.2975,2009-08-21,2009-08-25,2009-09-15,regular,USD
0.2975,2009-05-20,2009-05-25,2009-06-15,regular,USD
0.2975,2009-02-23,2009-02-25,2009-03-13,regular,USD
0.2975,2008-11-21,2008-11-25,2008-12-15,regular,USD
0.2975,2008-08-21,2008-08-25,2008-09-15,regular,USD
0.2975,2008-05-21,2008-05-23,2008-06-13,regular,USD
0.2975,2008-02-21,2008-02-25,2008-03-14,regular,USD
0.2975,2007-11-19,2007-11-21,2007-12-14,regular,USD
0.2975,2007-08-22,2007-08-24,2007-09-14,regular,USD
0.27,2007-05-23,2007-05-25,2007-06-15,regular,USD
0.27,2007-02-21,2007-02-23,2007-03-15,regular,USD
0.27,2006-11-20,2006-11-22,2006-12-15,regular,USD
0.27,2006-08-23,2006-08-25,2006-09-15,regular,USD
0.245,2006-05-23,2006-05-25,2006-06-15,regular,USD
0.245,2006-02-22,2006-02-24,2006-03-15,regular,USD
0.245,2005-11-22,2005-11-25,2005-12-15,regular,USD
0.245,2005-08-23,2005-08-25,2005-09-15,regular,USD
0.22,2005-05-23,2005-05-25,2005-06-15,regular,USD
0.22,2005-02-23,2005-02-25,2005-03-15,regular,USD
0.22,2004-11-22,2004-11-24,2004-12-15,regular,USD
0.22,2004-08-23,2004-08-25,2004-09-15,regular,USD
0.1975,2004-05-21,2004-05-25,2004-06-15,regular,USD
0.1975,2004-02-23,2004-02-25,2004-03-15,regular,USD
0.1975,2003-11-21,2003-11-25,2003-12-15,regular,USD
0.1975,2003-08-21,2003-08-25,2003-09-15,regular,USD
0.1638,2003-05-21,2003-05-23,2003-06-13,regular,USD
0.1638,2003-02-21,2003-02-25,2003-03-14,regular,USD
0.1638,2002-11-20,2002-11-22,2002-12-13,regular,USD
0.1638,2002-08-21,2002-08-23,2002-09-13,regular,USD
0.1513,2002-05-22,2002-05-24,2002-06-14,regular,USD
0.1513,2002-02-21,2002-02-25,2002-03-15,regular,USD
0.1513,2001-11-20,2001-11-23,2001-12-14,regular,USD
0.1513,2001-08-22,2001-08-24,2001-09-14,regular,USD
0.14,2001-05-23,2001-05-25,2001-06-15,regular,USD
0.14,2001-02-21,2001-02-23,2001-03-15,regular,USD
0.14,2000-11-20,2000-11-22,2000-12-15,regular,USD
0.14,2000-08-23,2000-08-25,2000-09-15,regular,USD
0.13,2000-05-23,2000-05-25,2000-06-15,regular,USD
0.13,2000-02-23,2000-02-25,2000-03-15,regular,USD
0.13,1999-11-18,1999-11-22,1999-12-15,regular,USD
0.13,1999-08-23,1999-08-25,1999-09-15,regular,USD
0.12,1999-05-20,1999-05-24,1999-06-15,regular,USD
0.12,1999-02-22,1999-02-24,1999-03-15,regular,USD
0.12,1998-11-19,1998-11-23,1998-12-15,regular,USD
0.12,1998-08-21,1998-08-25,1998-09-15,regular,USD
0.11,1998-05-20,1998-05-22,1998-06-15,regular,USD
0.11,1998-02-20,1998-02-24,1998-03-13,regular,USD
0.11,1997-11-19,1997-11-21,1997-12-15,regular,USD
0.11,1997-08-21,1997-08-25,1997-09-15,regular,USD
0.1,1997-05-21,1997-05-23,1997-06-13,regular,USD
0.1,1997-02-20,1997-02-24,1997-03-14,regular,USD
0.1,1996-11-20,1996-11-22,0000-00-00,regular,USD
0.1,1996-11-19,1996-11-21,1996-12-13,regular,USD
0.1,1996-08-21,1996-08-23,1996-09-13,regular,USD
0.09,1996-05-21,1996-05-23,1996-06-14,regular,USD
0.09,1996-02-21,1996-02-23,1996-03-15,regular,USD
0.09,1995-11-22,1995-11-24,0000-00-00,regular,USD
0.09,1995-11-17,1995-11-21,1995-12-15,regular,USD
0.09,1995-08-23,1995-08-25,1995-09-15,regular,USD
0.08125,1995-05-17,1995-05-23,1995-06-15,regular,USD
0.08125,1995-02-17,1995-02-24,1995-03-15,regular,USD
0.0813,1994-11-15,1994-11-21,1994-12-15,regular,USD
0.0813,1994-08-22,1994-08-26,1994-09-15,regular,USD
0.075,1994-05-17,1994-05-23,1994-06-15,regular,USD
0.075,1994-02-18,1994-02-25,1994-03-15,regular,USD
0.075,1993-11-15,1993-11-19,1993-12-15,regular,USD
0.075,1993-08-20,1993-08-26,1993-09-15,regular,USD
0.0675,1993-05-14,1993-05-21,1993-06-15,regular,USD
0.0675,1993-02-22,1993-02-26,1993-03-15,regular,USD
0.0675,1992-11-16,1992-11-20,1992-12-15,regular,USD
0.0675,1992-08-20,1992-08-26,1992-09-15,regular,USD
0.0613,1992-05-18,1992-05-22,1992-06-15,regular,USD
0.0613,1992-02-20,1992-02-26,1992-03-13,regular,USD
0.0613,1991-11-14,1991-11-20,1991-12-13,regular,USD
0.0613,1991-08-20,1991-08-26,1991-09-13,regular,USD
0.0563,1991-05-20,1991-05-24,1991-06-14,regular,USD
0.0563,1991-02-22,1991-02-28,1991-03-15,regular,USD
0.0563,1990-11-19,1990-11-26,1990-12-14,regular,USD
0.0563,1990-08-20,1990-08-24,1990-09-14,regular,USD
0.0375,1990-08-20,1990-08-24,1990-09-14,special,USD
0.0488,1990-05-21,1990-05-25,1990-06-15,regular,USD
0.0488,1990-02-20,1990-02-26,1990-03-15,regular,USD
0.0488,1989-11-20,1989-11-27,1989-12-15,regular,USD
0.0488,1989-08-21,1989-08-25,1989-09-15,regular,USD
0.0438,1989-05-19,1989-05-25,1989-06-15,regular,USD
0.0438,1989-02-21,1989-02-27,1989-03-15,regular,USD
0.0438,1988-11-18,1988-11-28,1988-12-15,regular,USD
0.0438,1988-08-19,1988-08-25,1988-09-15,regular,USD
0.0388,1988-05-19,1988-05-25,1988-06-15,regular,USD
0.0388,1988-02-24,1988-03-01,1988-03-15,regular,USD
0.0388,1987-11-16,1987-11-20,1987-12-15,regular,USD
0.0388,1987-08-19,1987-08-25,1987-09-15,regular,USD
0.0338,1987-05-18,1987-05-22,1987-06-15,regular,USD
0.0338,1987-02-23,1987-02-27,1987-03-13,regular,USD
0.0338,1986-11-05,1986-11-12,1986-12-15,regular,USD
0.033834,1986-08-18,1986-08-14,0000-00-00,regular,USD
0.031331,1986-05-19,1986-05-15,0000-00-00,regular,USD
0.031331,1986-02-24,1986-02-20,0000-00-00,regular,USD
