fiscal_year,revenue,gross_profit,sga,rnd,operating_income,taxes_paid,net_income,cash_equivalents,market_securities,current_assets,long_assets,short_debt,current_liabilities,long_debt,long_liabilities,treasury_stock,shares_outstanding_diluted,shares_outstanding_eop,cash_from_ops,cash_for_dividends,capex,free_cash_flow,stock_issues,stock_buyback,debt_paid,debt_issued,fiscal_month
1985,1996.2,690.1,395.5,0,245,-112.3,112.1,110.6,0,412.3,785.1,9.6,195.3,110.2,274.2,0,380,376.42,0,0,0,0,0,0,0,0,12
1986,2169.6,775.1,445.5,0,270.6,-128.1,132.8,27.6,0,393.4,962.9,8.4,222.1,210.8,406.3,0,374.085,360.744,0,0,0,0,0,0,0,0,12
1987,2433.8,892.3,527.6,0,294.1,-121.2,148.2,15,0,484.9,1160.3,31.4,299.8,306.1,513,0,361.463,360.744,0,0,0,0,0,0,0,0,12
1988,2168,893.4,575.5,0,266,-91.6,213.9,70.1,0,619.1,1145.6,54.9,345.4,233,413.4,0,362.542,360.744,0,0,0,0,0,0,0,0,12
1989,2421,1031.1,655,0,310.4,-118.9,171.1,52.5,0,567.6,1246.5,18.6,285.8,216.1,411.2,0,360.211,360.744,265.6,-65.6,-162,103.6,0,0,-53.3,0,12
1990,2715.6,1201.1,776.7,0,350.5,-145.6,215.9,26.6,0,661.8,1417,24.4,341.3,273.4,494,0,362.857,360.744,211.8,-87.8,-179.4,32.4,0,0,0,59.3,12
1991,2899.2,1290.2,814.5,0,390.3,-143.9,219.5,71.1,0,744.5,1597.3,84.6,470.7,282.9,535.8,0,362.81,360.744,347.3,-83.4,-226.1,121.2,47.9,-47.9,0,52.2,12
1992,3219.8,1483.5,958.2,0,428.2,-158.4,242.6,24.1,0,940,1732.9,363.2,736.9,174.3,470.7,0,362.09,360.744,296.2,-91.4,-249.8,46.4,0,0,0,170.4,12
1993,3488.2,1605.8,1035.5,0,457.2,-213.6,193.3,16,0,889,1966.1,350.6,813.8,165.8,629,0,361.308,350.452,378.9,-100.5,-376.4,2.5,0,-131.8,-36.2,0,12
1994,3606.3,1637.7,1034.1,0,474.6,-148.9,184.2,26.7,0,948.7,1942.3,324.7,796.2,157.2,653.7,0,347.547,346.94,337.3,-107,-138.7,198.6,0,-39.7,-34.8,0,12
1995,3690.7,1698.3,1053.8,0,510.6,-184,281.9,32.3,0,922.3,1908.3,413.7,864.4,357,883.2,0,338.654,309.339,494.9,-110.1,-153.1,341.8,15.1,-526.1,0,298.1,12
1996,3989.3,1820.7,1124.1,0,563.1,-206.6,273.2,61.4,0,986.2,2198.6,315,817.3,655.3,1206.5,0,312.229,305.884,463.7,-114.8,-596.6,-132.9,22,-66.1,0,207.8,12
