date,share_price
1972-06-01,0.99
1972-06-02,1.0
1972-06-05,1.0
1972-06-06,0.99
1972-06-07,0.98
1972-06-08,0.98
1972-06-09,0.97
1972-06-12,0.98
1972-06-13,0.98
1972-06-14,0.99
1972-06-15,0.99
1972-06-16,0.98
1972-06-19,0.99
1972-06-20,0.98
1972-06-21,1.0
1972-06-22,0.97
1972-06-23,0.96
1972-06-26,0.96
1972-06-27,0.96
1972-06-28,0.96
1972-06-29,0.95
1972-06-30,0.94
1972-07-03,0.96
1972-07-05,0.96
1972-07-06,0.96
1972-07-07,0.96
1972-07-10,0.96
1972-07-11,0.96
1972-07-12,0.96
1972-07-13,0.94
1972-07-14,0.94
1972-07-17,0.93
1972-07-18,0.93
1972-07-19,0.95
1972-07-20,0.92
1972-07-21,0.94
1972-07-24,0.95
1972-07-25,0.93
1972-07-26,0.92
1972-07-27,0.9
1972-07-28,0.92
1972-07-31,0.91
1972-08-01,0.91
1972-08-02,0.93
1972-08-03,0.95
1972-08-04,0.95
1972-08-07,0.94
1972-08-08,0.93
1972-08-09,0.92
1972-08-10,0.9
1972-08-11,0.93
1972-08-14,0.93
1972-08-15,0.93
1972-08-16,0.92
1972-08-17,0.91
1972-08-18,0.92
1972-08-21,0.9
1972-08-22,0.91
1972-08-23,0.92
1972-08-24,0.91
1972-08-25,0.92
1972-08-28,0.9
1972-08-29,0.91
1972-08-30,0.91
1972-08-31,0.9
1972-09-01,0.9
1972-09-05,0.92
1972-09-06,0.91
1972-09-07,0.92
1972-09-08,0.92
1972-09-11,0.9
1972-09-12,0.92
1972-09-13,0.91
1972-09-14,0.9
1972-09-15,0.91
1972-09-18,0.89
1972-09-19,0.9
1972-09-20,0.88
1972-09-21,0.9
1972-09-22,0.91
1972-09-25,0.9
1972-09-26,0.89
1972-09-27,0.89
1972-09-28,0.88
1972-09-29,0.88
1972-10-02,0.9
1972-10-03,0.9
1972-10-04,0.88
1972-10-05,0.88
1972-10-06,0.91
1972-10-09,0.91
1972-10-10,0.9
1972-10-11,0.92
1972-10-12,0.9
1972-10-13,0.92
1972-10-16,0.91
1972-10-17,0.88
1972-10-18,0.9
1972-10-19,0.92
1972-10-20,0.9
1972-10-23,0.9
1972-10-24,0.91
1972-10-25,0.92
