dividend_amount,ex_date,record_date,pay_date,dividend_type,currency
3.3,2025-03-03,2025-03-03,2025-03-28,regular,USD
3.3,2024-12-02,2024-12-02,2024-12-27,regular,USD
3.15,2024-09-03,2024-09-03,2024-09-27,regular,USD
3.15,2024-06-03,2024-06-03,2024-06-28,regular,USD
3.15,2024-02-29,2024-03-01,2024-03-29,regular,USD
3.15,2023-11-30,2023-12-01,2023-12-29,regular,USD
3,2023-08-31,2023-09-01,2023-09-22,regular,USD
3,2023-05-31,2023-06-01,2023-06-23,regular,USD
3,2023-02-28,2023-03-01,2023-03-24,regular,USD
3,2022-11-30,2022-12-01,2022-12-30,regular,USD
2.8,2022-08-31,2022-09-01,2022-09-23,regular,USD
2.8,2022-05-31,2022-06-01,2022-06-24,regular,USD
2.8,2022-02-28,2022-03-01,2022-03-25,regular,USD
2.8,2021-11-30,2021-12-01,2021-12-27,regular,USD
2.6,2021-08-31,2021-09-01,2021-09-24,regular,USD
2.6,2021-05-28,2021-06-01,2021-06-25,regular,USD
2.6,2021-02-26,2021-03-01,2021-03-26,regular,USD
2.6,2020-11-30,2020-12-01,2020-12-24,regular,USD
2.4,2020-08-31,2020-09-01,2020-09-25,regular,USD
2.4,2020-05-29,2020-06-01,2020-06-26,regular,USD
2.4,2020-02-28,2020-03-02,2020-03-27,regular,USD
2.4,2019-11-29,2019-12-02,2019-12-27,regular,USD
2.2,2019-08-30,2019-09-03,2019-09-27,regular,USD
2.2,2019-05-31,2019-06-03,2019-06-28,regular,USD
2.2,2019-02-28,2019-03-01,2019-03-29,regular,USD
2.2,2018-11-30,2018-12-03,2018-12-28,regular,USD
2,2018-08-31,2018-09-04,2018-09-28,regular,USD
2,2018-05-31,2018-06-01,2018-06-22,regular,USD
2,2018-02-28,2018-03-01,2018-03-23,regular,USD
2,2017-11-30,2017-12-01,2017-12-29,regular,USD
1.82,2017-08-30,2017-09-01,2017-09-22,regular,USD
1.82,2017-05-30,2017-06-01,2017-06-23,regular,USD
1.82,2017-02-27,2017-03-01,2017-03-24,regular,USD
1.82,2016-11-29,2016-12-01,2016-12-30,regular,USD
1.65,2016-08-30,2016-09-01,2016-09-23,regular,USD
1.65,2016-05-27,2016-06-01,2016-06-24,regular,USD
1.65,2016-02-26,2016-03-01,2016-03-24,regular,USD
1.65,2015-11-27,2015-12-01,2015-12-24,regular,USD
1.5,2015-08-28,2015-09-01,2015-09-25,regular,USD
1.5,2015-05-28,2015-06-01,2015-06-26,regular,USD
1.5,2015-02-26,2015-03-02,2015-03-27,regular,USD
1.5,2014-11-26,2014-12-01,2014-12-26,regular,USD
1.33,2014-08-28,2014-09-02,2014-09-26,regular,USD
1.33,2014-05-29,2014-06-02,2014-06-27,regular,USD
1.33,2014-02-27,2014-03-03,2014-03-28,regular,USD
1.33,2013-11-27,2013-12-02,2013-12-27,regular,USD
