fiscal_year,revenue,gross_profit,sga,rnd,operating_income,taxes_paid,net_income,cash_equivalents,market_securities,current_assets,long_assets,short_debt,current_liabilities,long_debt,long_liabilities,treasury_stock,shares_outstanding_diluted,shares_outstanding_eop,cash_from_ops,cash_for_dividends,capex,free_cash_flow,stock_issues,stock_buyback,debt_paid,debt_issued,fiscal_month
1992,16030,1139,0,0,1139,-355,-361,0,0,0,0,0,0,0,0,0,392.2,392.2,1178,-204,-498,680,44,-266,-494,345,12
1993,22397,1540,0,0,1540,-477,829,366,0,6961,10147,346,5191,4026,6716,0,442.2,399.296,1459,-260,-536,923,88,0,-750,2281,12
1994,22906,1779,0,0,1779,-620,1018,639,0,8143,9906,285,5635,3594,6328,0,436.6,399.296,1493,-274,-509,984,32,0,-519,43,12
1995,22853,1972,0,0,1972,-407,682,653,0,8208,9350,722,5184,3010,5941,0,442,397.498,1292,-314,-500,792,61,-150,-301,125,12
1996,26875,2281,0,0,2281,-686,1347,0,0,10346,19194,1290,8672,10188,14012,0,442.6,385.778,1636,-362,-737,899,97,0,-2105,8110,12
1997,28069,2297,0,0,2297,-637,1300,0,0,10105,18256,1370,9189,10528,13996,0,370.6,389.404,1208,-352,-750,458,110,0,-1085,1505,12
1998,26266,2352,0,0,2352,-660,1001,285,0,10611,18133,1929,10267,8957,12340,0,381.1,393.415,2031,-310,-697,1334,91,0,-1287,266,12
1999,25530,2634,0,0,1665,-463,382,455,0,10696,19565,527,8812,11427,15088,0,385.859,398.165,1077,-345,-1872,-795,17,0,-1935,2994,12
2000,24541,1660,0,0,1660,-714,-519,1505,0,13339,17087,882,10302,9065,12964,0,400.8,432.148,2016,-183,-500,1516,14,0,-2559,0,12
2001,23990,1543,0,0,1543,-90,-1046,912,0,10778,16876,89,9689,7422,11522,0,432.5,443.386,1825,-192,-619,1206,213,0,-2578,0,12
2002,26578,1949,0,0,1949,-44,500,2738,0,10626,16353,1365,9821,6217,11293,0,452,455.709,2288,-199,-662,1626,436,-50,-110,0,12
2003,31824,1976,0,0,1976,-479,1053,1010,240,9401,16774,136,8893,6072,10526,0,450,447.253,1809,-261,-687,1122,44,-482,-2377,1000,12
2004,35526,1968,0,0,1968,-398,1266,1060,396,8953,16601,15,8566,5104,9967,0,447.1,441.141,2924,-405,-769,2155,164,-673,-1252,0,12
2005,37213,2537,0,0,2537,-791,1825,2244,429,10529,17215,202,9428,4784,10449,0,445.7,436.912,3194,-462,-865,2329,406,-1310,-133,0,12
2006,39620,3434,0,0,3434,-1063,2529,1912,381,10164,18067,34,9553,4405,11794,0,436.4,421,3765,-538,-893,2872,627,-2115,-210,0,12
2007,41862,4234,0,0,4234,-1335,3033,2648,333,10940,17986,104,10037,4303,9084,0,427.1,408.123,4238,-615,-940,3298,350,-2127,-32,0,12
2008,41372,4574,0,0,4574,-1459,3217,2168,0,10683,22756,242,10542,3563,20032,0,409.4,395.272,4421,-737,-926,3495,250,-2931,-1103,491,12
2009,43867,4147,0,0,4147,-1215,2973,2391,346,12477,22634,0,10703,5052,20279,0,388.9,373,3487,-908,-1166,2321,40,-1851,-242,1464,12
2010,45671,3844,0,0,3844,-1164,2878,2261,516,12893,22220,0,11401,5019,20215,0,368.3,348,3801,-969,-1074,2727,0,-2420,0,0,12
2011,46499,3744,0,0,3744,-964,2655,3582,0,14094,23814,0,12130,6460,24777,0,339.9,323,4253,-1095,-987,3266,0,-2465,-632,1980,12
2012,47182,4196,0,0,4196,-1327,2745,1898,0,13855,24802,150,12155,6158,26463,0,328.4,321,1561,-1352,-942,619,0,-990,0,0,12
2013,45358,4187,0,0,4187,-1205,2981,2617,0,13329,22859,0,11120,6152,20150,0,326.5,321,4546,-1540,-836,3710,0,-1762,-150,0,12
2014,39946,4683,0,0,4683,-1424,3614,1446,0,12322,24724,0,11112,6142,22534,0,322.4,316,3866,-1760,-845,3021,0,-1900,0,0,12
2015,40536,4492,0,0,4492,-1173,3605,1090,0,14573,34731,956,13918,14305,32289,0,314.7,305,5101,-1932,-939,4162,0,-3071,-6000,15101,12
2016,47290,5401,0,0,5401,-1093,5173,1837,0,15108,32698,0,12542,14282,33658,0,303.1,289.777,5189,-2048,-1063,4126,0,-2096,-952,0,12
2017,49960,6371,0,0,6371,-3356,1963,2861,0,17505,29115,750,12913,13513,34483,0,290.6,285,6476,-2163,-1177,5299,0,-2001,0,0,12
2018,53762,7274,0,0,7334,-792,5046,772,0,16103,28773,1500,14398,12604,29029,0,286.8,281,3138,-2347,-1278,1860,0,-1492,-1500,1350,12
2019,59812,8367,0,0,8545,-1011,6230,1514,0,17095,30433,1250,13972,11404,30385,0,283.8,281,7311,-2556,-1484,5827,0,-1200,-1500,0,12
2020,65398,8654,0,0,8644,-1347,6833,3160,0,19378,31332,500,13933,11669,30739,0,281.2,279,8183,-2764,-1766,6417,0,-1100,-1650,1131,12
2021,67044,9061,0,0,9123,-1235,6315,3604,0,19815,31058,6,13997,11670,25917,0,277.4,271,9221,-2940,-1522,7699,0,-4087,-500,0,12
2022,65984,8287,0,0,8348,-948,5732,2547,0,20991,31889,118,15887,15429,27727,0,264.6,254,7802,-3016,-1670,6132,0,-7900,-2250,6211,12
2023,67571,8479,0,0,8507,-1178,6920,1442,0,20521,31935,168,16937,17291,28684,0,251.2,240,7920,-3056,-1691,6229,0,-6000,-115,1975,12
2024,71043,6930,0,0,7013,-884,5336,2483,0,21849,33768,643,19420,19627,29864,0,239.2,234,6972,-3059,-1685,5287,0,-3700,-168,2970,12
