FiscalYear,Revenue,GrossProfit,OperatingIncome,NetIncome,CashFromOperations,FreeCashFlow
2007,17120.0,1924.0,954.0,661.0,1180.0,769.0
2008,50706.0,1926.0,535.0,-7321.0,1090.0,90.0
2009,30828.0,1456.0,461.0,-2865.0,-787.0,-1566.0
2010,41151.0,4049.0,3023.0,10151.0,2021.0,1329.0
2011,48183.0,5451.0,4337.0,2147.0,2860.0,1810.0
2012,45352.0,5757.0,4676.0,2848.0,4787.0,3727.0
2013,44062.0,6122.0,5102.0,3857.0,4835.0,3274.0
2014,45608.0,6669.0,5736.0,4174.0,6048.0,4549.0
2015,32735.0,7052.0,6122.0,4476.0,5842.0,4402.0
2016,29183.0,5992.0,5060.0,3836.0,5606.0,3363.0
2017,34484.0,6425.0,5460.0,4879.0,5206.0,3659.0
2018,39004.0,6475.0,5231.0,4688.0,5471.0,3366.0
2019,34727.0,5426.0,4116.0,3390.0,4961.0,2267.0
2020,27753.0,3394.0,2141.0,1420.0,3404.0,1457.0
2021,46173.0,8776.0,7397.0,5610.0,7695.0,5736.0
2022,50451.0,6604.0,5170.0,3882.0,6119.0,4229.0
2023,41107.0,5258.0,3571.0,2114.0,4942.0,3411.0
