FiscalYear,Revenue,CashFromOperations,FreeCashFlow,CashEquivalents,MarketSecurities,TreasuryStock,CurrentAssets,LongAssets,CurrentLiabilities,LongLiabilities,CashPaidToDebt
2007,17120.0,1180.0,769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9249.0
2008,50706.0,1090.0,90.0,858.0,32.0,0.0,7438.0,21213.0,28601.0,5996.0,-391.0
2009,30828.0,-787.0,-1566.0,558.0,11.0,0.0,8252.0,19509.0,10367.0,26241.0,-1238.0
2010,41151.0,2021.0,1329.0,4222.0,0.0,0.0,13779.0,11715.0,4756.0,9142.0,-3678.0
2011,48183.0,2860.0,1810.0,1065.0,0.0,-124.0,11435.0,11404.0,5018.0,7174.0,-3063.0
2012,45352.0,4787.0,3727.0,2732.0,0.0,-106.0,12286.0,11934.0,5096.0,7945.0,-2679.0
2013,44062.0,4835.0,3274.0,4450.0,0.0,-2035.0,14599.0,12699.0,5510.0,9274.0,0.0
2014,45608.0,6048.0,4549.0,1031.0,1593.0,-7853.0,11645.0,12576.0,5437.0,10440.0,0.0
2015,32735.0,5842.0,4402.0,924.0,1064.0,-12086.0,9789.0,12968.0,4349.0,11834.0,0.0
2016,29183.0,5606.0,3363.0,875.0,1147.0,-14945.0,9599.0,13843.0,4540.0,12829.0,0.0
2017,34484.0,5206.0,3659.0,1523.0,1307.0,-15749.0,11738.0,14468.0,4777.0,12479.0,-1493.0
2018,39004.0,5471.0,3366.0,332.0,892.0,-2206.0,10566.0,17712.0,5513.0,12369.0,-394.0
2019,34727.0,4961.0,2267.0,858.0,196.0,-580.0,9510.0,20925.0,5198.0,17058.0,-5049.0
2020,27753.0,3404.0,1457.0,1763.0,702.0,-531.0,11634.0,23769.0,5502.0,21797.0,-3386.0
2021,46173.0,7695.0,5736.0,1472.0,9.0,-965.0,12217.0,24525.0,7230.0,17524.0,-4221.0
2022,50451.0,6119.0,4229.0,2151.0,0.0,-1346.0,11845.0,24520.0,6760.0,16862.0,-4.0
2023,41107.0,4942.0,3411.0,3390.0,0.0,-1450.0,13152.0,23848.0,7150.0,16792.0,-625.0
