Date,SharePrice,Dividend,FwdDiv,FwdDivYield
2010-04-28,22.0,0.0,0.0,0.0
2010-04-29,23.0,0.0,0.0,0.0
2010-04-30,22.3,0.0,0.0,0.0
2010-05-03,22.8,0.0,0.0,0.0
2010-05-04,21.5,0.0,0.0,0.0
2010-05-05,20.59,0.0,0.0,0.0
2010-05-06,19.45,0.0,0.0,0.0
2010-05-07,18.6,0.0,0.0,0.0
2010-05-10,19.01,0.0,0.0,0.0
2010-05-11,18.9,0.0,0.0,0.0
2010-05-12,19.8,0.0,0.0,0.0
2010-05-13,19.65,0.0,0.0,0.0
2010-05-14,18.75,0.0,0.0,0.0
2010-05-17,18.85,0.0,0.0,0.0
2010-05-18,18.79,0.0,0.0,0.0
2010-05-19,17.7,0.0,0.0,0.0
2010-05-20,16.9,0.0,0.0,0.0
2010-05-21,16.55,0.0,0.0,0.0
2010-05-24,16.9,0.0,0.0,0.0
2010-05-25,16.57,0.0,0.0,0.0
2010-05-26,17.15,0.0,0.0,0.0
2010-05-27,17.9,0.0,0.0,0.0
2010-05-28,17.77,0.0,0.0,0.0
2010-06-01,17.5,0.0,0.0,0.0
2010-06-02,17.33,0.0,0.0,0.0
2010-06-03,17.33,0.0,0.0,0.0
2010-06-04,17.05,0.0,0.0,0.0
2010-06-07,16.89,0.0,0.0,0.0
2010-06-08,16.75,0.0,0.0,0.0
2010-06-09,16.79,0.0,0.0,0.0
2010-06-10,16.97,0.0,0.0,0.0
2010-06-11,17.14,0.0,0.0,0.0
2010-06-14,17.49,0.0,0.0,0.0
2010-06-15,17.97,0.0,0.0,0.0
2010-06-16,17.64,0.0,0.0,0.0
2010-06-17,17.3,0.0,0.0,0.0
2010-06-18,17.21,0.0,0.0,0.0
2010-06-21,17.1,0.0,0.0,0.0
2010-06-22,16.84,0.0,0.0,0.0
2010-06-23,16.65,0.0,0.0,0.0
2010-06-24,16.8,0.0,0.0,0.0
2010-06-25,16.82,0.0,0.0,0.0
2010-06-28,16.87,0.0,0.0,0.0
2010-06-29,16.25,0.0,0.0,0.0
2010-06-30,16.15,0.0,0.0,0.0
2010-07-01,15.55,0.0,0.0,0.0
2010-07-02,15.48,0.0,0.0,0.0
2010-07-06,15.06,0.0,0.0,0.0
2010-07-07,15.0,0.0,0.0,0.0
2010-07-08,15.05,0.0,0.0,0.0
2010-07-09,15.8,0.0,0.0,0.0
2010-07-12,15.82,0.0,0.0,0.0
2010-07-13,16.4,0.0,0.0,0.0
2010-07-14,16.4,0.0,0.0,0.0
2010-07-15,16.37,0.0,0.0,0.0
2010-07-16,16.2,0.0,0.0,0.0
2010-07-19,16.45,0.0,0.0,0.0
2010-07-20,16.19,0.0,0.0,0.0
2010-07-21,16.24,0.0,0.0,0.0
2010-07-22,16.55,0.0,0.0,0.0
2010-07-23,16.78,0.0,0.0,0.0
2010-07-26,17.65,0.0,0.0,0.0
2010-07-27,18.23,0.0,0.0,0.0
2010-07-28,17.93,0.0,0.0,0.0
2010-07-29,17.94,0.0,0.0,0.0
2010-07-30,18.0,0.0,0.0,0.0
2010-08-02,18.06,0.0,0.0,0.0
2010-08-03,17.9,0.0,0.0,0.0
2010-08-04,18.3,0.0,0.0,0.0
2010-08-05,18.24,0.0,0.0,0.0
2010-08-06,18.0,0.0,0.0,0.0
2010-08-09,18.05,0.0,0.0,0.0
2010-08-10,17.99,0.0,0.0,0.0
2010-08-11,17.61,0.0,0.0,0.0
2010-08-12,17.5,0.0,0.0,0.0
2010-08-13,18.02,0.0,0.0,0.0
2010-08-16,18.7,0.0,0.0,0.0
2010-08-17,19.07,0.0,0.0,0.0
2010-08-18,19.8,0.0,0.0,0.0
2010-08-19,19.8,0.0,0.0,0.0
2010-08-20,19.89,0.0,0.0,0.0
2010-08-23,20.06,0.0,0.0,0.0
2010-08-24,19.99,0.0,0.0,0.0
2010-08-25,19.93,0.0,0.0,0.0
2010-08-26,20.0,0.0,0.0,0.0
2010-08-27,20.44,0.0,0.0,0.0
2010-08-30,20.22,0.0,0.0,0.0
2010-08-31,20.5,0.0,0.0,0.0
2010-09-01,21.02,0.0,0.0,0.0
2010-09-02,20.95,0.0,0.0,0.0
2010-09-03,21.13,0.0,0.0,0.0
2010-09-07,20.96,0.0,0.0,0.0
2010-09-08,20.99,0.0,0.0,0.0
2010-09-09,20.7,0.0,0.0,0.0
2010-09-10,20.79,0.0,0.0,0.0
2010-09-13,21.38,0.0,0.0,0.0
2010-09-14,21.51,0.0,0.0,0.0
2010-09-15,21.56,0.0,0.0,0.0
2010-09-16,21.85,0.0,0.0,0.0
2010-09-17,22.25,0.0,0.0,0.0
2010-09-20,22.2,0.0,0.0,0.0
2010-09-21,22.21,0.0,0.0,0.0
2010-09-22,21.94,0.0,0.0,0.0
2010-09-23,21.85,0.0,0.0,0.0
2010-09-24,22.46,0.0,0.0,0.0
2010-09-27,23.1,0.0,0.0,0.0
2010-09-28,23.45,0.0,0.0,0.0
2010-09-29,23.62,0.0,0.0,0.0
2010-09-30,23.9,0.0,0.0,0.0
2010-10-01,23.87,0.0,0.0,0.0
2010-10-04,24.09,0.0,0.0,0.0
2010-10-05,24.79,0.0,0.0,0.0
2010-10-06,24.22,0.0,0.0,0.0
2010-10-07,24.45,0.0,0.0,0.0
2010-10-08,25.25,0.0,0.0,0.0
2010-10-11,26.16,0.0,0.0,0.0
2010-10-12,26.3,0.0,0.0,0.0
2010-10-13,26.97,0.0,0.0,0.0
2010-10-14,27.02,0.0,0.0,0.0
2010-10-15,26.5,0.0,0.0,0.0
2010-10-18,26.75,0.0,0.0,0.0
2010-10-19,26.52,0.0,0.0,0.0
2010-10-20,27.13,0.0,0.0,0.0
2010-10-21,27.56,0.0,0.0,0.0
2010-10-22,27.55,0.0,0.0,0.0
2010-10-25,27.96,0.0,0.0,0.0
2010-10-26,27.72,0.0,0.0,0.0
2010-10-27,27.21,0.0,0.0,0.0
2010-10-28,27.51,0.0,0.0,0.0
2010-10-29,26.86,0.0,0.0,0.0
2010-11-01,26.0,0.0,0.0,0.0
2010-11-02,26.63,0.0,0.0,0.0
2010-11-03,26.95,0.0,0.0,0.0
2010-11-04,27.41,0.0,0.0,0.0
2010-11-05,28.35,0.0,0.0,0.0
2010-11-08,28.85,0.0,0.0,0.0
2010-11-09,28.44,0.0,0.0,0.0
2010-11-10,28.34,0.0,0.0,0.0
