FiscalYear,Revenue,CashEquivalents,MarketSecurities,SharesOutBasic,SharesOutDiluted,CashForDividends
2007,17120.0,0.0,0.0,564.0,564.0,-522.0
2008,50706.0,858.0,32.0,564.0,564.0,0.0
2009,30828.0,558.0,11.0,564.0,564.0,0.0
2010,41151.0,4222.0,0.0,564.0,566.0,0.0
2011,48183.0,1065.0,0.0,568.0,572.0,-2893.0
2012,45352.0,2732.0,0.0,573.0,577.0,-2415.0
2013,44062.0,4450.0,0.0,566.0,570.0,-1127.0
2014,45608.0,1031.0,1593.0,518.0,521.0,-1403.0
2015,32735.0,924.0,1064.0,465.0,466.0,-1410.0
2016,29183.0,875.0,1147.0,419.0,420.0,-1395.0
2017,34484.0,1523.0,1307.0,398.0,399.0,-1415.0
2018,39004.0,332.0,892.0,389.0,389.0,-1554.0
2019,34727.0,858.0,196.0,353.0,353.0,-1462.0
2020,27753.0,1763.0,702.0,334.0,334.0,-1405.0
2021,46173.0,1472.0,9.0,334.0,334.0,-1486.0
2022,50451.0,2151.0,0.0,327.0,328.0,-3246.0
2023,41107.0,3390.0,0.0,325.0,326.0,-1610.0
