FiscalYear,Revenue,FreeCashFlow,CashEquivalents,MarketSecurities,TreasuryStock,CashForDividends,StockIssuance,StockRepurchase
2007,17120.0,769.0,0.0,0.0,0.0,-522.0,0.0,0.0
2008,50706.0,90.0,858.0,32.0,0.0,0.0,0.0,0.0
2009,30828.0,-1566.0,558.0,11.0,0.0,0.0,0.0,0.0
2010,41151.0,1329.0,4222.0,0.0,0.0,0.0,2800.0,0.0
2011,48183.0,1810.0,1065.0,0.0,-124.0,-2893.0,0.0,0.0
2012,45352.0,3727.0,2732.0,0.0,-106.0,-2415.0,0.0,0.0
2013,44062.0,3274.0,4450.0,0.0,-2035.0,-1127.0,0.0,-1949.0
2014,45608.0,4549.0,1031.0,1593.0,-7853.0,-1403.0,0.0,-5788.0
2015,32735.0,4402.0,924.0,1064.0,-12086.0,-1410.0,0.0,-4656.0
2016,29183.0,3363.0,875.0,1147.0,-14945.0,-1395.0,0.0,-2938.0
2017,34484.0,3659.0,1523.0,1307.0,-15749.0,-1415.0,0.0,-866.0
2018,39004.0,3366.0,332.0,892.0,-2206.0,-1554.0,0.0,-1854.0
2019,34727.0,2267.0,858.0,196.0,-580.0,-1462.0,0.0,-3752.0
2020,27753.0,1457.0,1763.0,702.0,-531.0,-1405.0,0.0,-4.0
2021,46173.0,5736.0,1472.0,9.0,-965.0,-1486.0,0.0,-463.0
2022,50451.0,4229.0,2151.0,0.0,-1346.0,-3246.0,0.0,-420.0
2023,41107.0,3411.0,3390.0,0.0,-1450.0,-1610.0,0.0,-211.0
