fiscal_year,pershare_revenue,pershare_earnings,pershare_dividends,pershare_fcf,pershare_high_price,pershare_low_price,fiscal_month
2007,30.355,1.172,0,1.363,0,0,12
2008,89.904,-12.98,0,0.16,0,0,12
2009,54.66,-5.08,0,-2.777,0,0,12
2010,72.705,2.78,0,2.348,34.4,15,12
2011,84.236,3.74,0.55,3.164,45.62,24.1,12
2012,78.6,4.92,1.45,6.459,57.09,33.47,12
2013,77.302,6.75,2,5.744,80.28,55.51,12
2014,87.539,7.99,2.7,8.731,114.59,70.61,12
2015,70.247,9.59,3.04,9.446,106.13,74.36,12
2016,69.483,9.13,3.33,8.007,91.18,71.32,12
2017,86.426,12.23,3.55,9.17,111.16,78.91,12
2018,100.267,12.01,4,8.653,121.49,78.52,12
2019,98.377,9.58,4.15,6.422,97.49,69.03,12
2020,83.093,4.24,4.2,4.362,93.86,34.9,12
2021,138.243,16.75,4.44,17.174,117.86,84.55,12
2022,153.814,11.81,4.7,12.893,117.08,72.2,12
2023,126.095,6.46,4.94,10.463,101.01,83.99,12
