FiscalYear,Revenue,COGS,SGA,RND,OperatingExpense,TaxPaid,CAPEX
1985,140.4,27.0,69.1,0.0,72.6,-18.7,0.0
1986,197.5,35.1,95.7,0.0,101.5,-26.7,0.0
1987,345.9,66.3,145.1,0.0,152.7,-49.5,0.0
1988,590.8,132.0,255.4,0.0,271.4,-59.8,0.0
1989,803.5,180.0,357.1,0.0,381.3,-80.3,-89.4
1990,1183.4,206.4,537.5,0.0,583.8,-131.4,-158.1
1991,1843.4,286.8,831.0,0.0,906.8,-207.9,-264.4
1992,2758.7,354.1,1296.3,0.0,1408.6,-333.2,-316.6
1993,3753.0,482.0,1794.0,0.0,1945.0,-448.0,-236.0
1994,4649.0,526.0,1550.0,610.0,2397.0,-576.0,-278.0
1995,5937.0,608.0,2162.0,860.0,3291.0,-714.0,-495.0
1996,8671.0,708.0,4405.0,1432.0,4885.0,-1184.0,-494.0
1997,11936.0,1613.0,3032.0,1863.0,5452.0,-1860.0,-499.0
1998,15262.0,1436.0,3491.0,2601.0,7116.0,-2627.0,-846.0
1999,19747.0,1804.0,3920.0,2970.0,7900.0,-4106.0,-583.0
2000,22956.0,3002.0,5176.0,3772.0,8948.0,-4854.0,-879.0
2001,25296.0,3455.0,5742.0,4379.0,10121.0,-3804.0,-1103.0
2002,28365.0,5191.0,6957.0,4307.0,11264.0,-3684.0,-770.0
2003,32187.0,6059.0,9988.0,6595.0,16583.0,-3523.0,-891.0
2004,36835.0,6716.0,13306.0,7779.0,21085.0,-4028.0,-1109.0
2005,39788.0,6031.0,13099.0,6097.0,19196.0,-4374.0,-812.0
2006,44282.0,7650.0,13576.0,6584.0,20160.0,-5663.0,-1578.0
2007,51122.0,10693.0,14870.0,7121.0,21991.0,-6036.0,-2264.0
2008,60420.0,11598.0,18387.0,8164.0,26551.0,-6133.0,-3182.0
2009,58437.0,12155.0,16909.0,9010.0,25919.0,-5252.0,-3119.0
2010,62484.0,12395.0,17277.0,8714.0,25991.0,-6253.0,-1977.0
2011,69943.0,15577.0,18162.0,9043.0,27205.0,-4921.0,-2355.0
2012,73723.0,17530.0,18426.0,9811.0,28237.0,-5289.0,-2305.0
2013,77849.0,20385.0,20289.0,10411.0,30700.0,-5189.0,-4257.0
2014,86833.0,27078.0,20488.0,11381.0,31869.0,-5746.0,-5485.0
2015,93580.0,33038.0,20324.0,12046.0,32370.0,-6314.0,-5944.0
2016,91154.0,32780.0,19198.0,11988.0,31186.0,-5100.0,-8343.0
2017,96571.0,34261.0,19942.0,13037.0,32979.0,-4412.0,-8129.0
2018,110360.0,38353.0,22223.0,14726.0,36949.0,-19903.0,-11632.0
2019,125843.0,42910.0,23098.0,16876.0,39974.0,-4448.0,-13925.0
2020,143015.0,46078.0,24709.0,19269.0,43978.0,-8755.0,-15441.0
2021,168088.0,52232.0,25224.0,20716.0,45940.0,-9831.0,-20622.0
2022,198270.0,62650.0,27725.0,24512.0,52237.0,-10978.0,-23886.0
2023,211915.0,65863.0,30334.0,27195.0,57529.0,-16950.0,-28107.0
2024,245122.0,74114.0,32065.0,29510.0,61575.0,-19651.0,-44477.0
