FiscalYear,Revenue,CashFromOperations,FreeCashFlow,CashEquivalents,MarketSecurities,TreasuryStock,CurrentAssets,LongAssets,CurrentLiabilities,LongLiabilities,CashPaidToDebt
1985,140.4,0.0,0.0,18.9,0.0,0.0,52.1,13.0,10.6,0.1,0.0
1986,197.5,0.0,0.0,102.7,0.0,0.0,148.0,22.7,29.5,1.9,0.0
1987,345.9,0.0,0.0,132.5,0.0,0.0,213.0,74.8,46.6,2.1,0.0
1988,590.8,0.0,0.0,183.2,0.0,0.0,345.3,147.7,117.6,-0.1,0.0
1989,803.5,222.5,133.1,192.4,0.0,0.0,468.9,251.7,158.8,0.0,0.0
1990,1183.4,278.3,120.2,246.3,0.0,0.0,719.9,385.4,186.8,-0.1,-19.6
1991,1843.4,557.9,293.5,417.2,0.0,0.0,1028.5,615.7,293.4,0.0,0.0
1992,2758.7,907.0,590.4,791.4,0.0,0.0,1769.7,870.2,446.9,0.0,-11.1
1993,3753.0,1074.0,838.0,1013.0,0.0,0.0,2850.0,955.0,563.0,0.0,0.0
1994,4649.0,1593.0,1315.0,1477.0,0.0,0.0,4312.0,1051.0,913.0,0.0,0.0
1995,5937.0,1990.0,1495.0,1962.0,0.0,0.0,5620.0,1590.0,1347.0,405.0,0.0
1996,8671.0,3719.0,3225.0,2601.0,0.0,0.0,7839.0,2254.0,2425.0,635.0,0.0
1997,11936.0,4689.0,4190.0,3706.0,0.0,0.0,10373.0,4014.0,3610.0,0.0,0.0
1998,15262.0,8433.0,7587.0,3839.0,0.0,0.0,15889.0,6468.0,5730.0,0.0,0.0
1999,19747.0,13137.0,12554.0,4975.0,12261.0,0.0,21702.0,16923.0,8802.0,1385.0,0.0
2000,22956.0,11426.0,10547.0,4846.0,18952.0,0.0,30308.0,21842.0,9755.0,1027.0,0.0
2001,25296.0,13422.0,12319.0,3922.0,27678.0,0.0,39210.0,19620.0,9254.0,2287.0,0.0
2002,28365.0,14509.0,13739.0,3016.0,35636.0,0.0,48576.0,19070.0,12744.0,2722.0,0.0
2003,32187.0,15797.0,14906.0,6438.0,42610.0,0.0,58973.0,22759.0,13974.0,2846.0,0.0
2004,36835.0,14626.0,13517.0,14304.0,46288.0,0.0,70566.0,23802.0,14969.0,4574.0,0.0
2005,39788.0,16605.0,15793.0,4851.0,32900.0,0.0,48737.0,22078.0,16877.0,5823.0,0.0
2006,44282.0,14404.0,12826.0,6714.0,27447.0,0.0,49010.0,20587.0,22442.0,7051.0,0.0
2007,51122.0,17796.0,15532.0,6111.0,17300.0,0.0,40168.0,23003.0,23754.0,8320.0,0.0
2008,60420.0,21612.0,18430.0,10339.0,13323.0,0.0,43242.0,29551.0,29886.0,6621.0,0.0
2009,58437.0,19037.0,15918.0,6076.0,25371.0,0.0,49280.0,28608.0,27034.0,11296.0,-228.0
2010,62484.0,24073.0,22096.0,5505.0,31283.0,0.0,55676.0,30437.0,26147.0,13791.0,-3977.0
2011,69943.0,26994.0,24639.0,9610.0,43162.0,0.0,74918.0,33786.0,28774.0,22847.0,-7774.0
2012,73723.0,31626.0,29321.0,6938.0,56102.0,0.0,85084.0,36187.0,32688.0,22220.0,0.0
2013,77849.0,28833.0,24576.0,3804.0,73218.0,0.0,101466.0,40965.0,37417.0,26070.0,-1346.0
2014,86833.0,32502.0,27017.0,8669.0,77040.0,0.0,114246.0,58138.0,45625.0,36975.0,-3888.0
2015,93580.0,29668.0,23724.0,5595.0,90931.0,0.0,122797.0,51675.0,49647.0,44742.0,-1500.0
2016,91154.0,33325.0,24982.0,6510.0,106730.0,0.0,139660.0,53808.0,59357.0,62114.0,-2796.0
2017,96571.0,39507.0,31378.0,7663.0,125318.0,0.0,162696.0,87616.0,55745.0,106856.0,-12885.0
2018,110360.0,43884.0,32252.0,11946.0,121822.0,0.0,169662.0,89186.0,58488.0,117642.0,-17384.0
2019,125843.0,52185.0,38260.0,11356.0,122463.0,0.0,175552.0,111004.0,69420.0,114806.0,-4000.0
2020,143015.0,60675.0,45234.0,13576.0,122951.0,0.0,181915.0,119396.0,72310.0,110697.0,-5518.0
2021,168088.0,76740.0,56118.0,14224.0,116032.0,0.0,184406.0,149373.0,88657.0,103134.0,-3750.0
2022,198270.0,89035.0,65149.0,13931.0,90818.0,0.0,169684.0,195156.0,95082.0,103216.0,-9023.0
2023,211915.0,87582.0,59475.0,34704.0,76552.0,0.0,184257.0,227719.0,104149.0,101604.0,-2750.0
2024,245122.0,118548.0,74071.0,18315.0,57216.0,0.0,159734.0,352429.0,125286.0,118400.0,-29070.0
