FiscalYear,Revenue,FreeCashFlow,CashEquivalents,MarketSecurities,TreasuryStock,CashForDividends,StockIssuance,StockRepurchase
1985,140.4,0.0,18.9,0.0,0.0,0.0,0.0,0.0
1986,197.5,0.0,102.7,0.0,0.0,0.0,0.0,0.0
1987,345.9,0.0,132.5,0.0,0.0,0.0,0.0,0.0
1988,590.8,0.0,183.2,0.0,0.0,0.0,0.0,0.0
1989,803.5,133.1,192.4,0.0,0.0,0.0,6.3,0.0
1990,1183.4,120.2,246.3,0.0,0.0,0.0,109.8,-46.7
1991,1843.4,293.5,417.2,0.0,0.0,0.0,179.7,-197.0
1992,2758.7,590.4,791.4,0.0,0.0,0.0,265.1,-135.0
1993,3753.0,838.0,1013.0,0.0,0.0,0.0,436.0,-250.0
1994,4649.0,1315.0,1477.0,0.0,0.0,0.0,431.0,-348.0
1995,5937.0,1495.0,1962.0,0.0,0.0,0.0,332.0,-649.0
1996,8671.0,3225.0,2601.0,0.0,0.0,0.0,504.0,-1261.0
1997,11936.0,4190.0,3706.0,0.0,0.0,-15.0,1819.0,-3101.0
1998,15262.0,7587.0,3839.0,0.0,0.0,-28.0,1497.0,-2468.0
1999,19747.0,12554.0,4975.0,12261.0,0.0,-28.0,2116.0,-2950.0
2000,22956.0,10547.0,4846.0,18952.0,0.0,-13.0,2717.0,-4896.0
2001,25296.0,12319.0,3922.0,27678.0,0.0,0.0,1620.0,-7441.0
2002,28365.0,13739.0,3016.0,35636.0,0.0,0.0,1497.0,-6069.0
2003,32187.0,14906.0,6438.0,42610.0,0.0,-857.0,2120.0,-6486.0
2004,36835.0,13517.0,14304.0,46288.0,0.0,-1729.0,2748.0,-3383.0
2005,39788.0,15793.0,4851.0,32900.0,0.0,-36112.0,3109.0,-8057.0
2006,44282.0,12826.0,6714.0,27447.0,0.0,-3545.0,2101.0,-19207.0
2007,51122.0,15532.0,6111.0,17300.0,0.0,-3805.0,6782.0,-27575.0
2008,60420.0,18430.0,10339.0,13323.0,0.0,-4015.0,3494.0,-12533.0
2009,58437.0,15918.0,6076.0,25371.0,0.0,-4468.0,579.0,-9353.0
2010,62484.0,22096.0,5505.0,31283.0,0.0,-4578.0,2311.0,-11269.0
2011,69943.0,24639.0,9610.0,43162.0,0.0,-5180.0,2422.0,-11555.0
2012,73723.0,29321.0,6938.0,56102.0,0.0,-6385.0,1913.0,-5029.0
2013,77849.0,24576.0,3804.0,73218.0,0.0,-7455.0,931.0,-5360.0
2014,86833.0,27017.0,8669.0,77040.0,0.0,-8879.0,607.0,-7316.0
2015,93580.0,23724.0,5595.0,90931.0,0.0,-9882.0,634.0,-14443.0
2016,91154.0,24982.0,6510.0,106730.0,0.0,-11006.0,668.0,-15969.0
2017,96571.0,31378.0,7663.0,125318.0,0.0,-11845.0,772.0,-11788.0
2018,110360.0,32252.0,11946.0,121822.0,0.0,-12699.0,1002.0,-10721.0
2019,125843.0,38260.0,11356.0,122463.0,0.0,-13811.0,1142.0,-19543.0
2020,143015.0,45234.0,13576.0,122951.0,0.0,-15137.0,1343.0,-22968.0
2021,168088.0,56118.0,14224.0,116032.0,0.0,-16521.0,1693.0,-27385.0
2022,198270.0,65149.0,13931.0,90818.0,0.0,-18135.0,1841.0,-32696.0
2023,211915.0,59475.0,34704.0,76552.0,0.0,-19800.0,1866.0,-22245.0
2024,245122.0,74071.0,18315.0,57216.0,0.0,-21771.0,2002.0,-17254.0
