FiscalYear,PerShareRevenue,PerShareEarnings,PerShareFcf,PerShareDividends,StockPriceHigh,StockPriceLow
1985,0.02,0.005,0.0,0.0,0.0,0.0
1986,0.027,0.01,0.0,0.0,0.12,0.09
1987,0.048,0.01,0.0,0.0,0.44,0.09
1988,0.095,0.02,0.0,0.0,0.55,0.27
1989,0.118,0.025,0.02,0.0,0.48,0.32
1990,0.148,0.035,0.015,0.0,1.08,0.36
1991,0.219,0.055,0.035,0.0,1.58,0.72
1992,0.312,0.08,0.067,0.0,2.74,1.29
1993,0.394,0.1,0.088,0.0,3.01,2.13
1994,0.476,0.118,0.135,0.0,3.41,2.22
1995,0.592,0.145,0.149,0.0,5.74,2.98
1996,0.849,0.215,0.316,0.0,7.81,5.01
1997,1.145,0.33,0.402,0.0,16.77,6.92
1998,1.423,0.42,0.707,0.0,27.09,14.87
1999,1.801,0.71,1.145,0.0,47.47,22.8
2000,2.074,0.85,0.953,0.0,59.56,30.72
2001,2.269,0.66,1.105,0.0,41.0,20.75
2002,2.554,0.7,1.237,0.0,35.91,24.31
2003,2.958,0.69,1.37,0.08,29.12,21.42
2004,3.381,0.75,1.241,0.16,29.96,24.15
2005,3.648,1.12,1.448,0.32,29.98,23.92
2006,4.205,1.2,1.218,0.34,28.16,21.51
2007,5.171,1.42,1.571,0.39,31.21,22.26
2008,6.38,1.87,1.946,0.43,37.06,26.99
2009,6.496,1.62,1.769,0.5,28.13,15.15
2010,6.999,2.1,2.475,0.52,31.39,22.39
2011,8.14,2.69,2.867,0.61,28.87,23.16
2012,8.667,2.0,3.447,0.76,32.85,23.98
2013,9.191,2.58,2.902,0.89,35.67,26.37
2014,10.338,2.63,3.217,1.07,42.25,31.15
2015,11.338,1.48,2.874,1.21,49.61,40.29
2016,11.376,2.56,3.118,1.39,56.55,40.47
2017,12.33,3.25,4.006,1.53,72.52,51.16
2018,14.16,2.13,4.138,1.65,102.49,68.17
2019,16.232,5.06,4.935,1.8,137.78,94.13
2020,18.614,5.76,5.888,1.99,203.51,132.21
2021,22.094,8.05,7.376,2.19,271.4,200.39
2022,26.296,9.65,8.64,2.42,343.11,242.26
2023,28.361,9.68,7.96,2.66,348.1,214.25
2024,32.819,11.8,9.917,2.93,452.85,312.14
