FiscalYear,Revenue,GrossProfit,OperatingIncome,NetIncome,CashFromOperations,FreeCashFlow
1985,140.4,113.4,40.8,24.1,0.0,0.0
1986,197.5,162.4,60.9,39.3,0.0,0.0
1987,345.9,279.6,126.9,71.9,0.0,0.0
1988,590.8,458.8,187.4,123.9,0.0,0.0
1989,803.5,623.5,242.2,170.5,222.5,133.1
1990,1183.4,977.0,393.2,279.2,278.3,120.2
1991,1843.4,1556.6,649.8,462.7,557.9,293.5
1992,2758.7,2404.6,996.0,708.1,907.0,590.4
1993,3753.0,3271.0,1326.0,953.0,1074.0,838.0
1994,4649.0,4123.0,1726.0,1146.0,1593.0,1315.0
1995,5937.0,5329.0,2038.0,1453.0,1990.0,1495.0
1996,8671.0,7963.0,3078.0,2195.0,3719.0,3225.0
1997,11936.0,10323.0,4871.0,3454.0,4689.0,4190.0
1998,15262.0,13826.0,6710.0,4490.0,8433.0,7587.0
1999,19747.0,17943.0,10043.0,7785.0,13137.0,12554.0
2000,22956.0,19954.0,11006.0,9421.0,11426.0,10547.0
2001,25296.0,21841.0,11720.0,7346.0,13422.0,12319.0
2002,28365.0,23174.0,11910.0,7829.0,14509.0,13739.0
2003,32187.0,26128.0,9545.0,7531.0,15797.0,14906.0
2004,36835.0,30119.0,9034.0,8168.0,14626.0,13517.0
2005,39788.0,33757.0,14561.0,12254.0,16605.0,15793.0
2006,44282.0,36632.0,16472.0,12599.0,14404.0,12826.0
2007,51122.0,40429.0,18438.0,14065.0,17796.0,15532.0
2008,60420.0,48822.0,22271.0,17681.0,21612.0,18430.0
2009,58437.0,46282.0,20363.0,14569.0,19037.0,15918.0
2010,62484.0,50089.0,24098.0,18760.0,24073.0,22096.0
2011,69943.0,54366.0,27161.0,23150.0,26994.0,24639.0
2012,73723.0,56193.0,27956.0,16978.0,31626.0,29321.0
2013,77849.0,57464.0,26764.0,21863.0,28833.0,24576.0
2014,86833.0,59755.0,27886.0,22074.0,32502.0,27017.0
2015,93580.0,60542.0,28172.0,12193.0,29668.0,23724.0
2016,91154.0,58374.0,27188.0,20539.0,33325.0,24982.0
2017,96571.0,62310.0,29331.0,25489.0,39507.0,31378.0
2018,110360.0,72007.0,35058.0,16571.0,43884.0,32252.0
2019,125843.0,82933.0,42959.0,39240.0,52185.0,38260.0
2020,143015.0,96937.0,52959.0,44281.0,60675.0,45234.0
2021,168088.0,115856.0,69916.0,61271.0,76740.0,56118.0
2022,198270.0,135620.0,83383.0,72738.0,89035.0,65149.0
2023,211915.0,146052.0,88523.0,72361.0,87582.0,59475.0
2024,245122.0,171008.0,109433.0,88136.0,118548.0,74071.0
