ExDate,Dividend,RecordDate,PayDate,DividendType,Currency
2024-11-21,0.83,2024-11-21,2024-12-12,Cash Div.,USD
2024-08-15,0.75,2024-08-15,2024-09-12,Cash Div.,USD
2024-05-15,0.75,2024-05-16,2024-06-13,Cash Div.,USD
2024-02-14,0.75,2024-02-15,2024-03-14,Cash Div.,USD
2023-11-15,0.75,2023-11-16,2023-12-14,Cash Div.,USD
2023-08-16,0.68,2023-08-17,2023-09-14,Cash Div.,USD
2023-05-17,0.68,2023-05-18,2023-06-08,Cash Div.,USD
2023-02-15,0.68,2023-02-16,2023-03-09,Cash Div.,USD
2022-11-16,0.68,2022-11-17,2022-12-08,Cash Div.,USD
2022-08-17,0.62,2022-08-18,2022-09-08,Cash Div.,USD
2022-05-18,0.62,2022-05-19,2022-06-09,Cash Div.,USD
2022-02-16,0.62,2022-02-17,2022-03-10,Cash Div.,USD
2021-11-17,0.62,2021-11-18,2021-12-09,Cash Div.,USD
2021-08-18,0.56,2021-08-19,2021-09-09,Cash Div.,USD
2021-05-19,0.56,2021-05-20,2021-06-10,Cash Div.,USD
2021-02-17,0.56,2021-02-18,2021-03-11,Cash Div.,USD
2020-11-18,0.56,2020-11-19,2020-12-10,Cash Div.,USD
2020-08-19,0.51,2020-08-20,2020-09-10,Cash Div.,USD
2020-05-20,0.51,2020-05-21,2020-06-11,Cash Div.,USD
2020-02-19,0.51,2020-02-20,2020-03-12,Cash Div.,USD
2019-11-20,0.51,2019-11-21,2019-12-12,Cash Div.,USD
2019-08-14,0.46,2019-08-15,2019-09-12,Cash Div.,USD
2019-05-15,0.46,2019-05-16,2019-06-13,Cash Div.,USD
2019-02-20,0.46,2019-02-21,2019-03-14,Cash Div.,USD
2018-11-14,0.46,2018-11-15,2018-12-13,Cash Div.,USD
2018-08-15,0.42,2018-08-16,2018-09-13,Cash Div.,USD
2018-05-16,0.42,2018-05-17,2018-06-14,Cash Div.,USD
2018-02-14,0.42,2018-02-15,2018-03-08,Cash Div.,USD
2017-11-15,0.42,2017-11-16,2017-12-14,Cash Div.,USD
2017-08-15,0.39,2017-08-17,2017-09-14,Cash Div.,USD
2017-05-16,0.39,2017-05-18,2017-06-08,Cash Div.,USD
2017-02-14,0.39,2017-02-16,2017-03-09,Cash Div.,USD
