FiscalYear,Revenue,CashEquivalents,MarketSecurities,SharesOutBasic,SharesOutDiluted,CashForDividends
1985,140.4,18.9,0.0,7117.929,7117.929,0.0
1986,197.5,102.7,0.0,7342.4,7342.4,0.0
1987,345.9,132.5,0.0,7190.0,7190.0,0.0
1988,590.8,183.2,0.0,6195.0,6195.0,0.0
1989,803.5,192.4,0.0,6820.0,6820.0,0.0
1990,1183.4,246.3,0.0,7977.143,7977.143,0.0
1991,1843.4,417.2,0.0,8412.727,8412.727,0.0
1992,2758.7,791.4,0.0,8851.25,8851.25,0.0
1993,3753.0,1013.0,0.0,9530.0,9530.0,0.0
1994,4649.0,1477.0,0.0,9760.0,9760.0,0.0
1995,5937.0,1962.0,0.0,10032.0,10032.0,0.0
1996,8671.0,2601.0,0.0,9340.426,10209.302,0.0
1997,11936.0,3706.0,0.0,9552.778,10421.212,-15.0
1998,15262.0,3839.0,0.0,9728.0,10724.0,-28.0
1999,19747.0,4975.0,12261.0,10056.0,10964.0,-28.0
2000,22956.0,4846.0,18952.0,10334.0,11067.059,-13.0
2001,25296.0,3922.0,27678.0,10682.0,11148.0,0.0
2002,28365.0,3016.0,35636.0,10811.0,11106.0,0.0
2003,32187.0,6438.0,42610.0,10723.0,10882.0,-857.0
2004,36835.0,14304.0,46288.0,10803.0,10894.0,-1729.0
2005,39788.0,4851.0,32900.0,10839.0,10906.0,-36112.0
2006,44282.0,6714.0,27447.0,10438.0,10531.0,-3545.0
2007,51122.0,6111.0,17300.0,9742.0,9886.0,-3805.0
2008,60420.0,10339.0,13323.0,9328.0,9470.0,-4015.0
2009,58437.0,6076.0,25371.0,8945.0,8996.0,-4468.0
2010,62484.0,5505.0,31283.0,8813.0,8927.0,-4578.0
2011,69943.0,9610.0,43162.0,8490.0,8593.0,-5180.0
2012,73723.0,6938.0,56102.0,8396.0,8506.0,-6385.0
2013,77849.0,3804.0,73218.0,8375.0,8470.0,-7455.0
2014,86833.0,8669.0,77040.0,8299.0,8399.0,-8879.0
2015,93580.0,5595.0,90931.0,8177.0,8254.0,-9882.0
2016,91154.0,6510.0,106730.0,7925.0,8013.0,-11006.0
2017,96571.0,7663.0,125318.0,7746.0,7832.0,-11845.0
2018,110360.0,11946.0,121822.0,7700.0,7794.0,-12699.0
2019,125843.0,11356.0,122463.0,7673.0,7753.0,-13811.0
2020,143015.0,13576.0,122951.0,7610.0,7683.0,-15137.0
2021,168088.0,14224.0,116032.0,7547.0,7608.0,-16521.0
2022,198270.0,13931.0,90818.0,7496.0,7540.0,-18135.0
2023,211915.0,34704.0,76552.0,7446.0,7472.0,-19800.0
2024,245122.0,18315.0,57216.0,7431.0,7469.0,-21771.0
