fiscal_year,revenue,gross_profit,sga,rnd,operating_income,taxes_paid,net_income,cash_equivalents,market_securities,current_assets,long_assets,short_debt,current_liabilities,long_debt,long_liabilities,treasury_stock,shares_outstanding_diluted,shares_outstanding_eop,cash_from_ops,cash_for_dividends,capex,free_cash_flow,stock_issues,stock_buyback,debt_paid,debt_issued,fiscal_month
1985,140.4,113.4,69.1,0,40.8,-18.7,24.1,18.9,0,52.1,13,0,10.6,0,0.1,0,7117.929,7117.929,0,0,0,0,0,0,0,0,06
1986,197.5,162.4,95.7,0,60.9,-26.7,39.3,102.7,0,148,22.7,0,29.5,1.9,1.9,0,7342.4,7342.4,0,0,0,0,0,0,0,0,06
1987,345.9,279.6,145.1,0,126.9,-49.5,71.9,132.5,0,213,74.8,5.1,46.6,2,2.1,0,7190,7583.104,0,0,0,0,0,0,0,0,06
1988,590.8,458.8,255.4,0,187.4,-59.8,123.9,183.2,0,345.3,147.7,20.3,117.6,0,-0.1,0,6195,7719.776,0,0,0,0,0,0,0,0,06
1989,803.5,623.5,357.1,0,242.2,-80.3,170.5,192.4,0,468.9,251.7,25.4,158.8,0,0,0,6820,7852.512,222.5,0,-89.4,133.1,6.3,0,0,5.2,06
1990,1183.4,977,537.5,0,393.2,-131.4,279.2,246.3,0,719.9,385.4,6.5,186.8,0,-0.1,0,7977.143,8178.144,278.3,0,-158.1,120.2,109.8,-46.7,-19.6,0,06
1991,1843.4,1556.6,831,0,649.8,-207.9,462.7,417.2,0,1028.5,615.7,19.5,293.4,0,0,0,8412.727,8359.056,557.9,0,-264.4,293.5,179.7,-197,0,12.9,06
1992,2758.7,2404.6,1296.3,0,996,-333.2,708.1,791.4,0,1769.7,870.2,8.3,446.9,0,0,0,8851.25,8708.448,907,0,-316.6,590.4,265.1,-135,-11.1,0,06
1993,3753,3271,1794,0,1326,-448,953,1013,0,2850,955,0,563,0,0,0,9530,9024,1074,0,-236,838,436,-250,0,0,06
1994,4649,4123,1550,610,1726,-576,1146,1477,0,4312,1051,0,913,0,0,0,9760,9040,1593,0,-278,1315,431,-348,0,0,06
