fiscal_year,pershare_revenue,pershare_earnings,pershare_dividends,pershare_fcf,pershare_high_price,pershare_low_price,fiscal_month
1985,0.02,0.005,0,0,0,0,06
1986,0.027,0.01,0,0,0.12,0.09,06
1987,0.048,0.01,0,0,0.44,0.09,06
1988,0.095,0.02,0,0,0.55,0.27,06
1989,0.118,0.025,0,0.02,0.48,0.32,06
1990,0.148,0.035,0,0.015,1.08,0.36,06
1991,0.219,0.055,0,0.035,1.58,0.72,06
1992,0.312,0.08,0,0.067,2.74,1.29,06
1993,0.394,0.1,0,0.088,3.01,2.13,06
1994,0.476,0.118,0,0.135,3.41,2.22,06
1995,0.592,0.145,0,0.149,5.74,2.98,06
1996,0.849,0.215,0,0.316,7.81,5.01,06
1997,1.145,0.33,0,0.402,16.77,6.92,06
1998,1.423,0.42,0,0.707,27.09,14.87,06
1999,1.801,0.71,0,1.145,47.47,22.8,06
2000,2.074,0.85,0,0.953,59.56,30.72,06
2001,2.269,0.66,0,1.105,41,20.75,06
2002,2.554,0.7,0,1.237,35.91,24.31,06
2003,2.958,0.69,0.08,1.37,29.12,21.42,06
2004,3.381,0.75,0.16,1.241,29.96,24.15,06
2005,3.648,1.12,0.32,1.448,29.98,23.92,06
2006,4.205,1.2,0.34,1.218,28.16,21.51,06
2007,5.171,1.42,0.39,1.571,31.21,22.26,06
2008,6.38,1.87,0.43,1.946,37.06,26.99,06
2009,6.496,1.62,0.5,1.769,28.13,15.15,06
2010,6.999,2.1,0.52,2.475,31.39,22.39,06
2011,8.14,2.69,0.61,2.867,28.87,23.16,06
2012,8.667,2,0.76,3.447,32.85,23.98,06
2013,9.191,2.58,0.89,2.902,35.67,26.37,06
2014,10.338,2.63,1.07,3.217,42.25,31.15,06
2015,11.338,1.48,1.21,2.874,49.61,40.29,06
2016,11.376,2.56,1.39,3.118,56.55,40.47,06
2017,12.33,3.25,1.53,4.006,72.52,51.16,06
2018,14.16,2.13,1.65,4.138,102.49,68.17,06
2019,16.232,5.06,1.8,4.935,137.78,94.13,06
2020,18.614,5.76,1.99,5.888,203.51,132.21,06
2021,22.094,8.05,2.19,7.376,271.4,200.39,06
2022,26.296,9.65,2.42,8.64,343.11,242.26,06
2023,28.361,9.68,2.66,7.96,348.1,214.25,06
2024,32.819,11.8,2.93,9.917,452.85,312.14,06
