ExDate,Dividend,RecordDate,PayDate,DividendType,Currency
2024-10-31,1.36,2024-10-31,2024-11-12,Cash Div.,USD
2024-07-31,1.3,2024-07-31,2024-08-13,Cash Div.,USD
2024-05-07,1.3,2024-05-08,2024-05-21,Cash Div.,USD
2024-01-30,1.3,2024-01-31,2024-02-13,Cash Div.,USD
2023-10-30,1.3,2023-10-31,2023-11-14,Cash Div.,USD
2023-07-28,1.24,2023-07-31,2023-08-15,Cash Div.,USD
2023-05-05,1.24,2023-05-08,2023-05-16,Cash Div.,USD
2023-01-30,1.24,2023-01-31,2023-02-14,Cash Div.,USD
2022-10-28,1.24,2022-10-31,2022-11-15,Cash Div.,USD
2022-07-29,1.15,2022-08-01,2022-08-16,Cash Div.,USD
2022-05-06,1.15,2022-05-09,2022-05-17,Cash Div.,USD
2022-01-28,1.15,2022-01-31,2022-02-07,Cash Div.,USD
2021-10-29,1.15,2021-11-01,2021-11-15,Cash Div.,USD
2021-07-23,1.02,2021-07-26,2021-08-09,Cash Div.,USD
2021-04-30,1.02,2021-05-03,2021-05-17,Cash Div.,USD
2021-01-29,1.02,2021-02-01,2021-02-08,Cash Div.,USD
2020-10-29,1.02,2020-10-30,2020-11-16,Cash Div.,USD
2020-07-30,0.9,2020-07-31,2020-08-17,Cash Div.,USD
2020-05-01,0.9,2020-05-04,2020-05-18,Cash Div.,USD
2020-01-30,0.9,2020-01-31,2020-02-10,Cash Div.,USD
2019-10-30,0.9,2019-10-31,2019-11-18,Cash Div.,USD
2019-07-30,0.77,2019-07-31,2019-08-12,Cash Div.,USD
2019-05-03,0.77,2019-05-06,2019-05-20,Cash Div.,USD
2019-01-30,0.77,2019-01-31,2019-02-11,Cash Div.,USD
2018-10-30,0.77,2018-10-31,2018-11-19,Cash Div.,USD
2018-07-30,0.62,2018-07-31,2018-08-13,Cash Div.,USD
2018-05-04,0.62,2018-05-07,2018-05-21,Cash Div.,USD
2018-01-30,0.62,2018-01-31,2018-02-12,Cash Div.,USD
2017-10-30,0.62,2017-10-31,2017-11-13,Cash Div.,USD
2017-07-27,0.5,2017-07-31,2017-08-14,Cash Div.,USD
2017-04-27,0.5,2017-05-01,2017-05-15,Cash Div.,USD
2017-01-27,0.5,2017-01-31,2017-02-13,Cash Div.,USD
2016-11-03,0.5,2016-11-07,2016-11-21,Cash Div.,USD
2016-07-28,0.38,2016-08-01,2016-08-15,Cash Div.,USD
2016-04-28,0.38,2016-05-02,2016-05-16,Cash Div.,USD
2016-01-28,0.38,2016-02-01,2016-02-08,Cash Div.,USD
2015-10-28,0.38,2015-10-30,2015-11-16,Cash Div.,USD
2015-07-29,0.34,2015-07-31,2015-08-17,Cash Div.,USD
