FiscalYear,Revenue,FreeCashFlow,CashEquivalents,MarketSecurities,TreasuryStock,CashForDividends,StockIssuance,StockRepurchase
1984,5741.6,0.0,274.4,0.0,0.0,0.0,0.0,0.0
1985,4924.5,0.0,158.8,0.0,0.0,0.0,0.0,0.0
1986,4974.0,0.0,214.4,0.0,0.0,0.0,0.0,0.0
1987,5594.5,0.0,662.6,0.0,0.0,0.0,0.0,0.0
1988,6294.8,0.0,780.4,0.0,0.0,0.0,0.0,0.0
1989,6521.9,-64.0,418.2,0.0,0.0,-97.3,46.8,0.0
1990,6567.0,-215.0,403.0,0.0,0.0,-94.0,8.0,0.0
1991,6784.0,-87.0,452.0,0.0,0.0,-90.0,325.0,-225.0
1992,7440.0,372.0,356.0,0.0,0.0,-98.0,25.0,-146.0
1993,8523.0,204.0,404.0,484.0,-5.0,-86.0,100.0,-150.0
1994,8608.0,512.0,760.0,530.0,-6.0,-79.0,110.0,0.0
1995,11409.0,316.0,1364.0,189.0,-12.0,-111.0,111.0,0.0
1996,9940.0,-1179.0,964.0,14.0,-12.0,-129.0,35.0,0.0
1997,9972.0,659.0,1015.0,2005.0,-94.0,-131.0,151.0,-86.0
1998,8875.0,319.0,632.0,1709.0,-134.0,-133.0,154.0,-256.0
1999,9759.0,959.0,781.0,2045.0,-109.0,-134.0,225.0,-473.0
2000,11875.0,-577.0,745.0,3258.0,-93.0,-141.0,242.0,-155.0
2001,8201.0,29.0,431.0,2513.0,-235.0,-147.0,183.0,-395.0
2002,8383.0,1190.0,949.0,2063.0,-229.0,-147.0,167.0,-370.0
2003,9834.0,1351.0,1818.0,2511.0,-135.0,-147.0,157.0,-284.0
2004,11552.0,1886.0,2668.0,3690.0,-480.0,-154.0,192.0,-753.0
2005,12335.0,2484.0,1214.0,4116.0,-3856.0,-173.0,461.0,-4151.0
2006,14255.0,1188.0,1183.0,2534.0,-8430.0,-199.0,419.0,-5302.0
2007,13835.0,3720.0,1328.0,1596.0,-12160.0,-425.0,761.0,-4886.0
2008,12501.0,2567.0,1046.0,1494.0,-13814.0,-537.0,210.0,-2122.0
2009,10427.0,1890.0,1182.0,1743.0,-14549.0,-567.0,109.0,-954.0
2010,13966.0,2621.0,1319.0,1753.0,-16411.0,-592.0,407.0,-2454.0
2011,13735.0,2440.0,992.0,1943.0,-17485.0,-644.0,690.0,-1973.0
2012,12825.0,2919.0,1416.0,2549.0,-18462.0,-819.0,523.0,-1800.0
2013,12205.0,2972.0,1627.0,2202.0,-19790.0,-1175.0,1314.0,-2868.0
2014,13045.0,3669.0,1199.0,2342.0,-21840.0,-1323.0,554.0,-2831.0
2015,13000.0,3846.0,1000.0,2218.0,-24068.0,-1444.0,396.0,-2741.0
2016,13370.0,4083.0,1154.0,2336.0,-25523.0,-1646.0,472.0,-2132.0
2017,14961.0,4668.0,1656.0,2813.0,-27458.0,-2104.0,483.0,-2556.0
2018,15784.0,6058.0,2438.0,1795.0,-32130.0,-2555.0,373.0,-5100.0
2019,14383.0,5802.0,2437.0,2950.0,-34495.0,-3008.0,539.0,-2960.0
2020,14461.0,5490.0,3107.0,3461.0,-36578.0,-3426.0,470.0,-2553.0
2021,18344.0,6294.0,4631.0,5108.0,-36800.0,-3886.0,377.0,-527.0
2022,20028.0,5923.0,3050.0,6017.0,-40214.0,-4297.0,241.0,-3615.0
2023,17519.0,1349.0,2964.0,5611.0,-40284.0,-4557.0,263.0,-293.0
