FiscalYear,PerShareRevenue,PerShareEarnings,PerShareFcf,PerShareDividends,StockPriceHigh,StockPriceLow
1984,5.087,0.28,0.0,0.0,3.09,2.33
1985,4.149,-0.1,0.0,0.011,2.74,1.82
1986,5.254,0.03,0.0,0.042,3.05,2.15
1987,4.398,0.19,0.0,0.044,4.96,2.27
1988,4.872,0.26,0.0,0.045,3.65,2.18
1989,4.898,0.19,-0.048,0.045,2.87,1.84
1990,5.254,-0.06,-0.172,0.045,2.71,1.46
1991,5.207,-0.34,-0.067,0.045,2.91,1.64
1992,5.669,0.16,0.283,0.045,3.23,1.97
1993,5.691,0.318,0.136,0.045,5.27,2.88
1994,5.637,0.45,0.335,0.058,5.54,3.88
1995,7.365,0.7,0.204,0.08,10.28,4.31
1996,6.55,0.05,-0.777,0.085,8.38,5.27
1997,6.268,1.13,0.414,0.085,17.63,7.81
1998,5.007,0.255,0.18,0.064,22.27,10.42
1999,5.582,0.83,0.549,0.085,54.75,21.63
2000,6.64,1.71,-0.323,0.085,93.81,36.88
2001,4.896,-0.12,0.017,0.085,52.06,21.73
2002,4.874,-0.2,0.692,0.085,35.94,13.23
2003,4.925,0.6,0.677,0.085,30.92,14.15
2004,6.534,1.05,1.067,0.089,33.65,18.4
2005,7.382,1.39,1.487,0.105,34.11,20.77
2006,9.138,2.78,0.762,0.13,35.56,27.0
2007,9.568,1.84,2.573,0.3,39.18,28.32
2008,9.463,1.44,1.943,0.41,32.7,14.01
2009,8.217,1.15,1.489,0.45,26.85,13.77
2010,11.514,2.62,2.161,0.49,33.75,22.5
2011,11.729,1.88,2.084,0.56,36.56,24.82
2012,11.191,1.51,2.547,0.72,33.99,26.43
2013,10.966,1.91,2.67,1.07,43.91,31.55
2014,12.079,2.57,3.397,1.24,55.62,40.89
2015,12.464,2.82,3.687,1.4,59.94,43.52
2016,13.095,3.48,3.999,1.64,74.87,48.03
2017,14.784,3.61,4.613,2.12,104.82,72.92
2018,15.943,5.59,6.119,2.63,119.89,87.8
2019,15.108,5.24,6.095,3.21,131.69,88.88
2020,15.499,5.97,5.884,3.72,166.68,93.5
2021,19.598,8.26,6.724,4.21,201.29,162.11
2022,21.629,9.41,6.396,4.69,191.01,148.34
2023,19.126,7.07,1.473,5.02,186.08,140.5
