fiscal_year,revenue,gross_profit,sga,rnd,operating_income,taxes_paid,net_income,cash_equivalents,market_securities,current_assets,long_assets,short_debt,current_liabilities,long_debt,long_liabilities,treasury_stock,shares_outstanding_diluted,shares_outstanding_eop,cash_from_ops,cash_for_dividends,capex,free_cash_flow,stock_issues,stock_buyback,debt_paid,debt_issued,fiscal_month
1985,4924.5,1369.2,944.9,0,-91.6,-3.7,-118.7,158.8,0,1530.7,1545.4,29.6,1128.9,381.9,519.5,0,1187,1209.28,0,0,0,0,0,0,0,0,12
1986,4974,1364.8,836.7,0,101.9,-58.8,39.9,214.4,0,1781.4,1555.3,79.4,1113.1,191.4,496.6,0,946.667,1228.78,0,0,0,0,0,0,0,0,12
1987,5594.5,1591.7,994.2,0,217.4,-157.8,256.9,662.6,0,2562.8,1693.5,63.3,1246.7,486.5,1284,0,1272.105,1257.89,0,0,0,0,0,0,0,0,12
1988,6294.8,1867,1109.2,0,368,-150.1,366.3,780.4,0,2548.6,1878.9,22.9,1199.4,623.8,1505.3,0,1291.923,1290.34,0,0,0,0,0,0,0,0,12
1989,6521.9,1885.9,1112.8,0,319.4,-63.1,291.7,418.2,0,2446.4,2358,42.7,1302.8,617.5,1016.7,0,1331.579,1304.06,798.5,-97.3,-862.5,-64,46.8,0,0,4.8,12
1990,6567,1781,1266,0,-26,-18,-39,403,0,2305,2743,35,1479,715,1211,0,1250,1308.45,694,-94,-909,-215,8,0,0,80,12
1991,6784,1712,1371,0,-249,-105,-409,452,0,2381,2628,30,1568,896,1486,0,1302.941,1314.14,417,-90,-504,-87,325,-225,0,183,12
1992,7440,2330,1300,0,420,-122,247,356,0,2626,2559,54,1665,909,1573,0,1312.5,1321.58,801,-98,-429,372,25,-146,0,64,12
1993,8523,2249,1521,0,728,-220,472,404,484,3314,2679,211,2001,694,1677,-5,1497.696,1453.07,934,-86,-730,204,100,-150,-38,0,12
1994,8608,2883,1379,578,926,-295,691,760,530,4017,2972,12,2199,808,1751,-6,1526.992,1482.93,1532,-79,-1020,512,110,0,-88,0,12
