fiscal_year,pershare_revenue,pershare_earnings,pershare_dividends,pershare_fcf,pershare_high_price,pershare_low_price,fiscal_month
1985,4.149,-0.1,0.011,0,2.74,1.82,12
1986,5.254,0.03,0.042,0,3.05,2.15,12
1987,4.398,0.19,0.044,0,4.96,2.27,12
1988,4.872,0.26,0.045,0,3.65,2.18,12
1989,4.898,0.19,0.045,-0.048,2.87,1.84,12
1990,5.254,-0.06,0.045,-0.172,2.71,1.46,12
1991,5.207,-0.34,0.045,-0.067,2.91,1.64,12
1992,5.669,0.16,0.045,0.283,3.23,1.97,12
1993,5.691,0.318,0.045,0.136,5.27,2.88,12
1994,5.637,0.45,0.058,0.335,5.54,3.88,12
1995,7.365,0.7,0.08,0.204,10.28,4.31,12
1996,6.55,0.05,0.085,-0.777,8.38,5.27,12
1997,6.268,1.13,0.085,0.414,17.63,7.81,12
1998,5.007,0.255,0.064,0.18,22.27,10.42,12
1999,5.582,0.83,0.085,0.549,54.75,21.63,12
2000,6.64,1.71,0.085,-0.323,93.81,36.88,12
2001,4.896,-0.12,0.085,0.017,52.06,21.73,12
2002,4.874,-0.2,0.085,0.692,35.94,13.23,12
2003,4.925,0.6,0.085,0.677,30.92,14.15,12
2004,6.534,1.05,0.089,1.067,33.65,18.4,12
2005,7.382,1.39,0.105,1.487,34.11,20.77,12
2006,9.138,2.78,0.13,0.762,35.56,27,12
2007,9.568,1.84,0.3,2.573,39.18,28.32,12
2008,9.463,1.44,0.41,1.943,32.7,14.01,12
2009,8.217,1.15,0.45,1.489,26.85,13.77,12
2010,11.514,2.62,0.49,2.161,33.75,22.5,12
2011,11.729,1.88,0.56,2.084,36.56,24.82,12
2012,11.191,1.51,0.72,2.547,33.99,26.43,12
2013,10.966,1.91,1.07,2.67,43.91,31.55,12
2014,12.079,2.57,1.24,3.397,55.62,40.89,12
2015,12.464,2.82,1.4,3.687,59.94,43.52,12
2016,13.095,3.48,1.64,3.999,74.87,48.03,12
2017,14.784,3.61,2.12,4.613,104.82,72.92,12
2018,15.943,5.59,2.63,6.119,119.89,87.8,12
2019,15.108,5.24,3.21,6.095,131.69,88.88,12
2020,15.499,5.97,3.72,5.884,166.68,93.5,12
2021,19.598,8.26,4.21,6.724,201.29,162.11,12
2022,21.629,9.41,4.69,6.396,191.01,148.34,12
2023,19.126,7.07,5.02,1.473,186.08,140.5,12
2024,17.02,5.2,5.26,1.63,220.29,156.85,12
