dividend_amount,ex_date,record_date,pay_date,dividend_type,currency
1.64,2025-02-18,2025-02-18,2025-03-06,regular,USD
1.63,2024-11-18,2024-11-18,2024-12-05,regular,USD
1.63,2024-08-19,2024-08-19,2024-09-05,regular,USD
1.63,2024-05-10,2024-05-13,2024-05-30,regular,USD
1.63,2024-02-16,2024-02-20,2024-03-08,regular,USD
1.62,2023-11-10,2023-11-13,2023-11-30,regular,USD
1.62,2023-08-11,2023-08-14,2023-08-31,regular,USD
1.62,2023-05-12,2023-05-15,2023-06-01,regular,USD
1.62,2023-02-17,2023-02-21,2023-03-10,regular,USD
1.52,2022-11-10,2022-11-14,2022-12-01,regular,USD
1.52,2022-08-12,2022-08-15,2022-09-01,regular,USD
1.52,2022-05-13,2022-05-16,2022-06-02,regular,USD
1.52,2022-02-18,2022-02-22,2022-03-10,regular,USD
1.02,2021-11-19,2021-11-22,2021-12-08,regular,USD
1.02,2021-08-20,2021-08-23,2021-09-09,regular,USD
1.02,2021-05-21,2021-05-24,2021-06-09,regular,USD
1.02,2021-02-19,2021-02-22,2021-03-10,regular,USD
1.01,2020-11-12,2020-11-13,2020-12-03,regular,USD
1.01,2020-08-21,2020-08-24,2020-09-09,regular,USD
1.01,2020-05-22,2020-05-26,2020-06-10,regular,USD
1.01,2020-02-24,2020-02-25,2020-03-10,regular,USD
0.96,2019-11-15,2019-11-18,2019-12-04,regular,USD
0.96,2019-08-16,2019-08-19,2019-09-04,regular,USD
0.96,2019-05-17,2019-05-20,2019-06-05,regular,USD
0.96,2019-02-25,2019-02-26,2019-03-12,regular,USD
0.91,2018-11-16,2018-11-19,2018-12-05,regular,USD
0.91,2018-08-17,2018-08-20,2018-09-05,regular,USD
0.91,2018-05-18,2018-05-21,2018-06-06,regular,USD
0.91,2018-02-16,2018-02-20,2018-03-07,regular,USD
0.83,2017-11-10,2017-11-13,2017-11-29,regular,USD
0.83,2017-08-10,2017-08-14,2017-08-30,regular,USD
0.83,2017-05-11,2017-05-15,2017-05-31,regular,USD
0.83,2017-02-16,2017-02-21,2017-03-08,regular,USD
0.78,2016-11-09,2016-11-14,2016-11-30,regular,USD
0.78,2016-08-12,2016-08-16,2016-08-31,regular,USD
0.78,2016-05-12,2016-05-16,2016-06-01,regular,USD
0.78,2016-02-18,2016-02-22,2016-03-09,regular,USD
0.73,2015-11-12,2015-11-16,2015-12-02,regular,USD
0.73,2015-08-13,2015-08-17,2015-09-01,regular,USD
0.73,2015-05-14,2015-05-18,2015-06-03,regular,USD
0.73,2015-02-19,2015-02-23,2015-03-10,regular,USD
0.67,2014-11-13,2014-11-17,2014-12-03,regular,USD
0.67,2014-08-14,2014-08-18,2014-09-03,regular,USD
0.67,2014-05-15,2014-05-19,2014-06-04,regular,USD
0.67,2014-02-20,2014-02-24,2014-03-11,regular,USD
0.62,2013-11-14,2013-11-18,2013-12-04,regular,USD
0.62,2013-08-15,2013-08-19,2013-09-04,regular,USD
0.62,2013-05-09,2013-05-13,2013-05-29,regular,USD
0.62,2013-02-21,2013-02-25,2013-03-12,regular,USD
0.57,2012-11-15,2012-11-19,2012-12-05,regular,USD
0.57,2012-08-16,2012-08-20,2012-09-05,regular,USD
0.57,2012-05-10,2012-05-14,2012-05-30,regular,USD
