fiscal_year,revenue,gross_profit,sga,rnd,operating_income,taxes_paid,net_income,cash_equivalents,market_securities,current_assets,long_assets,short_debt,current_liabilities,long_debt,long_liabilities,treasury_stock,shares_outstanding_diluted,shares_outstanding_eop,cash_from_ops,cash_for_dividends,capex,free_cash_flow,stock_issues,stock_buyback,debt_paid,debt_issued,fiscal_month
1998,24788,18548,14346,0,-3150,-1161,1741,1240,389,5425,11642,410,3717,2191,6177,-425,1108.917,1108.917,2917,-466,-1645,1272,785,-823,-310,287,12
1999,27052,20412,15285,0,-2735,-1205,883,4204,0,10192,12836,512,4198,1912,6356,0,1146.753,1101.296,2259,-672,-1476,783,5951,-1232,-679,502,12
2000,29498,21958,16546,0,-3028,-1900,2934,879,1073,7124,14538,623,4501,2981,7426,0,1173.6,1134.693,2804,-786,-2147,657,88,-5465,-1168,2297,12
2001,30321,22755,17397,0,3962,-1512,2399,858,758,7597,17039,518,4786,4648,9602,-47,1142.381,1119.691,4530,-856,-2372,2158,228,-2019,-1089,2312,12
2002,31272,23606,17940,0,3179,-1755,3182,2211,803,8738,17619,1107,5555,3495,8347,-84,1132.384,1122,5688,-840,-1658,4030,116,-604,-1099,419,12
2003,33485,25245,19251,0,-3823,-1472,2898,1064,2888,9959,19775,674,5624,3149,9258,-136,1136.471,1129,4576,-956,-1947,2629,154,-398,-1245,361,12
2004,36582,25905,20916,0,-5688,-1589,3333,739,4458,12605,20421,1187,6483,3261,10159,-169,1137.543,1126,5331,-1208,-2127,3204,193,-1310,-468,811,12
2005,42581,30304,22517,0,6143,-2205,3870,1369,1672,10728,24219,821,6518,3159,11545,-161,1115.274,1097,5793,-1391,-2187,3606,164,-2479,-589,128,12
2006,47547,38241,29858,0,6635,-2308,4202,794,1189,9377,23833,983,6719,3133,11009,-147,1089,1070,5589,-1577,-3085,2504,164,-2460,-603,649,12
2007,49692,39659,37336,0,578,-49,382,2027,577,11760,27282,3512,9840,7506,17019,-137,1063,1041,1123,-1703,-2820,-1697,174,-2639,-198,6707,12
2008,51486,39608,32412,0,5382,-2012,3003,507,542,8845,23034,2074,7817,7797,17282,-121,1022,995.439,8426,-2219,-2636,5790,169,-3570,-4534,3613,12
2009,45297,36478,30930,0,3801,-1214,2152,1542,558,9275,22608,853,6239,8668,17948,-108,1004,996,5285,-1751,-1602,3683,149,-561,-3682,3160,12
2010,49545,9514,31136,0,5641,-1952,3338,3370,711,11569,22028,355,5902,10491,19648,-103,1003,991,3835,-1818,-1389,2446,218,-817,-949,2195,12
2011,53105,10241,27575,0,6080,-1972,3804,3034,1241,12284,22417,33,6514,11095,21079,-88,991,963,7073,-1997,-2005,5068,290,-2665,-374,279,12
2012,54127,5593,0,0,1343,-167,807,7327,597,15591,23272,1781,8390,11089,25740,-78,969,953,7216,-2130,-2153,5063,301,-1621,-16,1745,12
2013,55438,11311,0,0,7034,-2302,4372,4665,580,13387,22825,48,7131,10824,22593,-69,948,923,7304,-2260,-2065,5239,491,-3838,-1875,100,12
2014,58232,9506,0,0,4968,-1605,3032,2291,992,11218,24222,923,8621,9856,24661,-59,924,905,5726,-2366,-2328,3398,274,-2695,-1694,1525,12
2015,58363,12304,0,0,7668,-2498,4844,2730,1996,13208,25103,3018,10696,11316,25124,-51,906,886,7430,-2525,-2379,5051,249,-2702,-2724,6312,12
2016,61610,12307,0,0,7688,-1699,3422,3476,1091,13849,26528,3681,11730,12394,28218,-45,887,868.36,6473,-2643,-2965,3508,245,-2678,-3893,5927,12
2017,66585,12584,0,0,7529,-2232,4905,3320,749,15718,29856,4011,12886,20278,31664,-37,875,859,1479,-2771,-5227,-3748,247,-1813,-4189,12016,12
2018,71861,12489,0,0,7024,-1228,4791,4225,810,16210,33806,2665,14087,19537,32892,-32,870,858,12711,-3011,-6283,6428,240,-1011,-2887,1265,12
2019,74094,13717,0,0,7798,-1212,4440,5238,503,17103,40754,3239,15413,21501,39161,-26,869,857,8639,-3194,-6380,2259,218,-1004,-3096,5515,12
2020,84628,15284,0,0,7684,-501,1343,5910,406,20216,42192,2567,17016,21745,44723,-20,871,864.6,10459,-3374,-5412,5047,285,-224,-5854,5003,12
2021,97287,20280,0,0,12810,-3705,12890,10255,338,24934,44471,2002,17569,19505,37567,-16,878,869.7,15007,-3437,-4194,10813,251,-500,-2773,0,12
2022,100338,21009,0,0,13094,-3277,11548,5602,1993,22217,48907,2341,18140,17321,33181,-13,875,858.8,14104,-5114,-4769,9335,262,-3500,-2304,0,12
2023,90958,17231,0,0,9141,-1865,6708,3206,2866,19413,51444,3348,17676,18916,35867,-9,860,853.617,10238,-5372,-5158,5080,248,-2250,-2429,4701,12
2024,91070,16356,0,0,8468,-1660,5782,6112,206,19310,50760,1838,16441,19446,36886,-7,856,853.37,10122,-5399,-3909,6213,232,-500,-3759,2785,12
