fiscal_year,pershare_revenue,pershare_earnings,pershare_dividends,pershare_fcf,pershare_high_price,pershare_low_price,fiscal_month
1998,22.353,1.57,0,1.147,0,0,12
1999,23.59,0.77,0.3,0.683,73.5,63.13,12
2000,25.135,2.5,0.68,0.56,69.06,50.06,12
2001,26.542,2.1,0.76,1.889,61.9,47.95,12
2002,27.616,2.81,0.76,3.559,67,54.46,12
2003,29.464,2.55,0.92,2.313,74.81,53.18,12
2004,32.159,2.93,1.12,2.817,87.53,67.98,12
2005,38.18,3.47,1.32,3.233,85,66.86,12
2006,43.661,3.86,1.52,2.299,83.35,65.92,12
2007,46.747,0.36,1.68,-1.596,78.37,69.26,12
2008,50.378,2.94,1.8,5.665,74.73,44.68,12
2009,45.117,2.14,1.8,3.668,59.29,38.3,12
2010,49.397,3.33,1.88,2.439,73.76,56.15,12
2011,53.587,3.84,2.08,5.114,76.47,61.7,12
2012,55.859,0.83,2.28,5.225,81.11,70.02,12
2013,58.479,4.61,2.48,5.526,105.08,76.14,12
2014,63.022,3.28,2.68,3.677,112.45,93.62,12
2015,64.418,5.35,2.92,5.575,114.25,94.46,12
2016,69.459,3.86,3.12,3.955,120.16,88.7,12
2017,76.097,5.61,3.32,-4.283,123.72,102.87,12
2018,82.599,5.51,3.64,7.389,134.09,89.89,12
2019,85.264,5.11,3.84,2.6,124.3,92.92,12
2020,97.162,1.54,4.04,5.794,176.54,86.17,12
2021,110.805,14.68,4.08,12.315,218.07,155,12
2022,114.672,13.2,6.08,10.669,232.11,159.14,12
2023,105.765,7.8,6.48,5.907,196.03,134.83,12
2024,106.39,6.75,6.52,7.258,161.22,122.65,12
