dividend_amount,ex_date,record_date,pay_date,dividend_type,currency
0.6775,2025-01-10,2025-01-10,2025-02-03,regular,USD
0.6775,2024-10-10,2024-10-10,2024-11-01,regular,USD
0.665,2024-07-10,2024-07-10,2024-08-01,regular,USD
0.665,2024-04-09,2024-04-10,2024-05-01,regular,USD
0.665,2024-01-09,2024-01-10,2024-02-01,regular,USD
0.665,2023-10-06,2023-10-10,2023-11-01,regular,USD
0.6525,2023-07-07,2023-07-10,2023-08-01,regular,USD
0.6525,2023-04-06,2023-04-10,2023-05-01,regular,USD
0.6525,2023-01-09,2023-01-10,2023-02-01,regular,USD
0.6525,2022-10-06,2022-10-07,2022-11-01,regular,USD
0.64,2022-07-07,2022-07-08,2022-08-01,regular,USD
0.64,2022-04-07,2022-04-08,2022-05-02,regular,USD
0.64,2022-01-07,2022-01-10,2022-02-01,regular,USD
0.64,2021-10-07,2021-10-08,2021-11-01,regular,USD
0.6275,2021-07-08,2021-07-09,2021-08-02,regular,USD
0.6275,2021-04-08,2021-04-09,2021-05-03,regular,USD
0.6275,2021-01-07,2021-01-08,2021-02-01,regular,USD
0.6275,2020-10-08,2020-10-09,2020-11-02,regular,USD
0.615,2020-07-09,2020-07-10,2020-08-03,regular,USD
0.615,2020-04-09,2020-04-13,2020-05-01,regular,USD
0.615,2020-01-09,2020-01-10,2020-02-03,regular,USD
0.615,2019-10-09,2019-10-10,2019-11-01,regular,USD
0.6025,2019-07-09,2019-07-10,2019-08-01,regular,USD
0.6025,2019-04-09,2019-04-10,2019-05-01,regular,USD
0.6025,2019-01-09,2019-01-10,2019-02-01,regular,USD
0.6025,2018-10-09,2018-10-10,2018-11-01,regular,USD
0.59,2018-07-09,2018-07-10,2018-08-01,regular,USD
0.59,2018-04-09,2018-04-10,2018-05-01,regular,USD
0.59,2018-01-09,2018-01-10,2018-02-01,regular,USD
0.59,2017-10-06,2017-10-10,2017-11-01,regular,USD
0.5775,2017-07-06,2017-07-10,2017-08-01,regular,USD
0.5775,2017-04-06,2017-04-10,2017-05-01,regular,USD
0.5775,2017-01-06,2017-01-10,2017-02-01,regular,USD
0.5775,2016-10-05,2016-10-07,2016-11-01,regular,USD
0.565,2016-07-06,2016-07-08,2016-08-01,regular,USD
0.565,2016-04-06,2016-04-08,2016-05-02,regular,USD
0.565,2016-01-06,2016-01-08,2016-02-01,regular,USD
0.565,2015-10-07,2015-10-09,2015-11-02,regular,USD
0.55,2015-07-08,2015-07-10,2015-08-03,regular,USD
0.55,2015-04-08,2015-04-10,2015-05-01,regular,USD
0.55,2015-01-07,2015-01-09,2015-02-02,regular,USD
0.55,2014-10-08,2014-10-10,2014-11-03,regular,USD
0.53,2014-07-08,2014-07-10,2014-08-01,regular,USD
0.53,2014-04-08,2014-04-10,2014-05-01,regular,USD
0.53,2014-01-08,2014-01-10,2014-02-03,regular,USD
0.53,2013-10-08,2013-10-10,2013-11-01,regular,USD
0.515,2013-07-08,2013-07-10,2013-08-01,regular,USD
0.515,2013-04-08,2013-04-10,2013-05-01,regular,USD
0.515,2013-01-08,2013-01-10,2013-02-01,regular,USD
0.515,2012-10-05,2012-10-10,2012-11-01,regular,USD
0.5,2012-07-06,2012-07-10,2012-08-01,regular,USD
0.5,2012-04-05,2012-04-10,2012-05-01,regular,USD
0.5,2012-01-06,2012-01-10,2012-02-01,regular,USD
0.5,2011-10-05,2011-10-07,2011-11-01,regular,USD
0.4875,2011-07-06,2011-07-08,2011-08-01,regular,USD
0.4875,2011-04-06,2011-04-08,2011-05-02,regular,USD
0.4875,2011-01-06,2011-01-10,2011-02-01,regular,USD
0.4875,2010-10-06,2010-10-08,2010-11-01,regular,USD
0.475,2010-07-07,2010-07-09,2010-08-02,regular,USD
0.475,2010-04-07,2010-04-09,2010-05-03,regular,USD
0.475,2010-01-06,2010-01-08,2010-02-01,regular,USD
0.475,2009-10-07,2009-10-09,2009-11-02,regular,USD
0.46,2009-07-08,2009-07-10,2009-08-03,regular,USD
0.46,2009-04-07,2009-04-09,2009-05-01,regular,USD
0.46,2009-01-07,2009-01-09,2009-02-02,regular,USD
0.46,2008-10-08,2008-10-10,2008-11-03,regular,USD
0.43,2008-07-08,2008-07-10,2008-08-01,regular,USD
0.43,2008-04-08,2008-04-10,2008-05-01,regular,USD
0.43,2008-01-08,2008-01-10,2008-02-01,regular,USD
0.43,2007-10-05,2007-10-10,2007-11-01,regular,USD
0.405,2007-07-06,2007-07-10,2007-08-01,regular,USD
