fiscal_year,revenue,gross_profit,sga,rnd,operating_income,taxes_paid,net_income,cash_equivalents,market_securities,current_assets,long_assets,short_debt,current_liabilities,long_debt,long_liabilities,treasury_stock,shares_outstanding_diluted,shares_outstanding_eop,cash_from_ops,cash_for_dividends,capex,free_cash_flow,stock_issues,stock_buyback,debt_paid,debt_issued,fiscal_month
1985,9084.2,3808.4,0,0,2324.5,-810.4,1092.9,239.3,0,2683.7,17104.7,635.3,2831.9,4890.5,9035.2,0,797.737,798.984,0,0,0,0,0,0,0,0,12
1986,9920.8,4390.5,0,0,2463.9,-904.5,1167.1,213.3,0,2755.6,18335.3,1086.7,3593.8,4957.3,9176.4,0,793.946,798.984,0,0,0,0,0,0,0,0,12
1987,10298.4,4463,0,0,2346.1,-714,1240.4,228.7,0,2796.6,18448.5,659,3183.8,5199.2,9319.4,0,795.128,792.372,0,0,0,0,0,0,0,0,12
1988,10880.1,4598.5,0,0,2244.5,-530,1316.8,301.6,0,3206.4,21522.8,1588.8,4265.2,6557.2,11287.3,0,788.503,788.06,0,0,0,0,0,0,0,0,12
1989,11448.6,7709.5,3276.8,0,2012.8,-471,1074.5,164.2,0,3768.9,22450.8,1731.2,5053,7720.6,12576.1,0,790.074,788.908,3891.9,-856.4,-2584.3,1307.6,370.5,-380.3,0,444.9,12
1990,12298,8536.9,3550.1,0,2609.6,-669.6,1312.5,94.7,0,3827.6,24170.9,2597,5965,8171.1,13103.5,0,776.627,786.382,3535.1,-911.8,-2521.9,1013.2,28,-103,0,1120.9,12
1991,12279.7,8343.1,3519,0,2525.4,-664.8,1331.6,130.6,0,3849.4,24032.2,2014.3,5175.2,7959.5,14875.1,0,778.713,792.102,3755.6,-976.2,-2459,1296.6,112.7,-15.3,-606.6,0,12
1992,12647,8705.5,3781.9,0,2506.2,-643.5,1340.6,296,0,3991.3,24108.2,2703.5,5872.2,7348.2,14411,0,853.885,867.938,3929.7,-1069.7,-2488.1,1441.6,122.1,-0.1,0,165.6,12
1993,12990.2,8962.6,3619.9,0,2797.6,-792,1403.4,146.1,0,3870.8,25673.4,2677.3,6123.9,7206.2,15195.9,0,868.647,872.444,4234,-1156.5,-2517.4,1716.6,33.7,0,-324.8,0,12
1994,13791.4,9789.8,4333.1,0,2804.6,-884.9,-754.8,142.9,0,3783.3,20488.5,2087.6,5576.7,6805.7,12528.8,-11,876.803,872.372,3752.6,-1195.1,-2648.3,1104.3,6.9,-8.7,-1009.1,0,12
