date,share_price
1983-11-21,7.87
1983-11-22,7.85
1983-11-23,7.8
1983-11-25,7.72
1983-11-28,7.51
1983-11-29,7.43
1983-11-30,7.43
1983-12-01,7.44
1983-12-02,7.41
1983-12-05,7.33
1983-12-06,7.36
1983-12-07,7.43
1983-12-08,7.44
1983-12-09,7.45
1983-12-12,7.47
1983-12-13,7.58
1983-12-14,7.61
1983-12-15,7.55
1983-12-16,7.59
1983-12-19,7.57
1983-12-20,7.52
1983-12-21,7.48
1983-12-22,7.38
1983-12-23,7.34
1983-12-27,7.3
1983-12-28,7.36
1983-12-29,7.34
1983-12-30,7.31
1984-01-03,7.52
1984-01-04,7.75
1984-01-05,7.82
1984-01-06,7.96
1984-01-09,7.86
1984-01-10,7.89
1984-01-11,7.9
1984-01-12,7.96
1984-01-13,8.01
1984-01-16,8.08
1984-01-17,8.15
1984-01-18,8.18
1984-01-19,8.18
1984-01-20,8.24
1984-01-23,8.2
1984-01-24,8.18
1984-01-25,8.2
1984-01-26,8.15
1984-01-27,8.27
1984-01-30,8.24
1984-01-31,8.28
1984-02-01,8.31
1984-02-02,8.38
1984-02-03,8.25
1984-02-06,8.21
1984-02-07,8.2
1984-02-08,7.9
1984-02-09,7.92
1984-02-10,7.87
1984-02-13,7.86
1984-02-14,7.96
1984-02-15,8.01
1984-02-16,8.13
1984-02-17,8.13
1984-02-21,8.04
1984-02-22,7.94
1984-02-23,7.86
1984-02-24,7.97
1984-02-27,7.94
1984-02-28,7.8
1984-02-29,7.93
1984-03-01,8.06
1984-03-02,8.17
1984-03-05,8.01
1984-03-06,8.03
1984-03-07,8.0
1984-03-08,7.99
1984-03-09,7.92
1984-03-12,7.92
1984-03-13,7.93
1984-03-14,7.94
1984-03-15,7.93
1984-03-16,8.03
1984-03-19,7.94
1984-03-20,8.0
1984-03-21,7.97
1984-03-22,7.96
1984-03-23,8.0
1984-03-26,7.86
1984-03-27,7.86
1984-03-28,7.87
1984-03-29,7.9
