FiscalYear,Revenue,GrossProfit,OperatingIncome,NetIncome,CashFromOperations,FreeCashFlow
1992,39271.0,19399.0,9638.0,1569.0,3914.0,562.0
1993,36642.0,18635.0,9407.0,1265.0,4221.0,898.0
1994,35854.0,18864.0,3149.0,1693.0,2896.0,-509.0
1995,37082.0,19049.0,2190.0,930.0,4075.0,546.0
1996,43893.0,21067.0,5104.0,2607.0,5797.0,2373.0
1997,41950.0,21727.0,5814.0,3256.0,4583.0,684.0
1998,30557.0,16521.0,2239.0,1339.0,3731.0,-149.0
1999,85713.0,30612.0,13044.0,3247.0,7771.0,-124.0
2000,119130.0,40044.0,21871.0,7727.0,13467.0,5838.0
2001,106245.0,37007.0,17354.0,3288.0,11457.0,1744.0
2002,98537.0,33100.0,14100.0,1132.0,9943.0,2346.0
2003,121277.0,40897.0,20325.0,7230.0,12315.0,6690.0
2004,155300.0,50352.0,29010.0,13328.0,14690.0,8380.0
2005,198200.0,57298.0,34494.0,14099.0,20105.0,11404.0
2006,210118.0,65979.0,32497.0,17138.0,24323.0,10510.0
2007,220904.0,69340.0,32440.0,18688.0,24977.0,8299.0
2008,267639.0,75447.0,37691.0,23931.0,29632.0,9966.0
2009,168320.0,42701.0,7131.0,10483.0,19373.0,-470.0
2010,198198.0,68668.0,25375.0,19024.0,31354.0,11742.0
2011,244371.0,81537.0,38299.0,26895.0,41095.0,14595.0
2012,230590.0,76411.0,35013.0,26179.0,38812.0,7874.0
2013,220156.0,71274.0,27213.0,21423.0,35002.0,-2983.0
2014,200494.0,64030.0,19726.0,19241.0,31475.0,-3932.0
2015,129925.0,39137.0,-3710.0,4587.0,19456.0,-10048.0
2016,110215.0,31437.0,-5471.0,-497.0,12690.0,-5419.0
2017,134674.0,39560.0,3128.0,9195.0,20338.0,6934.0
2018,158902.0,44905.0,14446.0,14824.0,30618.0,16826.0
2019,139865.0,30534.0,100.0,2924.0,27314.0,13198.0
2020,94471.0,22815.0,-6097.0,-5543.0,10577.0,1655.0
2021,155606.0,45432.0,16180.0,15625.0,29187.0,21131.0
2022,235717.0,73982.0,39950.0,35465.0,49602.0,37628.0
2023,196913.0,60391.0,26229.0,21369.0,35609.0,19780.0
