FiscalYear,Revenue,CashFromOperations,FreeCashFlow,CashEquivalents,MarketSecurities,TreasuryStock,CurrentAssets,LongAssets,CurrentLiabilities,LongLiabilities,CashPaidToDebt
1992,39271.0,3914.0,562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1260.0
1993,36642.0,4221.0,898.0,1644.0,372.0,-2070.0,8682.0,26054.0,10606.0,10133.0,-854.0
1994,35854.0,2896.0,-509.0,413.0,893.0,-2063.0,7591.0,26816.0,9392.0,10419.0,-588.0
1995,37082.0,4075.0,546.0,621.0,773.0,-2047.0,7867.0,26463.0,9445.0,10530.0,-330.0
1996,43893.0,5797.0,2373.0,892.0,745.0,-2024.0,7942.0,26912.0,8907.0,10324.0,-1655.0
1997,41950.0,4583.0,684.0,1015.0,655.0,-1977.0,7006.0,28467.0,6946.0,11055.0,-584.0
1998,30557.0,3731.0,-149.0,569.0,844.0,-2293.0,6297.0,30243.0,7166.0,12340.0,-388.0
1999,85713.0,7771.0,-124.0,1997.0,971.0,-2816.0,17043.0,58337.0,17683.0,27173.0,0.0
2000,119130.0,13467.0,5838.0,2328.0,913.0,-4273.0,17913.0,59708.0,16661.0,26845.0,-3202.0
2001,106245.0,11457.0,1744.0,2117.0,1033.0,-3415.0,18327.0,59245.0,20654.0,22677.0,0.0
2002,98537.0,9943.0,2346.0,2957.0,824.0,-3374.0,17776.0,59583.0,19876.0,25576.0,-1121.0
2003,121277.0,12315.0,6690.0,4266.0,1001.0,-3317.0,19426.0,62044.0,16111.0,28796.0,-3941.0
2004,155300.0,14690.0,8380.0,9291.0,1451.0,-5124.0,28503.0,64705.0,18795.0,29011.0,-1284.0
2005,198200.0,20105.0,11404.0,10043.0,1101.0,-7870.0,34336.0,91497.0,25011.0,37946.0,-1055.0
2006,210118.0,24323.0,10510.0,10493.0,953.0,-12395.0,36304.0,96324.0,28409.0,35075.0,-2901.0
2007,220904.0,24977.0,8299.0,7362.0,732.0,-18892.0,39377.0,109409.0,33798.0,37696.0,-3038.0
2008,267639.0,29632.0,9966.0,9347.0,213.0,-26376.0,36470.0,124695.0,32023.0,42025.0,-965.0
2009,168320.0,19373.0,-470.0,8716.0,106.0,-26168.0,37216.0,127405.0,26211.0,45849.0,-3688.0
2010,198198.0,31354.0,11742.0,14060.0,155.0,-26411.0,48841.0,135928.0,29012.0,49946.0,-368.0
2011,244371.0,41095.0,14595.0,15864.0,4207.0,-29685.0,53234.0,156240.0,33600.0,53693.0,-2769.0
2012,230590.0,38812.0,7874.0,20939.0,974.0,-33884.0,55720.0,177262.0,34212.0,60938.0,-2224.0
2013,220156.0,35002.0,-2983.0,16245.0,271.0,-38290.0,50250.0,203503.0,33018.0,70308.0,-507.0
2014,200494.0,31475.0,-3932.0,12785.0,430.0,-42733.0,42232.0,223794.0,31926.0,77909.0,-5682.0
2015,129925.0,19456.0,-10048.0,11022.0,310.0,-42493.0,34430.0,230110.0,25467.0,85187.0,-16411.0
2016,110215.0,12690.0,-5419.0,6988.0,13.0,-41834.0,29619.0,230459.0,31785.0,81571.0,-14232.0
2017,134674.0,20338.0,6934.0,4813.0,9.0,-40833.0,28560.0,225246.0,27737.0,76750.0,-16503.0
2018,158902.0,30618.0,16826.0,9342.0,1003.0,-41593.0,34021.0,219842.0,27171.0,71050.0,-10877.0
2019,139865.0,27314.0,13198.0,5686.0,63.0,-44599.0,28329.0,209099.0,26530.0,65690.0,-10432.0
2020,94471.0,10577.0,1655.0,5596.0,31.0,-41498.0,26078.0,213712.0,22183.0,84881.0,-15684.0
2021,155606.0,29187.0,21131.0,5640.0,35.0,-41464.0,33738.0,205797.0,26791.0,72804.0,-17384.0
2022,235717.0,49602.0,37628.0,17678.0,223.0,-48196.0,50343.0,207366.0,34208.0,63259.0,-8742.0
2023,196913.0,35609.0,19780.0,8178.0,45.0,-59065.0,41128.0,220504.0,32258.0,67445.0,-4340.0
