Date,SharePrice,Dividend,FwdDiv,FwdDivYield
1995-01-03,22.25,0.0,0.9252,0.04158202247191011
1995-01-04,22.5,0.0,0.9252,0.041120000000000004
1995-01-05,22.5,0.0,0.9252,0.041120000000000004
1995-01-06,22.13,0.0,0.9252,0.04180750112968821
1995-01-09,22.06,0.0,0.9252,0.04194016319129647
1995-01-10,22.13,0.0,0.9252,0.04180750112968821
1995-01-11,21.88,0.0,0.9252,0.04228519195612432
1995-01-12,21.69,0.0,0.9252,0.04265560165975103
1995-01-13,22.06,0.0,0.9252,0.04194016319129647
1995-01-16,22.06,0.0,0.9252,0.04194016319129647
1995-01-17,22.38,0.0,0.9252,0.04134048257372654
1995-01-18,22.81,0.0,0.9252,0.04056115738711092
1995-01-19,22.81,0.0,0.9252,0.04056115738711092
1995-01-20,23.13,0.0,0.9252,0.04
1995-01-23,23.06,0.0,0.9252,0.04012142237640937
1995-01-24,23.13,0.0,0.9252,0.04
1995-01-25,23.44,0.0,0.9252,0.039470989761092146
1995-01-26,23.25,0.0,0.9252,0.039793548387096776
1995-01-27,23.13,0.0,0.9252,0.04
1995-01-30,22.69,0.0,0.9252,0.04077567210224768
1995-01-31,22.31,0.0,0.9252,0.04147019273868221
1995-02-01,22.44,0.0,0.9252,0.04122994652406417
1995-02-02,22.69,0.0,0.9252,0.04077567210224768
1995-02-03,22.88,0.0,0.9252,0.04043706293706294
1995-02-06,23.38,0.0,0.9252,0.03957228400342173
1995-02-07,23.19,0.0,0.9252,0.039896507115135836
1995-02-08,23.44,0.0,0.9252,0.039470989761092146
1995-02-09,23.38,0.0,0.9252,0.03957228400342173
1995-02-10,22.81,0.2313,0.9252,0.04056115738711092
1995-02-13,23.19,0.0,0.9252,0.039896507115135836
1995-02-14,23.38,0.0,0.9252,0.03957228400342173
1995-02-15,23.5,0.0,0.9252,0.039370212765957445
1995-02-16,23.5,0.0,0.9252,0.039370212765957445
1995-02-17,23.5,0.0,0.9252,0.039370212765957445
1995-02-21,23.63,0.0,0.9252,0.03915361828184512
1995-02-22,23.56,0.0,0.9252,0.03926994906621392
1995-02-23,23.38,0.0,0.9252,0.03957228400342173
1995-02-24,23.5,0.0,0.9252,0.039370212765957445
1995-02-27,23.63,0.0,0.9252,0.03915361828184512
1995-02-28,23.81,0.0,0.9252,0.03885762284754305
1995-03-01,23.63,0.0,0.9252,0.03915361828184512
1995-03-02,23.69,0.0,0.9252,0.03905445335584635
1995-03-03,23.44,0.0,0.9252,0.039470989761092146
1995-03-06,23.75,0.0,0.9252,0.038955789473684214
1995-03-07,23.56,0.0,0.9252,0.03926994906621392
1995-03-08,23.81,0.0,0.9252,0.03885762284754305
1995-03-09,23.75,0.0,0.9252,0.038955789473684214
1995-03-10,24.0,0.0,0.9252,0.03855
1995-03-13,23.81,0.0,0.9252,0.03885762284754305
1995-03-14,23.38,0.0,0.9252,0.03957228400342173
1995-03-15,23.5,0.0,0.9252,0.039370212765957445
1995-03-16,23.75,0.0,0.9252,0.038955789473684214
1995-03-17,24.0,0.0,0.9252,0.03855
1995-03-20,23.94,0.0,0.9252,0.03864661654135338
1995-03-21,23.88,0.0,0.9252,0.038743718592964826
1995-03-22,24.06,0.0,0.9252,0.03845386533665836
1995-03-23,24.0,0.0,0.9252,0.03855
1995-03-24,24.25,0.0,0.9252,0.03815257731958763
1995-03-27,24.06,0.0,0.9252,0.03845386533665836
1995-03-28,23.63,0.0,0.9252,0.03915361828184512
1995-03-29,23.69,0.0,0.9252,0.03905445335584635
1995-03-30,23.63,0.0,0.9252,0.03915361828184512
1995-03-31,24.0,0.0,0.9252,0.03855
1995-04-03,23.19,0.0,0.9252,0.039896507115135836
1995-04-04,23.5,0.0,0.9252,0.039370212765957445
1995-04-05,23.5,0.0,0.9252,0.039370212765957445
1995-04-06,23.13,0.0,0.9252,0.04
1995-04-07,22.75,0.0,0.9252,0.04066813186813187
1995-04-10,22.81,0.0,0.9252,0.04056115738711092
1995-04-11,22.56,0.0,0.9252,0.04101063829787235
1995-04-12,22.5,0.0,0.9252,0.041120000000000004
1995-04-13,22.44,0.0,0.9252,0.04122994652406417
1995-04-17,22.25,0.0,0.9252,0.04158202247191011
1995-04-18,22.75,0.0,0.9252,0.04066813186813187
1995-04-19,22.75,0.0,0.9252,0.04066813186813187
1995-04-20,23.38,0.0,0.9252,0.03957228400342173
1995-04-21,23.25,0.0,0.9252,0.039793548387096776
1995-04-24,23.25,0.0,0.9252,0.039793548387096776
1995-04-25,23.75,0.0,0.9252,0.038955789473684214
1995-04-26,23.5,0.0,0.9252,0.039370212765957445
1995-04-27,24.0,0.0,0.9252,0.03855
1995-04-28,23.69,0.0,0.9252,0.03905445335584635
1995-05-01,24.56,0.0,0.9252,0.03767100977198697
1995-05-02,24.38,0.0,0.9252,0.03794913863822806
1995-05-03,24.38,0.0,0.9252,0.03794913863822806
1995-05-04,24.25,0.0,0.9252,0.03815257731958763
1995-05-05,24.38,0.0,0.9252,0.03794913863822806
1995-05-08,24.38,0.0,0.9252,0.03794913863822806
1995-05-09,24.31,0.0,0.9252,0.038058412176059236
1995-05-10,24.63,0.0,0.9252,0.03756394640682095
1995-05-11,23.81,0.2313,0.9252,0.03885762284754305
1995-05-12,23.69,0.0,0.9252,0.03905445335584635
1995-05-15,24.25,0.0,0.9252,0.03815257731958763
1995-05-16,24.56,0.0,0.9252,0.03767100977198697
1995-05-17,24.38,0.0,0.9252,0.03794913863822806
1995-05-18,23.88,0.0,0.9252,0.038743718592964826
1995-05-19,23.81,0.0,0.9252,0.03885762284754305
1995-05-22,23.81,0.0,0.9252,0.03885762284754305
1995-05-23,24.31,0.0,0.9252,0.038058412176059236
1995-05-24,24.31,0.0,0.9252,0.038058412176059236
1995-05-25,24.13,0.0,0.9252,0.03834231247409863
1995-05-26,23.81,0.0,0.9252,0.03885762284754305
1995-05-30,24.19,0.0,0.9252,0.038247209590739975
1995-05-31,24.56,0.0,0.9252,0.03767100977198697
1995-06-01,24.75,0.0,0.9252,0.03738181818181818
1995-06-02,24.38,0.0,0.9252,0.03794913863822806
1995-06-05,24.44,0.0,0.9252,0.037855973813420624
1995-06-06,24.25,0.0,0.9252,0.03815257731958763
1995-06-07,24.0,0.0,0.9252,0.03855
1995-06-08,24.0,0.0,0.9252,0.03855
1995-06-09,23.94,0.0,0.9252,0.03864661654135338
1995-06-12,24.31,0.0,0.9252,0.038058412176059236
1995-06-13,24.5,0.0,0.9252,0.03776326530612245
1995-06-14,24.5,0.0,0.9252,0.03776326530612245
1995-06-15,24.63,0.0,0.9252,0.03756394640682095
1995-06-16,24.5,0.0,0.9252,0.03776326530612245
1995-06-19,24.31,0.0,0.9252,0.038058412176059236
1995-06-20,23.69,0.0,0.9252,0.03905445335584635
1995-06-21,23.38,0.0,0.9252,0.03957228400342173
1995-06-22,23.25,0.0,0.9252,0.039793548387096776
1995-06-23,23.75,0.0,0.9252,0.038955789473684214
1995-06-26,23.38,0.0,0.9252,0.03957228400342173
1995-06-27,23.63,0.0,0.9252,0.03915361828184512
1995-06-28,24.19,0.0,0.9252,0.038247209590739975
1995-06-29,23.5,0.0,0.9252,0.039370212765957445
1995-06-30,23.31,0.0,0.9252,0.03969111969111969
1995-07-03,23.88,0.0,0.9252,0.038743718592964826
1995-07-05,23.75,0.0,0.9252,0.038955789473684214
1995-07-06,23.88,0.0,0.9252,0.038743718592964826
1995-07-07,24.0,0.0,0.9252,0.03855
