FiscalYear,Revenue,FreeCashFlow,CashEquivalents,MarketSecurities,TreasuryStock,CashForDividends,StockIssuance,StockRepurchase
1992,39271.0,562.0,0.0,0.0,0.0,-1115.0,0.0,-382.0
1993,36642.0,898.0,1644.0,372.0,-2070.0,-1139.0,0.0,-4.0
1994,35854.0,-509.0,413.0,893.0,-2063.0,-1206.0,0.0,-5.0
1995,37082.0,546.0,621.0,773.0,-2047.0,-1255.0,0.0,-4.0
1996,43893.0,2373.0,892.0,745.0,-2024.0,-1358.0,0.0,-4.0
1997,41950.0,684.0,1015.0,655.0,-1977.0,-1493.0,173.0,0.0
1998,30557.0,-149.0,569.0,844.0,-2293.0,-1596.0,0.0,-261.0
1999,85713.0,-124.0,1997.0,971.0,-2816.0,-2672.0,108.0,0.0
2000,119130.0,5838.0,2328.0,913.0,-4273.0,-2789.0,0.0,-1498.0
2001,106245.0,1744.0,2117.0,1033.0,-3415.0,-2858.0,140.0,-763.0
2002,98537.0,2346.0,2957.0,824.0,-3374.0,-2991.0,41.0,0.0
2003,121277.0,6690.0,4266.0,1001.0,-3317.0,-3070.0,57.0,-75.0
2004,155300.0,8380.0,9291.0,1451.0,-5124.0,-3277.0,0.0,-1663.0
2005,198200.0,11404.0,10043.0,1101.0,-7870.0,-3876.0,0.0,-2737.0
2006,210118.0,10510.0,10493.0,953.0,-12395.0,-4396.0,0.0,-4491.0
2007,220904.0,8299.0,7362.0,732.0,-18892.0,-4791.0,0.0,-6389.0
2008,267639.0,9966.0,9347.0,213.0,-26376.0,-5162.0,0.0,-6821.0
2009,168320.0,-470.0,8716.0,106.0,-26168.0,-5302.0,0.0,168.0
2010,198198.0,11742.0,14060.0,155.0,-26411.0,-5669.0,0.0,-306.0
2011,244371.0,14595.0,15864.0,4207.0,-29685.0,-6136.0,0.0,-3193.0
2012,230590.0,7874.0,20939.0,974.0,-33884.0,-6844.0,0.0,-4142.0
2013,220156.0,-2983.0,16245.0,271.0,-38290.0,-7474.0,0.0,-4494.0
2014,200494.0,-3932.0,12785.0,430.0,-42733.0,-7928.0,0.0,-4412.0
2015,129925.0,-10048.0,11022.0,310.0,-42493.0,-7992.0,0.0,211.0
2016,110215.0,-5419.0,6988.0,13.0,-41834.0,-8032.0,0.0,650.0
2017,134674.0,6934.0,4813.0,9.0,-40833.0,-8132.0,0.0,-1.0
2018,158902.0,16826.0,9342.0,1003.0,-41593.0,-8502.0,0.0,-1751.0
2019,139865.0,13198.0,5686.0,63.0,-44599.0,-8959.0,0.0,-4039.0
2020,94471.0,1655.0,5596.0,31.0,-41498.0,-9651.0,0.0,-1757.0
2021,155606.0,21131.0,5640.0,35.0,-41464.0,-10179.0,0.0,-1383.0
2022,235717.0,37628.0,17678.0,223.0,-48196.0,-10968.0,0.0,-11255.0
2023,196913.0,19780.0,8178.0,45.0,-59065.0,-11336.0,0.0,-14939.0
