FiscalYear,Revenue,GrossProfit,OperatingIncome,NetIncome,CashFromOperations,FreeCashFlow
1984,90854.0,31989.0,9792.0,5528.0,0.0,0.0
1985,86673.0,30940.0,10123.0,4870.0,0.0,0.0
1986,69888.0,30572.0,7851.0,5360.0,0.0,0.0
1987,76416.0,31987.0,7008.0,4840.0,0.0,0.0
1988,79557.0,35052.0,8287.0,5260.0,0.0,0.0
1989,86656.0,35981.0,7964.0,3510.0,7915.0,1602.0
1990,105519.0,41821.0,8606.0,5010.0,10646.0,4098.0
1991,102847.0,41599.0,8071.0,5600.0,10942.0,3618.0
1992,103160.0,40873.0,6884.0,4770.0,9611.0,2386.0
1993,97825.0,38942.0,7304.0,5280.0,11503.0,4547.0
1994,99683.0,40459.0,7034.0,5100.0,9851.0,3208.0
1995,107893.0,45541.0,9198.0,6470.0,13847.0,6719.0
1996,116728.0,46304.0,10058.0,7510.0,13162.0,5953.0
1997,176552.0,72384.0,16715.0,11732.0,21442.0,9790.0
1998,165627.0,84310.0,8901.0,8074.0,16436.0,3706.0
1999,182529.0,87466.0,9617.0,7910.0,15013.0,4164.0
2000,231846.0,104397.0,51644.0,17720.0,22937.0,14491.0
2001,212785.0,101610.0,47487.0,15320.0,22889.0,12900.0
2002,204506.0,94805.0,40567.0,11460.0,21268.0,9831.0
2003,246738.0,116810.0,56722.0,21510.0,28498.0,15639.0
2004,298035.0,134488.0,42655.0,25330.0,40551.0,28565.0
2005,370680.0,157678.0,60727.0,36130.0,48138.0,34299.0
2006,377635.0,164380.0,99488.0,39500.0,49286.0,33824.0
2007,395651.0,164268.0,62978.0,40610.0,52002.0,36615.0
2008,466278.0,178919.0,72989.0,45220.0,59725.0,40407.0
2009,303443.0,91674.0,28182.0,19280.0,28438.0,5947.0
2010,370125.0,93067.0,40122.0,30460.0,48413.0,21542.0
2011,467029.0,111141.0,54104.0,41060.0,55345.0,24370.0
2012,451509.0,101156.0,49881.0,44880.0,56170.0,21899.0
2013,420836.0,88384.0,40301.0,32580.0,44914.0,11245.0
2014,394105.0,80635.0,34082.0,32520.0,45116.0,12164.0
2015,239854.0,56216.0,12883.0,16150.0,30344.0,3854.0
2016,200628.0,43701.0,936.0,7840.0,22082.0,5919.0
2017,237162.0,56362.0,12074.0,19710.0,30066.0,14664.0
2018,279332.0,67733.0,20839.0,20840.0,36014.0,16440.0
2019,255583.0,55958.0,11531.0,14340.0,29716.0,5355.0
2020,178574.0,8127.0,-30653.0,-22440.0,14668.0,-2614.0
2021,276692.0,64886.0,23233.0,23040.0,48129.0,36053.0
2022,398675.0,103067.0,63546.0,55740.0,76797.0,58390.0
2023,334697.0,84142.0,43747.0,36010.0,55369.0,33450.0
