FiscalYear,Revenue,COGS,SGA,RND,OperatingExpense,TaxPaid,CAPEX
1984,90854.0,58865.0,6334.0,0.0,22197.0,-5070.0,0.0
1985,86673.0,55733.0,4824.0,0.0,20817.0,-4688.0,0.0
1986,69888.0,39316.0,5230.0,0.0,22721.0,-3196.0,0.0
1987,76416.0,44429.0,5621.0,0.0,24979.0,-2703.0,0.0
1988,79557.0,44505.0,5824.0,0.0,26765.0,-3124.0,0.0
1989,86656.0,50675.0,6398.0,0.0,28017.0,-2028.0,-6313.0
1990,105519.0,63698.0,7776.0,0.0,33215.0,-3170.0,-6548.0
1991,102847.0,61248.0,7881.0,0.0,33528.0,-2918.0,-7324.0
1992,103160.0,62287.0,7432.0,0.0,33989.0,-2477.0,-7225.0
1993,97825.0,58883.0,7009.0,0.0,31638.0,-2772.0,-6956.0
1994,99683.0,59224.0,7226.0,0.0,33425.0,-2704.0,-6643.0
1995,107893.0,62352.0,7629.0,0.0,36343.0,-3972.0,-7128.0
1996,116728.0,70424.0,7961.0,0.0,36246.0,-4406.0,-7209.0
1997,176552.0,104168.0,13574.0,0.0,55669.0,-7605.0,-11652.0
1998,165627.0,81317.0,12925.0,0.0,75409.0,-3939.0,-12730.0
1999,182529.0,95063.0,13134.0,0.0,77849.0,-3240.0,-10849.0
2000,231846.0,127449.0,12044.0,0.0,52753.0,-11075.0,-8446.0
2001,212785.0,111175.0,12898.0,0.0,54123.0,-8967.0,-9989.0
2002,204506.0,109701.0,12356.0,0.0,54238.0,-6499.0,-11437.0
2003,246738.0,129928.0,13396.0,0.0,60088.0,-11006.0,-12859.0
2004,298035.0,163547.0,13849.0,0.0,91833.0,-15911.0,-11986.0
2005,370680.0,213002.0,14402.0,0.0,96951.0,-23302.0,-13839.0
2006,377635.0,213255.0,14273.0,0.0,64892.0,-27902.0,-15462.0
2007,395651.0,231383.0,14890.0,0.0,101290.0,-29864.0,-15387.0
2008,466278.0,287359.0,15873.0,0.0,105930.0,-36530.0,-19318.0
2009,303443.0,211769.0,14735.0,0.0,63492.0,-15119.0,-22491.0
2010,370125.0,277058.0,14683.0,0.0,52945.0,-21561.0,-26871.0
2011,467029.0,355888.0,14983.0,0.0,57037.0,-31051.0,-30975.0
2012,451509.0,350353.0,13877.0,0.0,51275.0,-31045.0,-34271.0
2013,420836.0,332452.0,12877.0,0.0,48083.0,-24263.0,-33669.0
2014,394105.0,313470.0,12598.0,0.0,46553.0,-18015.0,-32952.0
2015,239854.0,183638.0,11501.0,0.0,43333.0,-5415.0,-26490.0
2016,200628.0,156927.0,12278.0,0.0,42765.0,406.0,-16163.0
2017,237162.0,180800.0,12394.0,0.0,44288.0,1174.0,-15402.0
2018,279332.0,211599.0,12765.0,0.0,46894.0,-9532.0,-19574.0
2019,255583.0,199625.0,12633.0,0.0,44427.0,-5282.0,-24361.0
2020,178574.0,170447.0,11373.0,0.0,38780.0,5632.0,-17282.0
2021,276692.0,211806.0,10360.0,0.0,41653.0,-7636.0,-12076.0
2022,398675.0,295608.0,10577.0,0.0,39521.0,-20176.0,-18407.0
2023,334697.0,250555.0,10633.0,0.0,40395.0,-15429.0,-21919.0
