Date,SharePrice,Dividend,FwdDiv,FwdDivYield
1995-01-03,15.16,0.0,0.75,0.04947229551451187
1995-01-04,15.22,0.0,0.75,0.049277266754270695
1995-01-05,15.25,0.0,0.75,0.04918032786885246
1995-01-06,15.25,0.0,0.75,0.04918032786885246
1995-01-09,15.13,0.0,0.75,0.0495703899537343
1995-01-10,15.19,0.0,0.75,0.04937458854509546
1995-01-11,15.09,0.0,0.75,0.04970178926441352
1995-01-12,15.09,0.0,0.75,0.04970178926441352
1995-01-13,15.22,0.0,0.75,0.049277266754270695
1995-01-16,15.19,0.0,0.75,0.04937458854509546
1995-01-17,15.34,0.0,0.75,0.04889178617992177
1995-01-18,15.53,0.0,0.75,0.04829362524146813
1995-01-19,15.53,0.0,0.75,0.04829362524146813
1995-01-20,15.69,0.0,0.75,0.04780114722753346
1995-01-23,15.94,0.0,0.75,0.04705144291091594
1995-01-24,15.63,0.0,0.75,0.04798464491362764
1995-01-25,15.69,0.0,0.75,0.04780114722753346
1995-01-26,15.78,0.0,0.75,0.047528517110266164
1995-01-27,15.63,0.0,0.75,0.04798464491362764
1995-01-30,15.63,0.0,0.75,0.04798464491362764
1995-01-31,15.63,0.0,0.75,0.04798464491362764
1995-02-01,15.53,0.0,0.75,0.04829362524146813
1995-02-02,15.44,0.0,0.75,0.048575129533678756
1995-02-03,15.69,0.0,0.75,0.04780114722753346
1995-02-06,15.53,0.1875,0.75,0.04829362524146813
1995-02-07,15.56,0.0,0.75,0.04820051413881748
1995-02-08,15.63,0.0,0.75,0.04798464491362764
1995-02-09,15.44,0.0,0.75,0.048575129533678756
1995-02-10,15.47,0.0,0.75,0.04848093083387201
1995-02-13,15.63,0.0,0.75,0.04798464491362764
1995-02-14,15.72,0.0,0.75,0.047709923664122134
1995-02-15,15.84,0.0,0.75,0.04734848484848485
1995-02-16,16.0,0.0,0.75,0.046875
1995-02-17,15.84,0.0,0.75,0.04734848484848485
1995-02-21,16.0,0.0,0.75,0.046875
1995-02-22,16.03,0.0,0.75,0.046787273861509666
1995-02-23,15.94,0.0,0.75,0.04705144291091594
1995-02-24,15.84,0.0,0.75,0.04734848484848485
1995-02-27,15.91,0.0,0.75,0.04714016341923319
1995-02-28,15.97,0.0,0.75,0.046963055729492796
1995-03-01,15.91,0.0,0.75,0.04714016341923319
1995-03-02,15.84,0.0,0.75,0.04734848484848485
1995-03-03,15.81,0.0,0.75,0.04743833017077799
1995-03-06,16.0,0.0,0.75,0.046875
1995-03-07,16.0,0.0,0.75,0.046875
1995-03-08,16.19,0.0,0.75,0.04632489190858554
1995-03-09,16.13,0.0,0.75,0.04649721016738996
1995-03-10,16.25,0.0,0.75,0.046153846153846156
1995-03-13,16.22,0.0,0.75,0.04623921085080148
1995-03-14,16.19,0.0,0.75,0.04632489190858554
1995-03-15,16.13,0.0,0.75,0.04649721016738996
1995-03-16,16.31,0.0,0.75,0.04598405885959534
1995-03-17,16.25,0.0,0.75,0.046153846153846156
1995-03-20,16.28,0.0,0.75,0.04606879606879607
1995-03-21,16.13,0.0,0.75,0.04649721016738996
1995-03-22,16.41,0.0,0.75,0.04570383912248629
1995-03-23,16.38,0.0,0.75,0.04578754578754579
1995-03-24,16.47,0.0,0.75,0.04553734061930784
1995-03-27,16.59,0.0,0.75,0.045207956600361664
1995-03-28,16.5,0.0,0.75,0.045454545454545456
1995-03-29,16.59,0.0,0.75,0.045207956600361664
1995-03-30,16.53,0.0,0.75,0.04537205081669691
1995-03-31,16.66,0.0,0.75,0.045018007202881155
1995-04-03,16.56,0.0,0.75,0.045289855072463775
1995-04-04,16.81,0.0,0.75,0.044616299821534804
1995-04-05,17.0,0.0,0.75,0.04411764705882353
1995-04-06,16.69,0.0,0.75,0.044937088076692625
1995-04-07,16.72,0.0,0.75,0.044856459330143546
1995-04-10,16.72,0.0,0.75,0.044856459330143546
1995-04-11,16.69,0.0,0.75,0.044937088076692625
1995-04-12,16.72,0.0,0.75,0.044856459330143546
1995-04-13,16.78,0.0,0.75,0.04469606674612634
1995-04-17,16.81,0.0,0.75,0.044616299821534804
1995-04-18,17.0,0.0,0.75,0.04411764705882353
1995-04-19,17.13,0.0,0.75,0.043782837127845885
1995-04-20,17.44,0.0,0.75,0.0430045871559633
1995-04-21,17.31,0.0,0.75,0.043327556325823226
1995-04-24,17.41,0.0,0.75,0.0430786904078116
1995-04-25,17.5,0.0,0.75,0.04285714285714286
1995-04-26,17.44,0.0,0.75,0.0430045871559633
1995-04-27,17.41,0.0,0.75,0.0430786904078116
1995-04-28,17.38,0.0,0.75,0.043153049482163405
1995-05-01,17.72,0.0,0.75,0.04232505643340858
1995-05-02,17.72,0.0,0.75,0.04232505643340858
1995-05-03,17.69,0.0,0.75,0.04239683436970039
1995-05-04,17.75,0.0,0.75,0.04225352112676056
1995-05-05,17.75,0.0,0.75,0.04225352112676056
1995-05-08,17.78,0.0,0.75,0.0421822272215973
1995-05-09,17.47,0.1875,0.75,0.04293073840870063
1995-05-10,17.56,0.0,0.75,0.04271070615034169
1995-05-11,17.47,0.0,0.75,0.04293073840870063
1995-05-12,17.47,0.0,0.75,0.04293073840870063
1995-05-15,17.63,0.0,0.75,0.04254112308564947
1995-05-16,17.81,0.0,0.75,0.042111173498034817
1995-05-17,17.81,0.0,0.75,0.042111173498034817
1995-05-18,17.66,0.0,0.75,0.04246885617214043
1995-05-19,17.5,0.0,0.75,0.04285714285714286
1995-05-22,17.47,0.0,0.75,0.04293073840870063
1995-05-23,17.75,0.0,0.75,0.04225352112676056
1995-05-24,17.88,0.0,0.75,0.04194630872483222
1995-05-25,17.84,0.0,0.75,0.04204035874439462
1995-05-26,17.44,0.0,0.75,0.0430045871559633
1995-05-30,17.56,0.0,0.75,0.04271070615034169
1995-05-31,17.84,0.0,0.75,0.04204035874439462
1995-06-01,17.81,0.0,0.75,0.042111173498034817
1995-06-02,17.66,0.0,0.75,0.04246885617214043
1995-06-05,17.75,0.0,0.75,0.04225352112676056
1995-06-06,17.69,0.0,0.75,0.04239683436970039
1995-06-07,17.75,0.0,0.75,0.04225352112676056
1995-06-08,17.78,0.0,0.75,0.0421822272215973
1995-06-09,17.66,0.0,0.75,0.04246885617214043
1995-06-12,17.59,0.0,0.75,0.04263786242183058
1995-06-13,17.63,0.0,0.75,0.04254112308564947
1995-06-14,17.66,0.0,0.75,0.04246885617214043
1995-06-15,17.84,0.0,0.75,0.04204035874439462
1995-06-16,18.03,0.0,0.75,0.04159733777038269
1995-06-19,17.91,0.0,0.75,0.041876046901172526
1995-06-20,17.53,0.0,0.75,0.04278379920136908
1995-06-21,17.31,0.0,0.75,0.043327556325823226
1995-06-22,17.25,0.0,0.75,0.043478260869565216
1995-06-23,17.44,0.0,0.75,0.0430045871559633
1995-06-26,17.53,0.0,0.75,0.04278379920136908
1995-06-27,17.63,0.0,0.75,0.04254112308564947
1995-06-28,18.03,0.0,0.75,0.04159733777038269
1995-06-29,18.0,0.0,0.75,0.041666666666666664
1995-06-30,17.66,0.0,0.75,0.04246885617214043
1995-07-03,17.72,0.0,0.75,0.04232505643340858
1995-07-05,17.69,0.0,0.75,0.04239683436970039
1995-07-06,18.06,0.0,0.75,0.04152823920265781
1995-07-07,17.91,0.0,0.75,0.041876046901172526
1995-07-10,17.72,0.0,0.75,0.04232505643340858
1995-07-11,17.84,0.0,0.75,0.04204035874439462
1995-07-12,17.97,0.0,0.75,0.041736227045075125
1995-07-13,17.97,0.0,0.75,0.041736227045075125
1995-07-14,17.91,0.0,0.75,0.041876046901172526
1995-07-17,18.06,0.0,0.75,0.04152823920265781
1995-07-18,17.94,0.0,0.75,0.04180602006688963
1995-07-19,18.09,0.0,0.75,0.04145936981757877
1995-07-20,18.28,0.0,0.75,0.041028446389496716
1995-07-21,18.31,0.0,0.75,0.04096122337520481
1995-07-24,18.19,0.0,0.75,0.04123144584936778
1995-07-25,18.09,0.0,0.75,0.04145936981757877
1995-07-26,18.22,0.0,0.75,0.041163556531284305
1995-07-27,18.19,0.0,0.75,0.04123144584936778
1995-07-28,17.97,0.0,0.75,0.041736227045075125
1995-07-31,18.13,0.0,0.75,0.04136789851075565
1995-08-01,17.84,0.0,0.75,0.04204035874439462
1995-08-02,17.81,0.0,0.75,0.042111173498034817
1995-08-03,17.84,0.0,0.75,0.04204035874439462
1995-08-04,17.66,0.0,0.75,0.04246885617214043
1995-08-07,17.63,0.0,0.75,0.04254112308564947
1995-08-08,17.59,0.0,0.75,0.04263786242183058
1995-08-09,17.72,0.0,0.75,0.04232505643340858
1995-08-10,17.5,0.1875,0.75,0.04285714285714286
1995-08-11,17.34,0.0,0.75,0.043252595155709346
