ExDate,Dividend,RecordDate,PayDate,DividendType,Currency
2024-08-15,0.95,2024-08-15,2024-09-10,Cash Div.,USD
2024-05-14,0.95,2024-05-15,2024-06-10,Cash Div.,USD
2024-02-13,0.95,2024-02-14,2024-03-11,Cash Div.,USD
2023-11-14,0.95,2023-11-15,2023-12-11,Cash Div.,USD
2023-08-15,0.91,2023-08-16,2023-09-11,Cash Div.,USD
2023-05-15,0.91,2023-05-16,2023-06-09,Cash Div.,USD
2023-02-13,0.91,2023-02-14,2023-03-10,Cash Div.,USD
2022-11-14,0.91,2022-11-15,2022-12-09,Cash Div.,USD
2022-08-11,0.88,2022-08-12,2022-09-09,Cash Div.,USD
2022-05-12,0.88,2022-05-13,2022-06-10,Cash Div.,USD
2022-02-09,0.88,2022-02-10,2022-03-10,Cash Div.,USD
2021-11-10,0.88,2021-11-12,2021-12-10,Cash Div.,USD
2021-08-12,0.87,2021-08-13,2021-09-10,Cash Div.,USD
2021-05-12,0.87,2021-05-13,2021-06-10,Cash Div.,USD
2021-02-09,0.87,2021-02-10,2021-03-10,Cash Div.,USD
2020-11-10,0.87,2020-11-12,2020-12-10,Cash Div.,USD
2020-08-12,0.87,2020-08-13,2020-09-10,Cash Div.,USD
2020-05-12,0.87,2020-05-13,2020-06-10,Cash Div.,USD
2020-02-10,0.87,2020-02-11,2020-03-10,Cash Div.,USD
2019-11-08,0.87,2019-11-12,2019-12-10,Cash Div.,USD
2019-08-12,0.87,2019-08-13,2019-09-10,Cash Div.,USD
2019-05-10,0.87,2019-05-13,2019-06-10,Cash Div.,USD
2019-02-08,0.82,2019-02-11,2019-03-11,Cash Div.,USD
2018-11-09,0.82,2018-11-13,2018-12-10,Cash Div.,USD
2018-08-10,0.82,2018-08-13,2018-09-10,Cash Div.,USD
2018-05-11,0.82,2018-05-14,2018-06-11,Cash Div.,USD
2018-02-09,0.77,2018-02-12,2018-03-09,Cash Div.,USD
2017-11-10,0.77,2017-11-13,2017-12-11,Cash Div.,USD
2017-08-10,0.77,2017-08-14,2017-09-11,Cash Div.,USD
2017-05-10,0.77,2017-05-12,2017-06-09,Cash Div.,USD
2017-02-08,0.75,2017-02-10,2017-03-10,Cash Div.,USD
2016-11-08,0.75,2016-11-10,2016-12-09,Cash Div.,USD
2016-08-10,0.75,2016-08-12,2016-09-09,Cash Div.,USD
2016-05-11,0.75,2016-05-13,2016-06-10,Cash Div.,USD
2016-02-09,0.73,2016-02-11,2016-03-10,Cash Div.,USD
2015-11-09,0.73,2015-11-12,2015-12-10,Cash Div.,USD
2015-08-11,0.73,2015-08-13,2015-09-10,Cash Div.,USD
2015-05-11,0.73,2015-05-13,2015-06-10,Cash Div.,USD
2015-02-06,0.69,2015-02-10,2015-03-10,Cash Div.,USD
2014-11-07,0.69,2014-11-12,2014-12-10,Cash Div.,USD
2014-08-11,0.69,2014-08-13,2014-09-10,Cash Div.,USD
2014-05-09,0.69,2014-05-13,2014-06-10,Cash Div.,USD
2014-02-06,0.63,2014-02-10,2014-03-10,Cash Div.,USD
2013-11-07,0.63,2013-11-12,2013-12-10,Cash Div.,USD
2013-08-09,0.63,2013-08-13,2013-09-10,Cash Div.,USD
2013-05-09,0.63,2013-05-13,2013-06-10,Cash Div.,USD
2013-02-07,0.57,2013-02-11,2013-03-11,Cash Div.,USD
2012-11-07,0.57,2012-11-09,2012-12-10,Cash Div.,USD
2012-08-09,0.57,2012-08-13,2012-09-10,Cash Div.,USD
2012-05-10,0.57,2012-05-14,2012-06-11,Cash Div.,USD
2012-02-08,0.47,2012-02-10,2012-03-09,Cash Div.,USD
2011-11-08,0.47,2011-11-10,2011-12-09,Cash Div.,USD
2011-08-10,0.47,2011-08-12,2011-09-09,Cash Div.,USD
2011-05-11,0.47,2011-05-13,2011-06-10,Cash Div.,USD
2011-02-08,0.44,2011-02-10,2011-03-10,Cash Div.,USD
2010-11-09,0.44,2010-11-12,2010-12-10,Cash Div.,USD
2010-08-11,0.44,2010-08-13,2010-09-10,Cash Div.,USD
2010-05-11,0.44,2010-05-13,2010-06-10,Cash Div.,USD
2010-02-08,0.42,2010-02-10,2010-03-10,Cash Div.,USD
2009-11-09,0.42,2009-11-12,2009-12-10,Cash Div.,USD
2009-08-11,0.42,2009-08-13,2009-09-10,Cash Div.,USD
2009-05-11,0.42,2009-05-13,2009-06-10,Cash Div.,USD
2009-02-06,0.4,2009-02-10,2009-03-10,Cash Div.,USD
2008-11-07,0.4,2008-11-12,2008-12-10,Cash Div.,USD
2008-08-11,0.4,2008-08-13,2008-09-10,Cash Div.,USD
2008-05-09,0.4,2008-05-13,2008-06-10,Cash Div.,USD
2008-02-07,0.35,2008-02-11,2008-03-10,Cash Div.,USD
2007-11-07,0.35,2007-11-09,2007-12-10,Cash Div.,USD
2007-08-09,0.35,2007-08-13,2007-09-10,Cash Div.,USD
2007-05-10,0.35,2007-05-14,2007-06-11,Cash Div.,USD
2007-02-07,0.32,2007-02-09,2007-03-09,Cash Div.,USD
2006-11-09,0.32,2006-11-13,2006-12-11,Cash Div.,USD
2006-08-10,0.32,2006-08-14,2006-09-11,Cash Div.,USD
2006-05-10,0.32,2006-05-12,2006-06-09,Cash Div.,USD
2006-02-08,0.32,2006-02-10,2006-03-10,Cash Div.,USD
2005-11-08,0.29,2005-11-10,2005-12-09,Cash Div.,USD
2005-08-10,0.29,2005-08-12,2005-09-09,Cash Div.,USD
2005-05-11,0.29,2005-05-13,2005-06-10,Cash Div.,USD
2005-02-08,0.27,2005-02-10,2005-03-10,Cash Div.,USD
2004-11-09,0.27,2004-11-12,2004-12-10,Cash Div.,USD
2004-08-11,0.27,2004-08-13,2004-09-10,Cash Div.,USD
2004-05-11,0.27,2004-05-13,2004-06-10,Cash Div.,USD
2004-02-09,0.25,2004-02-11,2004-03-10,Cash Div.,USD
2003-11-07,0.25,2003-11-12,2003-12-10,Cash Div.,USD
2003-08-11,0.25,2003-08-13,2003-09-10,Cash Div.,USD
2003-05-09,0.25,2003-05-13,2003-06-10,Cash Div.,USD
2003-02-06,0.23,2003-02-10,2003-03-10,Cash Div.,USD
2002-11-07,0.23,2002-11-12,2002-12-10,Cash Div.,USD
2002-08-09,0.23,2002-08-13,2002-09-10,Cash Div.,USD
2002-05-09,0.23,2002-05-13,2002-06-10,Cash Div.,USD
2002-02-07,0.23,2002-02-11,2002-03-11,Cash Div.,USD
2001-11-07,0.23,2001-11-09,2001-12-10,Cash Div.,USD
2001-08-09,0.23,2001-08-13,2001-09-10,Cash Div.,USD
2001-06-20,0.01,0000-00-00,0000-00-00,Cash Div.,USD
2001-06-18,0.01,2001-06-20,2001-07-11,Special Div.,USD
2001-05-10,0.22,2001-05-14,2001-06-11,Cash Div.,USD
2001-02-08,0.22,2001-02-10,0000-00-00,Cash Div.,USD
2001-02-07,0.22,2001-02-09,2001-03-09,Cash Div.,USD
2000-11-09,0.22,2000-11-13,2000-12-11,Cash Div.,USD
2000-08-10,0.22,2000-08-14,2000-09-11,Cash Div.,USD
2000-05-11,0.22,2000-05-15,2000-06-10,Cash Div.,USD
2000-02-09,0.22,2000-02-11,2000-03-10,Cash Div.,USD
1999-11-09,0.22,1999-11-12,1999-12-10,Cash Div.,USD
1999-08-11,0.205,1999-08-13,1999-09-10,Cash Div.,USD
1999-05-10,0.205,1999-05-12,1999-06-10,Cash Div.,USD
1999-02-08,0.205,1999-02-10,1999-03-10,Cash Div.,USD
1998-11-09,0.205,1998-11-12,1998-12-10,Cash Div.,USD
1998-08-11,0.205,1998-08-13,1998-09-10,Cash Div.,USD
1998-05-11,0.205,1998-05-13,1998-06-10,Cash Div.,USD
1998-02-06,0.205,1998-02-10,1998-03-10,Cash Div.,USD
1997-11-07,0.205,1997-11-12,1997-12-10,Cash Div.,USD
1997-08-11,0.205,1997-08-13,1997-09-10,Cash Div.,USD
1997-05-09,0.205,1997-05-13,1997-06-10,Cash Div.,USD
1997-02-06,0.1975,1997-02-10,1997-03-10,Cash Div.,USD
1996-11-07,0.1975,1996-11-12,1996-12-10,Cash Div.,USD
1996-08-09,0.1975,1996-08-13,1996-09-10,Cash Div.,USD
1996-05-09,0.1975,1996-05-13,1996-06-10,Cash Div.,USD
1996-02-08,0.1875,1996-02-12,1996-03-11,Cash Div.,USD
1995-11-09,0.1875,1995-11-13,1995-12-11,Cash Div.,USD
1995-08-10,0.1875,1995-08-14,1995-09-11,Cash Div.,USD
1995-05-09,0.1875,1995-05-15,1995-06-10,Cash Div.,USD
1995-02-06,0.1875,1995-02-10,1995-03-10,Cash Div.,USD
1994-11-07,0.1875,1994-11-14,1994-12-10,Cash Div.,USD
1994-08-09,0.18,1994-08-15,1994-09-10,Cash Div.,USD
1994-05-09,0.18,1994-05-13,1994-06-10,Cash Div.,USD
1994-02-04,0.18,1994-02-10,1994-03-10,Cash Div.,USD
1993-11-05,0.18,1993-11-12,1993-12-10,Cash Div.,USD
1993-08-09,0.18,1993-08-13,1993-09-10,Cash Div.,USD
1993-05-07,0.18,1993-05-13,1993-06-10,Cash Div.,USD
1993-02-04,0.18,1993-02-10,1993-03-10,Cash Div.,USD
1992-11-05,0.18,1992-11-12,1992-12-10,Cash Div.,USD
1992-08-07,0.18,1992-08-13,1992-09-10,Cash Div.,USD
1992-05-07,0.18,1992-05-13,1992-06-10,Cash Div.,USD
1992-02-05,0.1675,1992-02-11,1992-03-10,Cash Div.,USD
1991-11-05,0.1675,1991-11-12,1991-12-10,Cash Div.,USD
1991-08-07,0.1675,1991-08-13,1991-09-10,Cash Div.,USD
1991-05-07,0.1675,1991-05-13,1991-06-10,Cash Div.,USD
1991-02-05,0.1675,1991-02-11,1991-03-11,Cash Div.,USD
1990-11-05,0.1675,1990-11-12,1990-12-10,Cash Div.,USD
1990-08-07,0.15,1990-08-13,1990-09-10,Cash Div.,USD
1990-05-08,0.15,1990-05-14,1990-06-11,Cash Div.,USD
1990-02-06,0.15,1990-02-12,1990-03-10,Cash Div.,USD
1989-11-07,0.15,1989-11-13,1989-12-11,Cash Div.,USD
1989-08-08,0.15,1989-08-14,1989-09-11,Cash Div.,USD
1989-05-09,0.1375,1989-05-15,1989-06-10,Cash Div.,USD
1989-02-06,0.1375,1989-02-10,1989-03-10,Cash Div.,USD
1988-11-07,0.1375,1988-11-14,1988-12-10,Cash Div.,USD
1988-08-09,0.1375,1988-08-15,1988-09-10,Cash Div.,USD
1988-05-09,0.1375,1988-05-13,1988-06-10,Cash Div.,USD
1988-02-05,0.125,1988-02-11,1988-03-10,Cash Div.,USD
1987-11-05,0.125,1987-11-12,1987-12-10,Cash Div.,USD
1987-08-07,0.125,1987-08-13,1987-09-10,Cash Div.,USD
1987-05-07,0.1125,1987-05-13,1987-06-10,Cash Div.,USD
1987-02-04,0.1125,1987-02-10,1987-03-10,Cash Div.,USD
1986-11-05,0.1125,1986-11-12,1986-12-10,Cash Div.,USD
1986-08-07,0.1125,1986-08-13,1986-09-10,Cash Div.,USD
1986-05-07,0.1125,1986-05-13,1986-06-10,Cash Div.,USD
1986-02-04,0.1125,1986-02-10,1986-03-10,Cash Div.,USD
